Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Large
Family: nn
Endpoint: all
Species: SP
Total Features: 1074
Top Features Count: 21
Cumulative Importance: 0.1955
================================================================================

               feature  importance  importance_normalized  cumulative
             VSA_SMR_9    0.073324               0.029609    0.029609
       Frag_fr_benzene    0.051737               0.020892    0.050502
  Frag_fr_allylic_oxid    0.051183               0.020669    0.071171
              AC2D_131    0.038174               0.015415    0.086586
  FP_Morgan1024_r2_511    0.028155               0.011370    0.097956
   FP_AtomPair1024_170    0.018969               0.007660    0.105616
  Tautomer_IsCanonical    0.018387               0.007425    0.113041
              AC2D_110    0.017587               0.007102    0.120143
              AC2D_150    0.016892               0.006821    0.126964
          FP_MACCS_132    0.016474               0.006653    0.133617
              AC2D_104    0.016067               0.006488    0.140105
FP_MorganFeat1024_r2_5    0.015845               0.006399    0.146503
       FP_RDKit512_139    0.015381               0.006211    0.152715
  Graph_Centrality_Max    0.014987               0.006052    0.158767
   FP_AtomPair1024_312    0.013997               0.005652    0.164419
            VSA_PEOE_9    0.013774               0.005562    0.169981
  FP_Morgan1024_r2_408    0.012921               0.005218    0.175199
              AC2D_142    0.012717               0.005136    0.180334
   FP_AtomPair1024_558    0.012698               0.005128    0.185462
   FP_AtomPair1024_359    0.012646               0.005107    0.190568
   FP_AtomPair1024_639    0.012328               0.004978    0.195547
