action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,source_organism,source_target_chembl_id,source_pref_name
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774175,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.91', 'le': None, 'lle': None, 'sei': None}",CHEMBL4761440,,CHEMBL4761440,6.96,0,http://www.openphacts.org/units/Nanomolar,3536005,=,1,1,=,,Ki,nM,,110.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,110.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774176,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,C[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.71', 'le': None, 'lle': None, 'sei': None}",CHEMBL4740558,,CHEMBL4740558,6.41,0,http://www.openphacts.org/units/Nanomolar,3536006,=,1,1,=,,Ki,nM,,392.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,392.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774178,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,C[C@@H]1NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.82', 'le': None, 'lle': None, 'sei': None}",CHEMBL4756327,,CHEMBL4756327,6.18,0,http://www.openphacts.org/units/Nanomolar,3536008,=,1,1,=,,Ki,nM,,656.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,656.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774180,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.64', 'le': None, 'lle': None, 'sei': None}",CHEMBL4789415,,CHEMBL4789415,6.37,0,http://www.openphacts.org/units/Nanomolar,3536010,=,1,1,=,,Ki,nM,,427.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,427.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774181,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.65', 'le': None, 'lle': None, 'sei': None}",CHEMBL4740140,,CHEMBL4740140,6.28,0,http://www.openphacts.org/units/Nanomolar,3536011,=,1,1,=,,Ki,nM,,525.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,525.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774184,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '3.38', 'le': None, 'lle': None, 'sei': None}",CHEMBL4786100,,CHEMBL4786100,4.79,0,http://www.openphacts.org/units/Nanomolar,3536014,=,1,1,=,,Ki,nM,,16232.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,16232.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774191,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.02', 'le': None, 'lle': None, 'sei': None}",CHEMBL4753336,,CHEMBL4753336,5.70,0,http://www.openphacts.org/units/Nanomolar,3536021,=,1,1,=,,Ki,nM,,2011.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,2011.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774192,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CN1C(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@@H]1CCCCN,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.52', 'le': None, 'lle': None, 'sei': None}",CHEMBL4756588,,CHEMBL4756588,6.47,0,http://www.openphacts.org/units/Nanomolar,3536022,=,1,1,=,,Ki,nM,,342.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,342.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774193,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CN1CC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '3.77', 'le': None, 'lle': None, 'sei': None}",CHEMBL4762465,,CHEMBL4762465,5.39,0,http://www.openphacts.org/units/Nanomolar,3536023,=,1,1,=,,Ki,nM,,4090.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,4090.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774198,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CN1C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]1CC(=O)O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '3.42', 'le': None, 'lle': None, 'sei': None}",CHEMBL4749558,,CHEMBL4749558,4.89,0,http://www.openphacts.org/units/Nanomolar,3536028,=,1,1,=,,Ki,nM,,12867.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,12867.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
