Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Medium
Family: nn
Endpoint: pKi
Species: homo_sapiens
Total Features: 740
Top Features Count: 22
Cumulative Importance: 0.1977
================================================================================

                 feature  importance  importance_normalized  cumulative
    RDKit2D_BCUT2D_MRLOW    0.034616               0.029847    0.029847
     FP_AtomPair1024_354    0.015896               0.013706    0.043553
        RDKit2D_fr_ether    0.014883               0.012833    0.056386
                AC2D_113    0.014178               0.012225    0.068611
     FP_AtomPair1024_607    0.010522               0.009072    0.077683
        RDKit2D_BalabanJ    0.010419               0.008984    0.086667
      RDKit2D_SlogP_VSA6    0.009959               0.008587    0.095254
                 AC2D_10    0.009763               0.008418    0.103672
                AC2D_116    0.009569               0.008251    0.111923
     FP_AtomPair1024_331    0.009509               0.008199    0.120122
                AC2D_124    0.009467               0.008162    0.128285
                 AC2D_53    0.007693               0.006633    0.134918
RDKit2D_NumAromaticRings    0.007680               0.006622    0.141539
    RDKit2D_EState_VSA11    0.007509               0.006475    0.148014
   Graph_Avg_Path_Length    0.007330               0.006320    0.154334
                 AC2D_90    0.007311               0.006304    0.160638
                  AC2D_5    0.007300               0.006294    0.166932
                AC2D_139    0.007259               0.006259    0.173191
                AC2D_153    0.007247               0.006248    0.179439
                AC2D_105    0.007136               0.006153    0.185592
      FP_AtomPair1024_52    0.007039               0.006069    0.191661
                AC2D_149    0.006973               0.006013    0.197674
