action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,source_organism,source_target_chembl_id,source_pref_name
,,19069951,[],CHEMBL4361400,Inhibition of PCSK9 (unknown origin) interaction with LDLR expressed in human HepG2 cells assessed as increase in LDL uptake level measured after 24 hrs by LDL-Dylight 550 dye based fluorescence assay,B,,,BAO_0000188,BAO_0000219,cell-based format,Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '13.10', 'le': '0.24', 'lle': '1.93', 'sei': '7.33'}",CHEMBL4228379,,CHEMBL4228379,5.22,0,http://www.openphacts.org/units/Nanomolar,3181599,=,1,1,=,,EC50,nM,,6000.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,EC50,uM,UO_0000065,,6.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25010481,[],CHEMBL5236437,Inhibition of PCSK9-LDLR protein-protein interaction in human HepG2 cells assessed as increase in LDL uptake,B,,,BAO_0000188,BAO_0000219,cell-based format,CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,,,CHEMBL5233285,J Med Chem,2022,"{'bei': '4.11', 'le': None, 'lle': None, 'sei': None}",CHEMBL5278292,,CHEMBL5278292,6.77,0,http://www.openphacts.org/units/Nanomolar,3914436,=,1,1,=,,EC50,nM,,170.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,EC50,uM,UO_0000065,,0.17,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25010482,[],CHEMBL5236437,Inhibition of PCSK9-LDLR protein-protein interaction in human HepG2 cells assessed as increase in LDL uptake,B,,,BAO_0000188,BAO_0000219,cell-based format,Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,,,CHEMBL5233285,J Med Chem,2022,"{'bei': '13.10', 'le': '0.24', 'lle': '1.93', 'sei': '7.33'}",CHEMBL4228379,,CHEMBL4228379,5.22,0,http://www.openphacts.org/units/Nanomolar,3914437,=,1,1,=,,EC50,nM,,6000.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,EC50,uM,UO_0000065,,6.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25010483,[],CHEMBL5236437,Inhibition of PCSK9-LDLR protein-protein interaction in human HepG2 cells assessed as increase in LDL uptake,B,,,BAO_0000188,BAO_0000219,cell-based format,CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,,,CHEMBL5233285,J Med Chem,2022,"{'bei': '4.01', 'le': None, 'lle': None, 'sei': None}",CHEMBL5271747,,CHEMBL5271747,6.97,0,http://www.openphacts.org/units/Nanomolar,3914440,=,1,1,=,,EC50,nM,,106.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,EC50,uM,UO_0000065,,0.106,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,718449,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '14.78', 'le': '0.27', 'lle': '0.06', 'sei': '8.63'}",CHEMBL114890,,CHEMBL114890,6.16,0,http://www.openphacts.org/units/Nanomolar,213800,=,1,1,=,,EC50,nM,,700.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,0.7,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
,,720708,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '16.20', 'le': '0.30', 'lle': '0.98', 'sei': '8.33'}",CHEMBL114705,,CHEMBL114705,5.92,0,http://www.openphacts.org/units/Nanomolar,213825,=,1,1,=,,EC50,nM,,1200.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,1.2,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
,,724094,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '16.28', 'le': '0.30', 'lle': '0.05', 'sei': '10.19'}",CHEMBL115304,,CHEMBL115304,5.89,0,http://www.openphacts.org/units/Nanomolar,213806,=,1,1,=,,EC50,nM,,1300.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,1.3,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
,,724096,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2cc(O)ccc2[nH]1,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '16.30', 'le': '0.30', 'lle': '0.61', 'sei': '7.89'}",CHEMBL324616,,CHEMBL324616,6.16,0,http://www.openphacts.org/units/Nanomolar,213804,=,1,1,=,,EC50,nM,,700.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,0.7,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
,,725210,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '13.68', 'le': '0.25', 'lle': '-0.24', 'sei': '6.88'}",CHEMBL115205,,CHEMBL115205,5.40,0,http://www.openphacts.org/units/Nanomolar,213792,=,1,1,=,,EC50,nM,,4000.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,4.0,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
,,727838,[],CHEMBL707778,Concentration at which one-half of the maximum Low density lipoprotein receptor is upregulated in HepG2 cells,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,,,CHEMBL1129612,J Med Chem,1996,"{'bei': '16.06', 'le': '0.29', 'lle': '0.25', 'sei': '9.12'}",CHEMBL112449,,CHEMBL112449,6.00,0,http://www.openphacts.org/units/Nanomolar,213801,=,1,1,=,,EC50,nM,,1000.0,CHEMBL3311,Homo sapiens,Low-density lipoprotein receptor,9606,,,EC50,uM,UO_0000065,,1.0,Homo sapiens,CHEMBL3311,Low-density lipoprotein receptor
