SMILES,EC50
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,1300.0
Cc1ccc(cc1NC(=O)c1ccc(O)cc1)C(=O)NCCC1CCCCC1,2000.0
Cc1ccc2nc([nH]c2c1)-c1cc(NC(=O)CCC2CCCCC2)ccc1C,1300.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1\C=C(/C#N)c1ccc2OCOc2c1,700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1\C=C(/C#N)c1cccnc1,1000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,1700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,3800.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,7600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccc(O)c1,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NCc1ccc2OCOc2c1,600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,1200.0
CC(=O)Oc1ccc(cc1)C(=O)Nc1cc(NC(=O)CCC2CCCCC2)ccc1C,2500.0
Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,4000.0
Cc1ccc(cc1NC(=O)c1cccnc1)C(=O)CCCC1CCCCC1,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1C(=O)Nc1ccc(O)cc1,7000.0
