SMILES,MORSE_192,GETAWAY_133,RDF_191,RDF_183,RDF_187,GETAWAY_263,RDF_193,RDF_197,RDF_185,RDF_184,MORSE_193,RDF_189,RDKit2D_VSA_EState1,MORSE_194,RDF_181,RDKit2D_EState_VSA4,MORSE_198,RDKit2D_PEOE_VSA4,FP_RDKit512_436,RDKit2D_EState_VSA9,MORSE_200,AC2D_169,RDKit2D_SlogP_VSA12,GETAWAY_261,FP_RDKit512_416,FP_AtomPair1024_242,FP_RDKit512_243,FP_MACCS_123,FP_TopoTorsion1024_520,FP_RDKit512_38,FP_TopoTorsion1024_988,FP_RDKit512_497,MORSE_40,FP_RDKit512_240,FP_Morgan1024_r2_713,RDKit2D_SlogP_VSA10,AC2D_121,FP_RDKit512_7,RDKit2D_BCUT2D_CHGLO,FP_RDKit512_319,AC3D_48,AC2D_153,MORSE_201,FP_AtomPair1024_970,FP_RDKit512_177,MORSE_38,FP_MorganFeat1024_r2_365,FP_MorganFeat1024_r2_131,FP_TopoTorsion1024_694,AC2D_46,FP_RDKit512_134,AC2D_117,GETAWAY_262,FP_RDKit512_488,FP_RDKit512_288,FP_Morgan1024_r2_389,FP_AtomPair1024_104,Pharm2D_Gobbi_172,FP_RDKit512_400,MORSE_203,FP_AtomPair1024_105,FP_TopoTorsion1024_552,FP_RDKit512_234,MORSE_104,MORSE_134,FP_MACCS_109,FP_RDKit512_453,Pharm2D_Gobbi_20,FP_MACCS_138,GETAWAY_132,GETAWAY_141,MORSE_218,FP_TopoTorsion1024_432,GETAWAY_131,AC3D_49,FP_RDKit512_58,AC3D_28,AC2D_112,AC3D_66,MORSE_8,FP_RDKit512_500,Phys_Max_Bond_Polarity,RDKit2D_PEOE_VSA11,RDKit2D_BCUT2D_MWLOW,AC2D_145,MORSE_187,MORSE_72,FP_RDKit512_457,MORSE_156,FP_AtomPair1024_870,FP_RDKit512_117,MORSE_219,FP_RDKit512_186,FP_AtomPair1024_348,AC3D_67,GETAWAY_259,MORSE_59,AC3D_79,RDKit2D_PEOE_VSA13,GETAWAY_207,AC2D_133,MORSE_44,FP_RDKit512_88,FP_RDKit512_344,AC2D_43,FP_MorganFeat1024_r2_806,RDKit2D_MaxAbsEStateIndex,FP_RDKit512_378,FP_AtomPair1024_464,MORSE_209,MORSE_58,GETAWAY_98,MORSE_43,RDKit2D_VSA_EState10,FP_TopoTorsion1024_761,AC2D_44,GETAWAY_129,FP_AtomPair1024_499,FP_MACCS_85,AC2D_184,FP_RDKit512_124,FP_RDKit512_456,FP_AtomPair1024_940,MORSE_140,RDF_35,FP_RDKit512_426,AC2D_47,FP_TopoTorsion1024_48,FP_RDKit512_217,AC3D_64,MORSE_107,MORSE_60,Pharm2D_Gobbi_59,FP_AtomPair1024_93,FP_Morgan1024_r2_926,FP_AtomPair1024_509,GETAWAY_270,GETAWAY_179,AC3D_68,FP_AtomPair1024_400,Pharm2D_Gobbi_94,FP_RDKit512_52,AC3D_63,RDKit2D_NumSaturatedHeterocycles,Pharm2D_Gobbi_96,FP_TopoTorsion1024_382,FP_RDKit512_354,RDKit2D_FpDensityMorgan1,QM_Charge_Min_Neg,FP_AtomPair1024_592,FP_RDKit512_423,Pharm2D_Gobbi_218,FP_RDKit512_273,FP_RDKit512_226,FP_AtomPair1024_973,MORSE_75,AC3D_47,FP_RDKit512_417,GETAWAY_142,FP_MorganFeat1024_r2_24,AC2D_186,Pharm2D_Gobbi_13,FP_RDKit512_179,FP_AtomPair1024_713,MORSE_28,FP_RDKit512_258,FP_RDKit512_493,FP_AtomPair1024_921,FP_AtomPair1024_740,EState_Mean,USR_ctd_Skew,FP_Morgan1024_r2_695,FP_AtomPair1024_896,FP_MorganFeat1024_r2_349,FP_AtomPair1024_967,FP_RDKit512_508,GETAWAY_220,FP_RDKit512_57,FP_AtomPair1024_645,RDKit2D_NumSaturatedRings,FP_RDKit512_155,AC2D_177,AC2D_41,MORSE_12,MORSE_91,FP_AtomPair1024_869,average,sample_weight
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,2301.159,120.327,49.585,163.195,51.288,97.235,19.855,10.322,33.971,62.765,150.199,42.777,0.0,-34.419,66.577,46.010822,29.665,0.0,1.0,4.9839787,-19.277,0.819,0.0,3.197,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.294,0.0,0.0,5.6873865,0.167,1.0,-2.20573,0.0,0.516,0.883,7.776,1.0,0.0,3.612,0.0,1.0,0.0,5.521,0.0,-0.207,1.73,0.0,1.0,0.0,1.0,0.0,1.0,11.349,1.0,0.0,0.0,-2.287,2.849,0.0,0.0,0.0,0.0,0.216,2.669,-2.579,0.0,0.869,0.512,0.0,0.534,-0.066,5.096,-2.1,1.0,0.5499532,0.0,9.85912,0.731,-0.206,-1.869,1.0,0.215,0.0,1.0,-0.602,0.0,1.0,3.741,3.086,-0.196,0.568,0.0,0.393,-0.173,-1.681,0.0,1.0,5.57,0.0,12.394171,0.0,1.0,-7.446,-0.063,0.156,0.788,0.0,0.0,5.519,1.131,0.0,0.0,0.683,1.0,0.0,1.0,-1.564,3.272,0.0,5.061,1.0,0.0,3.9,0.785,0.255,1.0,0.0,1.0,0.0,0.327,0.028,2.998,0.0,1.0,0.0,3.22,0.0,1.0,0.0,1.0,1.1481482,-0.3379412,0.0,1.0,1.0,1.0,0.0,0.0,0.566,0.526,1.0,1.629,0.0,0.814,0.0,1.0,0.0,0.242,0.0,1.0,1.0,0.0,2.0185184,-0.32347962,0.0,0.0,0.0,0.0,0.0,1.371,0.0,1.0,1.0,1.0,1.012,5.713,-1.649,-0.166,0.0,5.886056647693163,1.0104377584601565
Cc1ccc(C(=O)NCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,2641.504,130.226,82.461,145.667,50.98,103.878,28.308,8.023,40.686,63.191,130.474,28.209,0.0,-39.408,65.843,17.90218,26.193,0.0,0.0,0.0,-17.897,0.679,0.0,3.551,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.505,0.0,0.0,5.6873865,0.142,0.0,-2.2099786,1.0,0.464,0.707,11.822,1.0,0.0,3.79,0.0,0.0,0.0,5.6,0.0,0.155,2.718,0.0,0.0,0.0,0.0,0.0,0.0,12.934,0.0,0.0,1.0,-1.5,2.741,0.0,0.0,0.0,0.0,0.552,2.471,-3.237,0.0,1.21,0.41,1.0,0.514,-0.032,4.799,-1.321,0.0,0.8010583,0.0,9.868937,0.663,0.182,-1.131,0.0,0.206,0.0,0.0,3.818,1.0,0.0,4.692,3.766,0.193,0.476,11.81436,0.492,0.079,-1.386,1.0,1.0,5.733,0.0,12.491527,0.0,0.0,-6.136,-0.088,0.221,0.911,0.0,0.0,5.619,1.052,0.0,0.0,0.741,1.0,0.0,0.0,-1.348,2.455,0.0,5.393,0.0,0.0,3.863,0.907,0.29,1.0,1.0,1.0,0.0,0.585,0.048,4.026,0.0,1.0,0.0,3.501,0.0,1.0,1.0,0.0,0.96428573,-0.5079662,0.0,1.0,1.0,1.0,0.0,0.0,0.516,0.517,0.0,2.415,0.0,0.747,0.0,1.0,0.0,0.256,0.0,0.0,0.0,1.0,2.3035715,0.20730554,0.0,0.0,0.0,1.0,0.0,1.242,0.0,0.0,1.0,0.0,0.831,5.721,-1.386,0.097,0.0,5.698970004336019,1.0104377584601565
Cc1ccc2nc(-c3cc(NC(=O)CCC4CCCCC4)ccc3C)[nH]c2c1,2215.289,109.889,26.105,162.518,49.394,89.334,32.916,11.643,38.611,54.701,142.909,24.343,0.0,-23.296,61.709,46.010822,27.607,0.0,1.0,4.9839787,-14.818,0.807,0.0,2.719,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.997,0.0,0.0,5.6873865,0.173,1.0,-2.2057302,0.0,0.567,0.869,6.868,0.0,0.0,3.706,0.0,1.0,0.0,5.481,0.0,-0.201,1.257,0.0,1.0,0.0,1.0,0.0,1.0,10.296,1.0,0.0,0.0,-1.992,2.904,0.0,0.0,0.0,0.0,0.0,2.261,-1.621,0.0,0.939,0.553,0.0,0.592,-0.064,4.938,-1.85,1.0,0.5499532,0.0,9.85912,0.72,-0.156,-1.668,1.0,0.243,0.0,1.0,0.345,0.0,1.0,3.401,3.169,-0.138,0.613,0.0,0.359,-0.168,-1.865,0.0,1.0,5.553,0.0,12.431648,0.0,1.0,-6.843,-0.022,0.171,0.666,0.0,1.0,5.522,3.71,0.0,0.0,0.747,1.0,0.0,1.0,-1.731,3.735,0.0,4.965,0.0,0.0,3.605,0.663,0.285,1.0,0.0,1.0,0.0,0.367,0.033,3.493,0.0,1.0,0.0,2.939,0.0,1.0,0.0,1.0,1.1071428,-0.33793312,0.0,1.0,1.0,1.0,0.0,0.0,0.433,0.59,1.0,1.126,0.0,0.859,0.0,1.0,0.0,0.271,0.0,1.0,1.0,0.0,2.0059524,-0.14836793,0.0,0.0,0.0,0.0,0.0,1.395,0.0,1.0,1.0,1.0,0.996,5.696,-1.828,-0.115,0.0,5.886056647693163,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,2735.815,142.861,35.987,164.027,26.995,112.249,55.128,52.921,29.997,85.257,154.117,24.322,0.0,-35.035,71.22,17.67166,29.771,0.0,0.0,0.0,-17.374,0.682,0.0,2.812,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.769,0.0,0.0,11.374773,0.22,0.0,-2.206156,1.0,0.552,0.742,8.679,1.0,0.0,2.986,0.0,0.0,0.0,5.456,0.0,0.15,2.217,0.0,0.0,1.0,1.0,0.0,0.0,15.701,1.0,0.0,1.0,-1.765,2.326,0.0,0.0,0.0,0.0,0.0,2.687,-4.061,0.0,0.534,0.526,1.0,0.584,-0.036,5.023,-1.601,0.0,0.5768395,0.0,9.859157,0.632,0.228,-1.421,1.0,0.247,0.0,0.0,3.833,0.0,0.0,5.432,3.753,0.23,0.583,5.90718,0.358,0.209,-1.599,1.0,1.0,5.822,0.0,12.37889,0.0,0.0,-6.929,-0.173,0.096,0.821,0.0,0.0,5.64,5.662,0.0,0.0,0.681,1.0,0.0,0.0,-1.581,1.51,0.0,5.426,1.0,0.0,4.208,0.817,0.299,1.0,1.0,1.0,0.0,0.372,0.036,4.44,0.0,1.0,0.0,4.075,0.0,1.0,0.0,0.0,0.962963,-0.32601976,0.0,1.0,1.0,1.0,0.0,0.0,0.475,0.584,0.0,1.932,0.0,0.878,0.0,1.0,1.0,0.278,0.0,0.0,0.0,0.0,2.1790123,-0.21576214,0.0,0.0,0.0,1.0,0.0,1.273,0.0,0.0,1.0,0.0,0.947,5.806,-1.605,0.154,0.0,5.698970004336019,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,3042.903,148.272,44.525,183.215,46.743,109.721,38.6,50.632,74.361,61.637,124.538,65.331,10.781452,-14.359,70.278,28.798563,32.14,5.2618914,0.0,9.473726,-15.621,0.685,0.0,3.833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.354,0.0,0.0,5.6873865,0.2,0.0,-2.205704,0.0,0.565,0.691,9.394,1.0,0.0,4.915,0.0,0.0,0.0,5.721,1.0,-0.102,1.947,0.0,0.0,0.0,1.0,0.0,0.0,12.798,1.0,0.0,0.0,-2.35,3.643,1.0,1.0,0.0,0.0,0.0,3.178,-2.95,0.0,0.55,0.506,0.0,0.611,-0.083,4.721,-2.155,0.0,0.68439573,11.499023,9.859107,0.683,0.144,-1.949,1.0,0.212,0.0,1.0,2.624,1.0,0.0,3.919,4.907,0.13,0.569,0.0,0.466,-0.124,-2.149,0.0,1.0,5.797,0.0,12.454952,0.0,1.0,-6.561,-0.12,0.192,0.969,0.0,0.0,5.727,7.494,1.0,0.0,0.756,1.0,0.0,0.0,-1.921,7.38,0.0,5.355,0.0,0.0,3.436,0.966,0.264,1.0,0.0,1.0,0.0,0.705,0.061,4.74,1.0,1.0,1.0,3.028,0.0,1.0,0.0,0.0,1.1290323,-0.45359507,0.0,1.0,1.0,1.0,0.0,0.0,0.647,0.551,0.0,1.654,0.0,0.847,0.0,0.0,0.0,0.248,0.0,0.0,0.0,0.0,2.1827958,-0.10715877,0.0,0.0,0.0,0.0,1.0,1.186,0.0,0.0,1.0,1.0,0.726,5.787,-2.059,0.059,1.0,6.154901959985743,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,2215.289,106.867,45.086,157.911,53.979,88.599,20.063,14.436,34.881,62.487,136.414,35.125,0.0,-35.577,59.717,40.09292,28.075,0.0,1.0,0.0,-17.756,0.816,0.0,3.092,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-2.379,0.0,0.0,5.6873865,0.066,1.0,-2.2057297,0.0,0.467,0.872,7.837,0.0,0.0,3.789,0.0,1.0,0.0,5.481,0.0,-0.177,1.64,0.0,1.0,0.0,1.0,0.0,1.0,11.138,1.0,0.0,0.0,-2.373,2.786,0.0,0.0,0.0,0.0,0.186,2.165,-2.659,0.0,1.04,0.449,0.0,0.497,-0.054,4.447,-2.174,1.0,0.8009774,0.0,9.85912,0.747,-0.332,-1.929,1.0,0.215,0.0,1.0,-1.14,0.0,1.0,3.074,3.458,-0.319,0.507,0.0,0.461,-0.176,-1.726,0.0,1.0,5.553,0.0,12.40387,0.0,1.0,-6.94,-0.118,0.226,1.036,0.0,0.0,5.522,1.075,0.0,0.0,0.747,1.0,0.0,1.0,-1.656,3.755,0.0,4.965,0.0,0.0,3.577,1.032,0.257,1.0,0.0,1.0,0.0,0.413,0.04,2.813,0.0,1.0,0.0,2.893,0.0,1.0,0.0,1.0,1.1785715,-0.50788337,0.0,1.0,1.0,1.0,0.0,0.0,0.669,0.497,1.0,1.403,0.0,0.859,0.0,1.0,0.0,0.244,0.0,1.0,1.0,1.0,2.1488094,-0.1327225,0.0,0.0,0.0,0.0,0.0,1.313,0.0,1.0,1.0,1.0,1.002,5.696,-1.712,-0.271,0.0,6.154901959985743,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,2709.314,145.404,54.595,152.365,37.549,115.784,46.227,30.44,58.899,63.629,118.374,46.109,0.0,-31.455,64.304,28.798563,30.969,5.2618914,0.0,0.0,-11.087,0.654,0.0,3.817,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.317,0.0,0.0,5.6873865,0.141,0.0,-2.2056913,0.0,0.459,0.682,6.76,1.0,0.0,4.16,0.0,1.0,0.0,5.609,1.0,-0.261,2.481,0.0,0.0,0.0,1.0,0.0,0.0,13.492,1.0,0.0,0.0,-1.316,3.59,0.0,1.0,0.0,0.0,1.342,2.881,-2.475,0.0,4.033,0.435,0.0,0.483,-0.044,4.953,-1.264,0.0,0.54995555,0.0,9.859108,0.624,-0.126,-1.216,1.0,0.123,0.0,1.0,0.745,1.0,1.0,3.872,5.269,-0.122,0.472,0.0,0.474,-0.277,-1.849,0.0,1.0,5.739,0.0,12.3640585,0.0,0.0,-3.953,-0.032,0.246,0.829,0.0,0.0,5.711,2.441,0.0,0.0,0.649,1.0,0.0,0.0,-1.828,5.467,0.0,5.249,1.0,1.0,4.1,0.826,0.148,1.0,0.0,1.0,0.0,0.638,0.059,4.065,1.0,1.0,1.0,3.456,0.0,1.0,0.0,1.0,1.2857143,-0.326076,0.0,1.0,1.0,1.0,0.0,0.0,0.63,0.483,0.0,2.122,0.0,0.839,0.0,0.0,1.0,0.137,0.0,0.0,0.0,0.0,2.172619,0.074389555,0.0,0.0,0.0,0.0,1.0,1.151,0.0,0.0,1.0,0.0,0.755,5.693,-1.843,-0.159,1.0,6.0,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,2641.504,119.12,26.464,155.877,25.707,91.901,47.602,44.937,29.215,84.832,139.369,40.178,0.0,-34.951,65.056,11.984273,28.249,0.0,0.0,0.0,-16.931,0.728,0.0,2.569,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.805,0.0,0.0,11.374773,0.119,0.0,-2.2061641,1.0,0.534,0.773,8.189,1.0,0.0,3.403,0.0,0.0,0.0,5.405,0.0,0.392,1.924,0.0,0.0,0.0,1.0,0.0,0.0,14.973,1.0,0.0,1.0,-1.801,2.455,0.0,0.0,0.0,0.0,0.078,2.219,-3.592,0.0,0.584,0.498,1.0,0.583,-0.032,4.414,-1.601,0.0,0.8010583,0.0,9.859157,0.692,0.192,-1.392,1.0,0.185,0.0,0.0,3.373,0.0,0.0,4.791,3.221,0.192,0.578,5.90718,0.37,0.4,-1.621,1.0,1.0,5.816,0.0,12.408558,0.0,0.0,-6.003,-0.218,0.108,0.907,0.0,0.0,5.542,3.979,0.0,0.0,0.719,1.0,0.0,0.0,-1.555,1.711,0.0,5.382,0.0,0.0,3.556,0.902,0.265,1.0,1.0,1.0,0.0,0.321,0.037,3.729,0.0,1.0,0.0,3.755,0.0,1.0,1.0,0.0,1.0,-0.5079662,0.0,1.0,1.0,1.0,0.0,0.0,0.493,0.552,0.0,1.491,0.0,0.888,0.0,1.0,1.0,0.233,0.0,0.0,0.0,1.0,2.3035715,-0.12448945,0.0,0.0,0.0,1.0,0.0,1.266,0.0,0.0,1.0,0.0,0.946,5.774,-1.608,0.137,0.0,5.769551078621726,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,2641.504,123.304,35.264,157.871,27.053,96.753,56.353,40.81,31.121,85.606,141.58,23.371,0.0,-31.951,66.13,11.984273,28.643,0.0,0.0,5.7336674,-16.759,0.713,0.0,2.709,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.873,0.0,0.0,17.062159,0.158,0.0,-2.2061687,1.0,0.559,0.77,8.34,1.0,0.0,3.365,0.0,0.0,0.0,5.405,0.0,0.293,1.892,0.0,0.0,0.0,1.0,0.0,0.0,15.443,1.0,0.0,1.0,-1.869,2.529,0.0,0.0,0.0,0.0,0.0,2.615,-3.377,0.0,0.542,0.517,1.0,0.599,-0.037,4.444,-1.694,0.0,0.57684207,0.0,9.859157,0.657,0.31,-1.494,1.0,0.181,0.0,0.0,3.987,0.0,0.0,4.828,3.112,0.313,0.593,5.90718,0.368,0.442,-1.682,1.0,1.0,5.816,0.0,12.449374,0.0,0.0,-5.693,-0.164,0.089,0.987,0.0,0.0,5.542,4.01,0.0,0.0,0.719,1.0,0.0,0.0,-1.639,1.601,0.0,5.382,0.0,0.0,3.564,0.982,0.219,1.0,1.0,1.0,0.0,0.392,0.039,3.772,0.0,1.0,0.0,3.759,0.0,1.0,1.0,0.0,1.0,-0.39872822,0.0,1.0,1.0,1.0,0.0,0.0,0.581,0.57,0.0,1.586,0.0,0.888,0.0,1.0,1.0,0.202,0.0,0.0,0.0,0.0,2.232143,-0.08438945,0.0,0.0,0.0,1.0,0.0,1.303,0.0,0.0,1.0,0.0,0.931,5.774,-1.682,0.219,0.0,5.42021640338319,1.0104377584601565
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,2716.173,122.046,44.781,163.98,29.214,93.917,55.313,41.225,31.493,86.926,140.815,23.914,0.0,-30.496,68.063,17.547724,27.862,0.0,0.0,5.1065273,-16.336,0.627,0.0,2.661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.848,0.0,0.0,11.374773,0.156,0.0,-2.2061758,1.0,0.568,0.684,7.977,1.0,0.0,3.265,0.0,0.0,0.0,5.458,0.0,0.02,1.855,0.0,0.0,0.0,1.0,0.0,0.0,14.88,1.0,0.0,1.0,-1.843,2.449,1.0,0.0,0.0,0.0,0.0,2.316,-3.432,0.0,1.1,0.531,1.0,0.608,-0.031,4.349,-1.666,0.0,0.6022087,0.0,9.859157,0.579,0.222,-1.474,1.0,0.252,0.0,0.0,3.439,0.0,0.0,4.531,3.05,0.225,0.618,5.90718,0.375,0.092,-1.748,1.0,1.0,5.839,0.0,12.51602,0.0,0.0,-6.015,-0.193,0.106,0.809,0.0,0.0,5.549,4.01,0.0,0.0,0.702,1.0,0.0,0.0,-1.663,2.056,0.0,5.39,0.0,0.0,3.339,0.805,0.31,1.0,1.0,1.0,0.0,0.349,0.034,3.642,0.0,1.0,0.0,3.588,0.0,1.0,1.0,0.0,1.0,-0.39168045,0.0,1.0,1.0,1.0,0.0,0.0,0.435,0.557,0.0,1.45,0.0,0.915,0.0,1.0,1.0,0.286,0.0,0.0,0.0,1.0,2.275862,-0.081192434,0.0,0.0,0.0,1.0,0.0,1.294,0.0,0.0,1.0,0.0,0.89,5.779,-1.728,0.15,0.0,5.119186407719209,1.0104377584601565
