Top Features Contributing to 20% of Performance
================================================================================
Model: BayR
Family: linear
Endpoint: pEC50
Species: all_SP
Total Features: 1620
Top Features Count: 87
Cumulative Importance: 0.1998
================================================================================

                  feature  importance  importance_normalized  cumulative
     FP_Morgan1024_r2_260    0.082649               0.012576    0.012576
     FP_Morgan1024_r2_253    0.031574               0.004804    0.017380
      FP_AtomPair1024_695    0.027017               0.004111    0.021491
     FP_Morgan1024_r2_572    0.023633               0.003596    0.025087
     FP_Morgan1024_r2_715    0.023079               0.003512    0.028599
     FP_Morgan1024_r2_120    0.022905               0.003485    0.032084
        RDKit2D_PEOE_VSA5    0.022570               0.003434    0.035518
              GETAWAY_128    0.021119               0.003214    0.038732
     FP_Morgan1024_r2_714    0.021035               0.003201    0.041933
 FP_MorganFeat1024_r2_397    0.021030               0.003200    0.045132
     FP_Morgan1024_r2_666    0.021005               0.003196    0.048329
     FP_Morgan1024_r2_961    0.019534               0.002972    0.051301
     Tautomer_IsCanonical    0.019369               0.002947    0.054248
   FP_TopoTorsion1024_552    0.018809               0.002862    0.057110
   FP_TopoTorsion1024_217    0.018679               0.002842    0.059952
     FP_Morgan1024_r2_371    0.018480               0.002812    0.062764
          FP_RDKit512_285    0.018465               0.002810    0.065574
     FP_Morgan1024_r2_235    0.018377               0.002796    0.068370
          FP_RDKit512_377    0.018163               0.002764    0.071134
      FP_AtomPair1024_164    0.017512               0.002665    0.073799
                 MORSE_59    0.017165               0.002612    0.076410
      FP_AtomPair1024_168    0.017078               0.002599    0.079009
              GETAWAY_263    0.016865               0.002566    0.081575
                  RDF_197    0.016703               0.002541    0.084117
      FP_AtomPair1024_792    0.015979               0.002431    0.086548
   FP_TopoTorsion1024_694    0.015806               0.002405    0.088953
         Pharm2D_Gobbi_88    0.015332               0.002333    0.091286
                  RDF_194    0.015059               0.002291    0.093577
              GETAWAY_124    0.014948               0.002274    0.095852
      FP_AtomPair1024_767    0.014869               0.002263    0.098114
              GETAWAY_133    0.014539               0.002212    0.100326
        Pharm2D_Gobbi_212    0.014475               0.002203    0.102529
              GETAWAY_258    0.014011               0.002132    0.104661
                 MORSE_27    0.013793               0.002099    0.106760
      FP_AtomPair1024_169    0.013518               0.002057    0.108817
        Flex_Conf_Entropy    0.013498               0.002054    0.110870
      FP_AtomPair1024_809    0.013343               0.002030    0.112901
                MORSE_219    0.013321               0.002027    0.114928
      FP_AtomPair1024_242    0.012912               0.001965    0.116892
     FP_Morgan1024_r2_915    0.012702               0.001933    0.118825
       FP_AtomPair1024_19    0.012679               0.001929    0.120754
           RDKit2D_fr_NH0    0.012662               0.001927    0.122681
      FP_AtomPair1024_878    0.012655               0.001926    0.124607
   FP_TopoTorsion1024_677    0.012444               0.001893    0.126500
      FP_AtomPair1024_535    0.012396               0.001886    0.128386
              GETAWAY_132    0.012357               0.001880    0.130267
 FP_MorganFeat1024_r2_697    0.012230               0.001861    0.132127
     FP_Morgan1024_r2_389    0.012052               0.001834    0.133961
   FP_TopoTorsion1024_557    0.011988               0.001824    0.135785
  FP_MorganFeat1024_r2_18    0.011887               0.001809    0.137594
          FP_RDKit512_485    0.011736               0.001786    0.139380
                 AC2D_114    0.011727               0.001784    0.141164
      FP_AtomPair1024_917    0.011717               0.001783    0.142947
     FP_Morgan1024_r2_203    0.011702               0.001781    0.144728
      FP_AtomPair1024_449    0.011490               0.001748    0.146476
      FP_AtomPair1024_521    0.011483               0.001747    0.148223
       FP_AtomPair1024_66    0.011483               0.001747    0.149970
      FP_AtomPair1024_324    0.011472               0.001746    0.151716
         Pharm2D_Gobbi_33    0.011466               0.001745    0.153461
      FP_AtomPair1024_487    0.011446               0.001742    0.155202
      FP_AtomPair1024_172    0.011389               0.001733    0.156935
                  WHIM_75    0.011314               0.001722    0.158657
      FP_AtomPair1024_709    0.011299               0.001719    0.160376
       RDKit2D_PEOE_VSA11    0.011299               0.001719    0.162095
 FP_MorganFeat1024_r2_546    0.011199               0.001704    0.163799
   FP_TopoTorsion1024_216    0.011169               0.001700    0.165499
           FP_RDKit512_93    0.011153               0.001697    0.167196
          FP_RDKit512_223    0.011135               0.001694    0.168890
   FP_TopoTorsion1024_448    0.011119               0.001692    0.170582
           FP_RDKit512_32    0.011117               0.001692    0.172274
     FP_Morgan1024_r2_214    0.011017               0.001676    0.173950
          FP_RDKit512_123    0.010974               0.001670    0.175620
          FP_RDKit512_181    0.010850               0.001651    0.177271
      RDKit2D_EState_VSA3    0.010807               0.001644    0.178915
      FP_AtomPair1024_608    0.010801               0.001644    0.180559
      FP_AtomPair1024_970    0.010770               0.001639    0.182198
           FP_RDKit512_88    0.010741               0.001634    0.183832
        FP_AtomPair1024_0    0.010719               0.001631    0.185463
 FP_MorganFeat1024_r2_545    0.010713               0.001630    0.187093
          FP_RDKit512_339    0.010694               0.001627    0.188720
      FP_AtomPair1024_149    0.010494               0.001597    0.190317
   FP_TopoTorsion1024_449    0.010477               0.001594    0.191911
   FP_TopoTorsion1024_973    0.010448               0.001590    0.193501
      FP_AtomPair1024_325    0.010428               0.001587    0.195088
          FP_RDKit512_388    0.010409               0.001584    0.196672
       FP_AtomPair1024_47    0.010409               0.001584    0.198255
RDKit2D_fr_Ndealkylation2    0.010352               0.001575    0.199831
