Top Features Contributing to 20% of Performance
================================================================================
Model: Huber
Family: linear
Endpoint: pEC50
Species: all_SP
Total Features: 1620
Top Features Count: 66
Cumulative Importance: 0.1986
================================================================================

                 feature  importance  importance_normalized  cumulative
    FP_Morgan1024_r2_260    0.203163               0.016861    0.016861
    Tautomer_IsCanonical    0.065453               0.005432    0.022294
             GETAWAY_128    0.057296               0.004755    0.027049
FP_MorganFeat1024_r2_397    0.056300               0.004673    0.031721
    FP_Morgan1024_r2_666    0.052543               0.004361    0.036082
                 RDF_197    0.050507               0.004192    0.040274
                 RDF_194    0.049231               0.004086    0.044360
    FP_Morgan1024_r2_961    0.048944               0.004062    0.048422
        Pharm2D_Gobbi_88    0.048629               0.004036    0.052458
             GETAWAY_267    0.042733               0.003547    0.056004
             GETAWAY_268    0.042241               0.003506    0.059510
    FP_Morgan1024_r2_915    0.039183               0.003252    0.062762
    FP_Morgan1024_r2_253    0.038181               0.003169    0.065931
               MORSE_203    0.037617               0.003122    0.069053
             GETAWAY_263    0.036879               0.003061    0.072114
     FP_AtomPair1024_695    0.036503               0.003030    0.075143
    FP_Morgan1024_r2_419    0.036414               0.003022    0.078165
             GETAWAY_258    0.036247               0.003008    0.081174
                MORSE_59    0.035185               0.002920    0.084094
               MORSE_219    0.034424               0.002857    0.086951
                 RDF_200    0.034336               0.002850    0.089801
    FP_Morgan1024_r2_714    0.033533               0.002783    0.092584
    FP_Morgan1024_r2_235    0.033275               0.002762    0.095345
      FP_AtomPair1024_66    0.033131               0.002750    0.098095
     FP_AtomPair1024_164    0.032801               0.002722    0.100817
     FP_AtomPair1024_242    0.032765               0.002719    0.103536
     FP_AtomPair1024_157    0.032674               0.002712    0.106248
     FP_AtomPair1024_545    0.032569               0.002703    0.108951
FP_MorganFeat1024_r2_697    0.032470               0.002695    0.111646
     FP_AtomPair1024_168    0.032444               0.002693    0.114339
    FP_Morgan1024_r2_120    0.032350               0.002685    0.117024
     FP_AtomPair1024_859    0.032189               0.002672    0.119695
       Flex_Conf_Entropy    0.031311               0.002599    0.122294
     FP_AtomPair1024_521    0.031120               0.002583    0.124877
     FP_AtomPair1024_876    0.031040               0.002576    0.127453
             GETAWAY_133    0.030995               0.002572    0.130025
 FP_MorganFeat1024_r2_86    0.030953               0.002569    0.132594
      FP_AtomPair1024_47    0.030577               0.002538    0.135132
     FP_AtomPair1024_985    0.029609               0.002457    0.137589
                MORSE_27    0.029398               0.002440    0.140029
     FP_AtomPair1024_970    0.029289               0.002431    0.142460
     FP_AtomPair1024_169    0.029257               0.002428    0.144888
                MORSE_50    0.029208               0.002424    0.147312
     FP_AtomPair1024_172    0.029144               0.002419    0.149731
     FP_AtomPair1024_792    0.029092               0.002414    0.152145
     FP_AtomPair1024_207    0.028858               0.002395    0.154540
               MORSE_210    0.028741               0.002385    0.156926
     FP_AtomPair1024_997    0.028344               0.002352    0.159278
     FP_AtomPair1024_410    0.028260               0.002345    0.161623
    FP_Morgan1024_r2_715    0.028077               0.002330    0.163954
             FP_MACCS_53    0.027403               0.002274    0.166228
             GETAWAY_124    0.027358               0.002271    0.168499
    FP_Morgan1024_r2_371    0.027326               0.002268    0.170766
     FP_AtomPair1024_767    0.027255               0.002262    0.173029
               MORSE_223    0.027245               0.002261    0.175290
                  WHIM_1    0.026878               0.002231    0.177520
     FP_AtomPair1024_125    0.026427               0.002193    0.179714
             GETAWAY_132    0.025637               0.002128    0.181841
     FP_AtomPair1024_680    0.025600               0.002125    0.183966
     FP_AtomPair1024_884    0.025582               0.002123    0.186089
     FP_AtomPair1024_736    0.025394               0.002108    0.188197
     FP_AtomPair1024_996    0.025341               0.002103    0.190300
      FP_AtomPair1024_29    0.025244               0.002095    0.192395
     RDKit2D_EState_VSA5    0.025059               0.002080    0.194475
                 RDF_196    0.024920               0.002068    0.196543
  FP_TopoTorsion1024_552    0.024792               0.002058    0.198601
