Top Features Contributing to 20% of Performance
================================================================================
Model: Ridge
Family: linear
Endpoint: pEC50
Species: all_SP
Total Features: 1620
Top Features Count: 60
Cumulative Importance: 0.1979
================================================================================

                 feature  importance  importance_normalized  cumulative
    FP_Morgan1024_r2_260    0.192544               0.014739    0.014739
                 RDF_194    0.106855               0.008180    0.022919
               MORSE_203    0.097053               0.007429    0.030348
       Flex_Conf_Entropy    0.068537               0.005246    0.035594
    Tautomer_IsCanonical    0.062649               0.004796    0.040390
             GETAWAY_128    0.062374               0.004775    0.045165
                 RDF_197    0.059719               0.004571    0.049736
               MORSE_210    0.057915               0.004433    0.054170
               MORSE_219    0.056125               0.004296    0.058466
                 RDF_193    0.054052               0.004138    0.062603
    FP_Morgan1024_r2_666    0.052891               0.004049    0.066652
FP_MorganFeat1024_r2_397    0.052806               0.004042    0.070694
             GETAWAY_268    0.051368               0.003932    0.074627
    FP_Morgan1024_r2_961    0.049122               0.003760    0.078387
             GETAWAY_140    0.047106               0.003606    0.081993
        Pharm2D_Gobbi_88    0.045775               0.003504    0.085497
               MORSE_208    0.045127               0.003454    0.088951
             GETAWAY_184    0.042321               0.003240    0.092191
                 RDF_187    0.039806               0.003047    0.095238
             GETAWAY_258    0.038844               0.002973    0.098211
              GETAWAY_87    0.038347               0.002935    0.101147
               MORSE_223    0.037352               0.002859    0.104006
    FP_Morgan1024_r2_419    0.037202               0.002848    0.106854
            USR_ctd_Skew    0.037159               0.002844    0.109698
     FP_AtomPair1024_695    0.036736               0.002812    0.112510
                 MORSE_8    0.036384               0.002785    0.115295
    FP_Morgan1024_r2_253    0.035356               0.002706    0.118002
                MORSE_59    0.035075               0.002685    0.120687
                 RDF_185    0.035064               0.002684    0.123371
     FP_AtomPair1024_242    0.035043               0.002683    0.126053
    FP_Morgan1024_r2_915    0.034987               0.002678    0.128732
                 RDF_195    0.034493               0.002640    0.131372
             GETAWAY_263    0.034419               0.002635    0.134007
             GETAWAY_270    0.034359               0.002630    0.136637
                MORSE_23    0.034325               0.002628    0.139265
    FP_Morgan1024_r2_120    0.033632               0.002575    0.141839
                MORSE_43    0.033423               0.002558    0.144398
     FP_AtomPair1024_545    0.033252               0.002545    0.146943
     FP_AtomPair1024_168    0.032609               0.002496    0.149439
              GETAWAY_34    0.032323               0.002474    0.151913
     FP_AtomPair1024_859    0.031853               0.002438    0.154352
    FP_Morgan1024_r2_235    0.031756               0.002431    0.156783
             GETAWAY_269    0.031749               0.002430    0.159213
                MORSE_50    0.031677               0.002425    0.161638
    FP_Morgan1024_r2_714    0.031350               0.002400    0.164037
     FP_AtomPair1024_521    0.031285               0.002395    0.166432
      FP_AtomPair1024_66    0.031171               0.002386    0.168818
FP_MorganFeat1024_r2_697    0.031085               0.002379    0.171198
     FP_AtomPair1024_157    0.030759               0.002355    0.173553
    FP_Morgan1024_r2_371    0.030356               0.002324    0.175876
     FP_AtomPair1024_792    0.029743               0.002277    0.178153
     FP_AtomPair1024_164    0.029632               0.002268    0.180421
     FP_AtomPair1024_917    0.029571               0.002264    0.182685
     FP_AtomPair1024_172    0.029446               0.002254    0.184939
 FP_MorganFeat1024_r2_86    0.028812               0.002206    0.187144
     FP_AtomPair1024_876    0.028313               0.002167    0.189312
     FP_AtomPair1024_736    0.028168               0.002156    0.191468
       Pharm2D_Gobbi_130    0.027950               0.002140    0.193608
     FP_AtomPair1024_449    0.027926               0.002138    0.195745
              GETAWAY_40    0.027880               0.002134    0.197879
