Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Small
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 168
Cumulative Importance: 0.1998
================================================================================

                 feature  importance  importance_normalized  cumulative
    FP_Morgan1024_r2_275    0.016641               0.002547    0.002547
     RDKit2D_VSA_EState3    0.016029               0.002453    0.005000
               MORSE_212    0.015884               0.002431    0.007430
                 RDF_100    0.013785               0.002110    0.009540
     FP_AtomPair1024_501    0.012947               0.001981    0.011521
     FP_AtomPair1024_641    0.012728               0.001948    0.013469
                AC2D_188    0.012717               0.001946    0.015415
             FP_MACCS_99    0.012463               0.001907    0.017322
             FP_MACCS_62    0.012428               0.001902    0.019224
     FP_AtomPair1024_932    0.011813               0.001808    0.021032
            FP_MACCS_106    0.011228               0.001718    0.022750
             FP_MACCS_19    0.011133               0.001704    0.024454
     FP_AtomPair1024_873    0.011042               0.001690    0.026144
     FP_AtomPair1024_505    0.010966               0.001678    0.027822
     FP_AtomPair1024_385    0.010938               0.001674    0.029496
                 RDF_118    0.010914               0.001670    0.031166
       Pharm2D_Gobbi_149    0.010541               0.001613    0.032779
       Pharm2D_Gobbi_126    0.010277               0.001573    0.034352
                 AC2D_35    0.010237               0.001567    0.035918
    FP_Morgan1024_r2_336    0.010192               0.001560    0.037478
RDKit2D_FpDensityMorgan3    0.010089               0.001544    0.039022
         FP_RDKit512_469    0.009891               0.001514    0.040536
       RDKit2D_PEOE_VSA8    0.009569               0.001464    0.042000
                MORSE_24    0.009546               0.001461    0.043461
                 AC3D_24    0.009508               0.001455    0.044916
                AC2D_125    0.009410               0.001440    0.046356
         FP_RDKit512_323    0.009266               0.001418    0.047774
              GETAWAY_63    0.009140               0.001399    0.049173
      RDKit2D_SlogP_VSA2    0.009136               0.001398    0.050571
          FP_RDKit512_37    0.009001               0.001377    0.051948
FP_MorganFeat1024_r2_121    0.008779               0.001343    0.053292
     FP_AtomPair1024_726    0.008680               0.001328    0.054620
         FP_RDKit512_193    0.008663               0.001326    0.055946
               MORSE_192    0.008656               0.001325    0.057270
                 AC2D_34    0.008586               0.001314    0.058584
    FP_Morgan1024_r2_323    0.008500               0.001301    0.059885
               MORSE_219    0.008365               0.001280    0.061165
                 RDF_152    0.008227               0.001259    0.062424
          RDKit2D_fr_COO    0.008217               0.001257    0.063682
      RDKit2D_SlogP_VSA4    0.008182               0.001252    0.064934
         FP_RDKit512_114    0.008092               0.001238    0.066172
         FP_RDKit512_368    0.008074               0.001236    0.067408
                MORSE_93    0.008014               0.001226    0.068634
                AC2D_175    0.007959               0.001218    0.069852
  FP_TopoTorsion1024_321    0.007909               0.001210    0.071062
    FP_Morgan1024_r2_150    0.007902               0.001209    0.072272
               MORSE_171    0.007894               0.001208    0.073480
                 AC3D_43    0.007866               0.001204    0.074684
         FP_RDKit512_163    0.007850               0.001201    0.075885
     FP_AtomPair1024_813    0.007832               0.001199    0.077083
             GETAWAY_177    0.007812               0.001196    0.078279
     FP_AtomPair1024_126    0.007751               0.001186    0.079465
    FP_Morgan1024_r2_831    0.007722               0.001182    0.080647
             GETAWAY_251    0.007711               0.001180    0.081827
FP_MorganFeat1024_r2_857    0.007688               0.001176    0.083003
               MORSE_116    0.007669               0.001174    0.084177
     FP_Morgan1024_r2_55    0.007646               0.001170    0.085347
                 AC2D_86    0.007625               0.001167    0.086514
     FP_AtomPair1024_842    0.007624               0.001167    0.087680
     FP_AtomPair1024_990    0.007619               0.001166    0.088846
               MORSE_182    0.007607               0.001164    0.090010
     RDKit2D_VSA_EState4    0.007596               0.001162    0.091173
     FP_AtomPair1024_105    0.007570               0.001158    0.092331
     FP_AtomPair1024_806    0.007565               0.001158    0.093489
                 WHIM_16    0.007481               0.001145    0.094634
                 AC3D_23    0.007462               0.001142    0.095776
                 AC2D_60    0.007447               0.001140    0.096915
             GETAWAY_152    0.007436               0.001138    0.098053
                 RDF_149    0.007431               0.001137    0.099191
         FP_RDKit512_293    0.007425               0.001136    0.100327
         FP_RDKit512_189    0.007363               0.001127    0.101454
    FP_Morgan1024_r2_333    0.007344               0.001124    0.102578
  FP_TopoTorsion1024_704    0.007334               0.001122    0.103700
     FP_AtomPair1024_861    0.007293               0.001116    0.104816
     FP_AtomPair1024_804    0.007277               0.001114    0.105930
