Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Wide
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 146
Cumulative Importance: 0.1998
================================================================================

                        feature  importance  importance_normalized  cumulative
            FP_AtomPair1024_573    0.032182               0.003120    0.003120
RDKit2D_NumAromaticHeterocycles    0.024243               0.002350    0.005470
                         RDF_35    0.022506               0.002182    0.007652
                FP_RDKit512_182    0.021829               0.002116    0.009768
            FP_AtomPair1024_740    0.020579               0.001995    0.011762
                    GETAWAY_121    0.020564               0.001993    0.013756
                   FP_MACCS_138    0.020465               0.001984    0.015740
                         RDF_47    0.020332               0.001971    0.017711
               Pharm2D_Gobbi_68    0.019939               0.001933    0.019644
           FP_Morgan1024_r2_628    0.019719               0.001912    0.021555
                     GETAWAY_25    0.019565               0.001897    0.023452
                        RDF_201    0.019198               0.001861    0.025313
         FP_TopoTorsion1024_409    0.019026               0.001844    0.027157
                    GETAWAY_264    0.018629               0.001806    0.028963
                      MORSE_174    0.018620               0.001805    0.030768
            FP_AtomPair1024_841    0.018390               0.001783    0.032551
                 RDKit2D_fr_C_O    0.018108               0.001755    0.034306
        FP_MorganFeat1024_r2_61    0.017973               0.001742    0.036049
         Phys_Max_Bond_Polarity    0.017932               0.001738    0.037787
            FP_AtomPair1024_670    0.017540               0.001700    0.039487
                     GETAWAY_71    0.016941               0.001642    0.041129
                    GETAWAY_132    0.016771               0.001626    0.042755
            FP_AtomPair1024_244    0.016651               0.001614    0.044369
                        AC2D_61    0.016622               0.001611    0.045981
            FP_AtomPair1024_882    0.016581               0.001607    0.047588
            RDKit2D_VSA_EState4    0.016462               0.001596    0.049184
                    GETAWAY_182    0.016349               0.001585    0.050769
                         RDF_56    0.016290               0.001579    0.052348
                        AC2D_72    0.016279               0.001578    0.053926
            FP_AtomPair1024_883    0.015904               0.001542    0.055468
           Dock_RotBond_Penalty    0.015602               0.001512    0.056980
                    GETAWAY_239    0.015597               0.001512    0.058492
            FP_AtomPair1024_865    0.015516               0.001504    0.059996
            FP_AtomPair1024_628    0.015330               0.001486    0.061482
                FP_RDKit512_359    0.015255               0.001479    0.062961
            FP_AtomPair1024_600    0.015099               0.001464    0.064425
                   FP_MACCS_101    0.015076               0.001461    0.065886
            FP_AtomPair1024_378    0.015023               0.001456    0.067343
                FP_RDKit512_124    0.014980               0.001452    0.068795
            FP_AtomPair1024_675    0.014872               0.001442    0.070236
                       AC2D_147    0.014870               0.001442    0.071678
                     GETAWAY_31    0.014847               0.001439    0.073117
             FP_AtomPair1024_89    0.014758               0.001431    0.074548
       FP_MorganFeat1024_r2_713    0.014728               0.001428    0.075975
                FP_RDKit512_171    0.014557               0.001411    0.077386
         FP_TopoTorsion1024_425    0.014528               0.001408    0.078795
                FP_RDKit512_366    0.014502               0.001406    0.080201
                         RDF_29    0.014485               0.001404    0.081605
                FP_RDKit512_326    0.014450               0.001401    0.083006
                         RDF_24    0.014421               0.001398    0.084404
             FP_AtomPair1024_27    0.014369               0.001393    0.085797
                        RDF_186    0.014367               0.001393    0.087189
            FP_AtomPair1024_688    0.014335               0.001390    0.088579
               RDKit2D_fr_imide    0.014284               0.001385    0.089964
            FP_AtomPair1024_815    0.014218               0.001378    0.091342
                        WHIM_44    0.014149               0.001372    0.092713
            FP_AtomPair1024_369    0.014148               0.001371    0.094085
                        AC2D_79    0.014128               0.001370    0.095455
                RDKit2D_BertzCT    0.013993               0.001357    0.096811
                FP_RDKit512_249    0.013881               0.001346    0.098157
                         RDF_26    0.013720               0.001330    0.099487
            FP_AtomPair1024_206    0.013718               0.001330    0.100816
                     GETAWAY_70    0.013674               0.001326    0.102142
            FP_AtomPair1024_636    0.013630               0.001321    0.103463
            FP_AtomPair1024_992    0.013584               0.001317    0.104780
                      MORSE_181    0.013560               0.001314    0.106095
                FP_RDKit512_459    0.013533               0.001312    0.107406
                        RDF_176    0.013516               0.001310    0.108717
       FP_MorganFeat1024_r2_566    0.013459               0.001305    0.110021
                        AC2D_36    0.013272               0.001287    0.111308
