SMILES,IC50,IC50-min,IC50-max
NCCC#N,>1000,1000.0,2000.0
NC\C=C(/F)Cn1cc(-c2ccc(F)cc2)c2ccccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc(cc1)-c1c(C)n(C\C(F)=C\CN)c2ccccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ncccc12,>300,300.0,600.0
COC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
COC(=O)c1ccc2c(c(C)n(C\C(F)=C\CN)c2c1)-c1cccc(c1)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(ccc12)C(O)=O,>300,300.0,600.0
CN(C)C(=O)c1ccc2c(c(C)n(C\C(F)=C\CN)c2c1)-c1cccc(c1)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(ccc12)C(N)=O,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(-c2c(C)n(C\C(F)=C\CN)c3ccc(cc23)C(O)=O)c1C,>300,300.0,600.0
Cc1c(-c2cccc(c2)S(C)(=O)=O)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)C(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2c1,>300,300.0,600.0
CNS(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cc(ccc3C)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc(C)c(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(F)c(cc12)C(O)=O,>300,300.0,600.0
CCOC(=O)c1cc2c(c(C)n(C\C(F)=C\CN)c2cc1F)-c1cccc(c1)S(=O)(=O)N(C)C,>300,300.0,600.0
Cc1c(-c2ccc(F)cc2)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3ccc(F)cc3)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cccnc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccncc12,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(Cl)c3)c2c1,>300,300.0,600.0
Cc1c(-c2cccc(Cl)c2)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)-c1nn[nH]n1,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(C)(C)C)c2c1,>300,300.0,600.0
Cc1c(-c2cccc(c2)C(C)(C)C)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cnccc12,>300,300.0,600.0
CCOC(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(O)=O)c2c1,>300,300.0,600.0
CC(C)NC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CC(C)N(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(O)cc12,>300,300.0,600.0
CN(c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O)S(C)(=O)=O,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)N(C)S(C)(=O)=O)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cncc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(O)=O,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CC(C)NC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CNC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CN(C)C(=O)c1cccc2c(c(C)n(C\C(F)=C\CN)c12)-c1cccc(c1)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2c(cccc12)C(O)=O,>300,300.0,600.0
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C#N,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(N)(=O)=O)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)-c1ncon1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(F)(F)F)c2c1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)C(F)(F)F)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(F)F,>300,300.0,600.0
