SMILES,RDKit2D_Ipc,Shape_Box_Volume,WHIM_108,WHIM_107,RDF_183,WHIM_85,WHIM_87,AC2D_91,Phys_Quadrupole_XX,Phys_Quadrupole_YY,RDKit2D_EState_VSA4,RDKit2D_PEOE_VSA1,RDKit2D_SMR_VSA6,Phys_ESP_Max,RDKit2D_VSA_EState4,AC2D_102,AC2D_163,RDKit2D_PEOE_VSA8,RDKit2D_SlogP_VSA1,AC2D_43,GETAWAY_260,AC3D_15,RDKit2D_EState_VSA8,RDKit2D_PEOE_VSA12,AC3D_63,GETAWAY_259,RDF_20,AC2D_113,RDKit2D_VSA_EState1,AC2D_139,RDKit2D_PEOE_VSA7,AC2D_112,QM_Charge_Sum_Abs,AC2D_161,MORSE_169,AC3D_65,AC3D_13,MORSE_73,RDF_106,AC2D_170,AC2D_45,AC2D_99,RDKit2D_NumRotatableBonds,RDKit2D_MinEStateIndex,AC2D_72,AC2D_146,AC2D_105,GETAWAY_271,AC2D_152,Graph_Diameter,RDKit2D_Kappa2,RDF_46,AC3D_35,AC3D_14,RDKit2D_Kappa3,AC3D_11,AC2D_138,AC2D_171,RDF_140,AC3D_66,GETAWAY_261,RDKit2D_Phi,AC2D_160,AC2D_53,RDKit2D_VSA_EState9,AC2D_67,RDF_151,MORSE_201,Dock_RotBond_Penalty,AC2D_153,AC3D_62,AC2D_52,AC3D_64,AC3D_61,RDKit2D_EState_VSA9,RDKit2D_VSA_EState5,AC3D_75,AC2D_101,AC2D_46,GETAWAY_171,GETAWAY_258,AC2D_143,AC3D_31,AC2D_120,GETAWAY_170,AC2D_51,Graph_Avg_Path_Length,GETAWAY_269,AC2D_126,AC3D_33,MORSE_182,average,sample_weight
COc1cccc(C2(C(=O)N(C)S(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccn3)CC2)c1,6.0389075e+08,1024.7223,276.805,299.375,260.965,112.552,118.772,193.209,75.25492,41.401222,15.432119,13.819859,32.146893,0.04828412,1.1159952,0.038,1.184,32.530872,13.819859,6.199,6.11,0.717,9.9679575,11.855519,2.518,6.028,5.022,0.48,39.49343,-0.027,59.56691,-0.02,6.28099,0.486,1.259,4.11,0.53,1.042,14.297,1.226,6.314,-0.192,9.0,-4.4871864,1.82,1.094,0.552,0.411,1.396,15.0,11.835103,15.016,0.675,0.673,5.7693005,0.243,-0.311,1.224,4.002,4.02,4.837,8.676835,0.767,1.53,-1.6487305,0.703,23.101,4.589,15.0,0.454,1.672,2.372,3.166,1.422,8.919949,0.95274854,0.552,-0.099,6.155,0.701,7.817,0.046,0.226,-0.608,0.957,2.104,6.571795,0.487,0.11,0.466,-0.33,5.849485002168009,0.7180566294860651
COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCO)CC2)c1,2.890378e+09,2225.618,654.725,651.696,188.603,234.69,234.711,126.164,160.62868,86.42766,65.49531,35.84741,55.908195,0.46069905,6.8972764,0.16924998,0.861,49.451736,30.740881,5.852,2.389,0.509,40.03029,0.0,1.658,3.169,13.088,0.074,16.193634,-0.329,77.766014,-0.111,7.664463,0.689,2.873,2.527,0.389,2.296,21.976,0.888,5.939,-0.058499962,12.0,-3.9689894,0.9312506,0.86125004,0.124,0.198,0.957,19.0,14.511765,22.027,0.508,0.488,7.734427,0.188,-0.154,0.997,11.504,2.536,1.94,10.803925,0.874,0.7447498,1.6796077,0.375,27.478,14.243,19.0,0.733,1.39,0.389,2.331,1.119,15.207394,2.0441236,0.44,-0.221,5.864746,0.393,3.442,0.313,0.187,-0.33574998,0.567,1.0525002,7.5924697,0.191,0.288,0.388,-0.149,7.744727494896693,2.8796224700928965
COc1cccc(C2(C(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,1.8852282e+08,872.50226,190.366,189.775,203.925,98.936,98.974,148.147,69.8993,51.470505,41.52676,19.690424,37.525806,0.18117778,4.699408,0.021,1.224,18.7769,19.690424,5.987,4.194,0.63,40.03029,5.90718,2.486,4.984,4.253,0.017,16.193634,-0.325,65.63328,-0.102,5.67048,0.718,2.37,3.119,0.476,1.989,9.431,1.005,5.88,-0.195,8.0,-3.9689894,0.9312506,0.942,0.024,0.418,1.007,13.0,11.285934,9.44,0.63,0.552,5.3149443,0.224,-0.249,1.324,3.357,3.814,3.897,8.110323,0.914,0.7447498,3.3741925,0.3744998,22.964,12.899,14.0,0.827,1.955,0.255,2.721,1.326,9.473726,2.2725048,0.566,0.061750032,5.96,0.665,6.078,0.253,0.223,-0.33574998,0.771,1.0525002,6.1861863,0.526,0.031,0.476,-0.656,5.849485002168009,0.7180566294860651
COc1cccc(C2(C(=O)NS(=O)(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,9.239662e+08,979.21857,249.449,262.622,366.279,117.968,123.663,236.576,80.0523,34.15346,28.127253,14.373635,36.931114,0.12244119,2.8545473,0.022,1.081,13.089513,23.817825,6.366,7.306,0.643,14.344099,5.90718,2.873,7.48,7.4,0.306,43.280445,-0.13,65.63328,0.003,6.7510576,0.54,1.799,4.135,0.514,1.575,9.834,1.011,6.404,-0.179,10.0,-4.247796,1.591,1.048,0.396,0.557,1.315,15.0,12.427333,9.922,0.606,0.636,6.4532948,0.225,-0.251,1.209,5.924,3.903,3.935,9.166966,0.729,1.393,-1.0396941,0.602,24.91,5.208,16.0,0.535,1.821,2.203,3.434,1.735,9.473726,0.9701443,0.502,-0.09,6.2,0.554,6.601,0.112,0.214,-0.549,1.051,1.921,6.8487806,0.607,-0.045,0.453,-0.78,5.849485002168009,0.7180566294860651
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3)CCN(c3ccccc3OC)CC2)c1,7.544464e+07,944.83093,224.013,238.701,341.533,111.236,116.849,178.515,61.079952,64.47176,11.436898,18.55672,32.20902,0.24006428,0.51278365,0.008,1.104,13.089513,23.278816,6.373,7.343,0.699,9.6220045,5.90718,3.965,7.398,4.301,0.352,43.551796,0.12,54.8033,-0.022,6.297289,0.583,2.005,5.194,0.562,1.659,11.946,1.048,6.294,-0.173,8.0,-4.385759,1.8,1.126,0.39,0.668,1.343,15.0,10.268511,11.972,0.647,0.667,5.3498635,0.27,-0.282,1.123,4.22,5.061,5.018,7.1603837,0.779,1.361,-1.216448,0.68,18.707,6.751,10.0,0.564,2.157,1.787,3.947,2.305,13.656812,0.8106294,0.533,-0.095,6.128,0.635,10.287,0.091,0.255,-0.577,0.789,1.84,6.255462,0.819,-0.035,0.497,-0.538,5.849485002168009,0.7180566294860651
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C)CCN(c3ccccc3OC)CC2)c1,1.1004529e+08,906.00555,242.318,257.822,338.719,117.065,122.854,192.276,81.76408,54.270874,11.436898,18.55672,32.20902,0.16619447,1.1510208,0.005,1.094,13.089513,23.278816,6.303,6.687,0.667,9.6220045,5.90718,3.491,7.193,5.497,0.357,44.03705,0.006,61.224117,-0.018,6.3398285,0.574,1.427,4.701,0.555,1.234,11.686,1.061,6.261,-0.199,8.0,-4.408259,1.793,1.109,0.393,0.645,1.339,15.0,10.493185,11.715,0.618,0.657,5.255748,0.263,-0.298,1.168,4.318,4.761,4.47,7.3963027,0.775,1.348,-1.2349325,0.675,19.819,6.613,11.0,0.556,2.044,1.797,3.833,2.097,13.656812,0.8603032,0.513,-0.092,6.128,0.605,8.188,0.189,0.249,-0.576,0.744,1.985,6.357143,0.811,-0.044,0.484,-0.447,5.849485002168009,0.7180566294860651
CCCc1ccccc1OS(=O)(=O)NC(=O)C1(c2cccc(OC)c2)CCN(c2ccccc2OC)CC1,3.0008797e+08,1221.4943,253.699,264.842,338.336,110.425,115.198,203.604,71.12011,52.476074,23.421171,18.55672,32.20902,0.09143365,1.2787744,-0.003,1.108,13.089513,23.278816,6.334,6.32,0.648,9.6220045,5.90718,3.217,6.583,3.956,0.367,44.68085,-0.017,60.721203,-0.01,6.543811,0.577,2.276,4.416,0.526,1.902,9.57,1.062,6.305,-0.183,10.0,-4.4265714,1.778,1.11,0.405,0.653,1.331,16.0,11.769844,9.627,0.592,0.633,5.881608,0.243,-0.284,1.172,3.142,4.366,4.594,8.46141,0.768,1.531,-1.2435601,0.689,21.705,8.817,13.0,0.561,1.87,1.933,3.535,1.891,13.656812,0.92727983,0.49,-0.128,6.172,0.674,7.099,0.179,0.231,-0.573,0.845,1.968,6.6571836,0.648,-0.07,0.463,-0.726,5.849485002168009,0.7180566294860651
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C3CCCC3)CCN(c3ccccc3OC)CC2)c1,1.4053444e+09,1276.1897,266.735,280.303,348.403,105.096,107.445,211.276,57.552387,59.1232,42.683636,18.55672,32.20902,0.12686077,1.3974229,-0.01,1.124,13.089513,23.278816,6.373,6.445,0.634,9.6220045,5.90718,3.02,6.391,3.581,0.371,45.355686,-0.041,73.05993,0.002,6.6747346,0.553,1.454,4.106,0.505,1.283,12.1,1.063,6.351,-0.169,9.0,-4.4378095,1.771,1.111,0.406,0.436,1.295,16.0,11.797604,12.115,0.568,0.616,5.746985,0.235,-0.26,1.178,3.353,4.015,5.41,8.208794,0.744,1.698,-1.2406621,0.701,24.342,1.8,11.0,0.539,1.771,2.054,3.409,1.746,13.656812,1.2625937,0.469,-0.158,6.23,0.712,8.788,0.146,0.224,-0.555,0.847,1.95,6.874359,0.514,-0.093,0.447,-0.368,5.849485002168009,0.7180566294860651
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C)cccc3C)CCN(c3ccccc3OC)CC2)c1,1.6039029e+08,1008.35834,211.322,229.331,342.743,99.223,104.846,203.898,55.484936,66.50858,11.436898,18.55672,32.20902,0.25470793,1.8216652,0.003,1.068,13.089513,23.278816,6.23,5.326,0.648,9.6220045,5.90718,3.05,6.53,5.143,0.36,44.522297,-0.084,67.64494,-0.014,6.382326,0.566,1.496,4.556,0.554,1.353,11.35,1.075,6.226,-0.218,8.0,-4.430759,1.785,1.094,0.396,0.409,1.335,15.0,10.719816,12.707,0.602,0.647,5.5115576,0.257,-0.272,1.195,3.666,4.616,4.302,7.633108,0.771,1.336,-1.253417,0.675,21.088,7.372,12.0,0.549,1.917,1.808,3.715,1.931,13.656812,0.909977,0.498,-0.089,6.127,0.58,8.033,0.26,0.244,-0.574,0.665,2.134,6.4444447,0.614,-0.052,0.479,-0.577,6.3872161432802645,2.8796224700928965
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,9.239662e+08,1102.798,253.643,269.649,335.562,96.828,99.706,214.795,39.69394,77.91072,22.5638,18.55672,32.20902,0.13032773,2.0251439,0.016,1.173,13.089513,23.278816,6.323,6.01,0.631,9.6220045,5.90718,2.772,5.897,4.005,0.376,45.892117,-0.115,65.63328,-0.0,6.7540646,0.555,2.132,3.956,0.52,1.785,13.404,1.049,6.379,-0.19,10.0,-4.497796,1.757,1.067,0.411,0.441,1.322,15.0,12.427333,13.6,0.594,0.635,6.4532948,0.227,-0.263,1.246,2.842,3.567,4.397,9.166966,0.758,1.496,-1.3066386,0.73,24.533,9.758,16.0,0.542,1.734,2.34,3.39,1.629,13.656812,1.0340769,0.483,-0.102,6.176,0.597,6.956,0.115,0.216,-0.57,0.92,2.128,6.8487806,0.393,-0.038,0.458,-0.421,6.481486060122112,2.8796224700928965
