SMILES,Unit,Qualifier,Unit_Source
CCCCN1C2=C(C=CC=N2)C(=C(C1=O)NC(=O)NC3=C(C=C(C=C3C(C)C)N)C(C)C)C4=CC(=CC=C4)OCCCO.O.Cl,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)N(C)C(=O)C2(CCN(CC2)C3=NC=CC=N3)C4=CC(=CC=C4)OC,nM,>,original
CC(C)C1=CC(=CC(=C1NC(=O)NCC2(CCN(CC2)C3=CC=CC=C3OCCCO)C4=CC(=CC=C4)OC)C(C)C)N,nM,=,original
CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)NS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,>,original
COC1=CC=CC(=C1)C2(CCN(CC2)C3=CC=CC=C3OC)C(=O)NS(=O)(=O)OC4=CC=CC=C4,nM,>,original
CC1=CC=CC=C1OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,>,original
CCCC1=CC=CC=C1OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,>,original
COC1=CC=CC(=C1)C2(CCN(CC2)C3=CC=CC=C3OC)C(=O)NS(=O)(=O)OC4=CC=CC=C4C5CCCC5,nM,>,original
CC1=C(C(=CC=C1)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,=,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,nM,=,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCNCC2)C3=CC(=CC=C3)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C)C3=CC(=CC=C3)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C(=O)C)C3=CC(=CC=C3)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C(=O)C3=CC=CC=C3)C4=CC(=CC=C4)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3)C4=CC(=CC=C4)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=C(C=CC=N3)OC)C4=CC(=CC=C4)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC4=CC=CC=C4S3)C5=CC(=CC=C5)OC,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=CC=N3)C4=CC(=CC=C4)OC,nM,>,original
CC1=NC(=NC=C1)N2CCC(CC2)(C3=CC(=CC=C3)OC)C(=O)NS(=O)(=O)OC4=C(C=CC=C4C(C)C)C(C)C,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=CC(=N3)C(F)(F)F)C4=CC(=CC=C4)OC,nM,>,original
CCCC1=CN=C(N=C1)N2CCC(CC2)(C3=CC(=CC=C3)OC)C(=O)NS(=O)(=O)OC4=C(C=CC=C4C(C)C)C(C)C,nM,>,original
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=C(C=N3)Br)C4=CC(=CC=C4)OC,nM,>,original
