Top Features Contributing to 20% of Performance
================================================================================
Model: BayR
Family: linear
Endpoint: pIC50
Species: all_SP
Total Features: 2146
Top Features Count: 96
Cumulative Importance: 0.1998
================================================================================

                feature  importance  importance_normalized  cumulative
                RDF_177    1.493679               0.014768    0.014768
                RDF_176    1.185726               0.011724    0.026492
                 RDF_26    0.818725               0.008095    0.034587
                RDF_175    0.702750               0.006948    0.041535
                 RDF_27    0.539581               0.005335    0.046871
                 RDF_57    0.499253               0.004936    0.051807
                3D_PMI1    0.360193               0.003561    0.055368
          Sol_ESOL_LogS    0.349694               0.003458    0.058826
                RDF_147    0.328452               0.003248    0.062073
                AC3D_67    0.294175               0.002909    0.064982
                AC3D_66    0.274199               0.002711    0.067693
                 AC3D_3    0.252208               0.002494    0.070187
    FP_AtomPair1024_166    0.246926               0.002441    0.072628
   FP_Morgan1024_r2_618    0.230088               0.002275    0.074903
    RDKit2D_VSA_EState6    0.228538               0.002260    0.077163
 FP_TopoTorsion1024_694    0.225656               0.002231    0.079394
        FP_RDKit512_421    0.209452               0.002071    0.081465
 FP_TopoTorsion1024_664    0.205360               0.002030    0.083495
   FP_Morgan1024_r2_929    0.200032               0.001978    0.085473
   FP_Morgan1024_r2_725    0.199600               0.001974    0.087446
         Flex_RingCount    0.196965               0.001947    0.089394
 FP_TopoTorsion1024_965    0.190812               0.001887    0.091281
    MD_Inertial_Ratio_2    0.189259               0.001871    0.093152
    FP_AtomPair1024_450    0.184495               0.001824    0.094976
     FP_AtomPair1024_71    0.181652               0.001796    0.096772
 FP_TopoTorsion1024_337    0.180340               0.001783    0.098555
        FP_RDKit512_369    0.176347               0.001744    0.100299
        FP_RDKit512_175    0.173735               0.001718    0.102016
  FP_Morgan1024_r2_1007    0.173296               0.001713    0.103730
        FP_RDKit512_230    0.169313               0.001674    0.105404
    FP_AtomPair1024_242    0.169104               0.001672    0.107076
                 RDF_28    0.169001               0.001671    0.108747
        FP_RDKit512_135    0.168162               0.001663    0.110410
         FP_RDKit512_85    0.167158               0.001653    0.112062
        FP_RDKit512_428    0.167088               0.001652    0.113714
 FP_TopoTorsion1024_290    0.165664               0.001638    0.115352
 FP_TopoTorsion1024_121    0.162945               0.001611    0.116963
           FP_MACCS_138    0.161489               0.001597    0.118560
    FP_AtomPair1024_969    0.159881               0.001581    0.120141
    FP_Morgan1024_r2_29    0.158534               0.001567    0.121708
    FP_AtomPair1024_466    0.158002               0.001562    0.123271
    FP_AtomPair1024_687    0.157798               0.001560    0.124831
      RDKit2D_PEOE_VSA4    0.156970               0.001552    0.126383
           FP_MACCS_120    0.156291               0.001545    0.127928
   RDKit2D_EState_VSA10    0.156128               0.001544    0.129472
           FP_MACCS_159    0.155961               0.001542    0.131014
     FP_AtomPair1024_19    0.155435               0.001537    0.132551
    FP_AtomPair1024_917    0.155312               0.001536    0.134086
   FP_Morgan1024_r2_816    0.154851               0.001531    0.135617
    FP_AtomPair1024_375    0.153280               0.001516    0.137133
                AC3D_61    0.152862               0.001511    0.138644
    FP_AtomPair1024_795    0.151255               0.001496    0.140140
    FP_AtomPair1024_144    0.151129               0.001494    0.141634
    FP_AtomPair1024_123    0.151116               0.001494    0.143128
         FP_RDKit512_58    0.149521               0.001478    0.144607
        FP_RDKit512_368    0.149518               0.001478    0.146085
    FP_AtomPair1024_680    0.148918               0.001472    0.147557
   FP_Morgan1024_r2_832    0.148731               0.001471    0.149028
            FP_MACCS_74    0.147599               0.001459    0.150487
                AC3D_60    0.146548               0.001449    0.151936
        FP_RDKit512_123    0.144920               0.001433    0.153369
   FP_Morgan1024_r2_828    0.144765               0.001431    0.154800
    FP_AtomPair1024_215    0.144677               0.001430    0.156231
    FP_AtomPair1024_575    0.142870               0.001413    0.157644
    FP_AtomPair1024_886    0.142419               0.001408    0.159052
    FP_AtomPair1024_697    0.142188               0.001406    0.160458
         FP_RDKit512_56    0.139714               0.001381    0.161839
 FP_TopoTorsion1024_472    0.139575               0.001380    0.163219
     FP_AtomPair1024_63    0.139497               0.001379    0.164598
            FP_MACCS_65    0.138399               0.001368    0.165967
   FP_Morgan1024_r2_869    0.138035               0.001365    0.167331
 FP_TopoTorsion1024_761    0.137609               0.001361    0.168692
   FP_Morgan1024_r2_996    0.137056               0.001355    0.170047
        FP_RDKit512_169    0.136651               0.001351    0.171398
 FP_MorganFeat1024_r2_5    0.136309               0.001348    0.172746
     FP_AtomPair1024_69    0.135382               0.001339    0.174085
   FP_Morgan1024_r2_425    0.135179               0.001337    0.175421
    FP_AtomPair1024_992    0.135087               0.001336    0.176757
    FP_AtomPair1024_686    0.134832               0.001333    0.178090
FP_MorganFeat1024_r2_33    0.134707               0.001332    0.179422
    FP_AtomPair1024_324    0.134221               0.001327    0.180749
   FP_Morgan1024_r2_134    0.133428               0.001319    0.182068
    FP_AtomPair1024_626    0.132898               0.001314    0.183382
                  RDF_2    0.130372               0.001289    0.184671
    FP_AtomPair1024_602    0.129034               0.001276    0.185947
        FP_RDKit512_505    0.128412               0.001270    0.187217
    FP_AtomPair1024_816    0.128123               0.001267    0.188483
        FP_RDKit512_414    0.127642               0.001262    0.189745
 FP_TopoTorsion1024_673    0.127575               0.001261    0.191007
RDKit2D_fr_allylic_oxid    0.127098               0.001257    0.192263
   FP_Morgan1024_r2_114    0.127040               0.001256    0.193520
           FP_MACCS_157    0.126636               0.001252    0.194772
    3D_RadiusOfGyration    0.126546               0.001251    0.196023
       RDKit2D_SMR_VSA2    0.126441               0.001250    0.197273
                RDF_149    0.125814               0.001244    0.198517
