Top Features Contributing to 20% of Performance
================================================================================
Model: Huber
Family: linear
Endpoint: pIC50
Species: all_SP
Total Features: 2146
Top Features Count: 97
Cumulative Importance: 0.1999
================================================================================

               feature  importance  importance_normalized  cumulative
               RDF_177    2.428059               0.015989    0.015989
               RDF_176    1.839704               0.012115    0.028104
                RDF_26    1.499278               0.009873    0.037977
                RDF_27    0.958648               0.006313    0.044290
                RDF_57    0.853042               0.005617    0.049907
               RDF_175    0.657037               0.004327    0.054234
               3D_PMI1    0.526107               0.003464    0.057698
               RDF_147    0.521660               0.003435    0.061134
                AC3D_3    0.452654               0.002981    0.064114
               AC3D_67    0.450353               0.002966    0.067080
   MD_Inertial_Ratio_2    0.408166               0.002688    0.069768
   FP_AtomPair1024_166    0.399040               0.002628    0.072396
               AC3D_66    0.386342               0.002544    0.074940
   FP_AtomPair1024_375    0.335468               0.002209    0.077149
               AC3D_60    0.327434               0.002156    0.079305
          FP_MACCS_138    0.311281               0.002050    0.081355
  FP_Morgan1024_r2_929    0.310645               0.002046    0.083401
   FP_AtomPair1024_450    0.298985               0.001969    0.085369
  FP_Morgan1024_r2_618    0.297959               0.001962    0.087331
   FP_AtomPair1024_242    0.293031               0.001930    0.089261
       FP_RDKit512_421    0.285110               0.001877    0.091139
       FP_RDKit512_135    0.282426               0.001860    0.092998
   FP_AtomPair1024_466    0.271625               0.001789    0.094787
   FP_AtomPair1024_686    0.270026               0.001778    0.096565
FP_TopoTorsion1024_664    0.261496               0.001722    0.098287
         Sol_ESOL_LogS    0.259539               0.001709    0.099996
        FP_RDKit512_22    0.256621               0.001690    0.101686
   FP_AtomPair1024_680    0.256429               0.001689    0.103375
        Flex_RingCount    0.253412               0.001669    0.105044
                RDF_87    0.253156               0.001667    0.106711
       FP_RDKit512_428    0.253069               0.001666    0.108377
  FP_Morgan1024_r2_883    0.251129               0.001654    0.110031
    FP_AtomPair1024_19    0.250177               0.001647    0.111678
               AC3D_61    0.246429               0.001623    0.113301
  FP_Morgan1024_r2_890    0.245478               0.001617    0.114918
   FP_Morgan1024_r2_94    0.242956               0.001600    0.116518
                RDF_92    0.239348               0.001576    0.118094
  FP_Morgan1024_r2_832    0.236342               0.001556    0.119650
   FP_AtomPair1024_440    0.235659               0.001552    0.121202
   RDKit2D_VSA_EState6    0.230450               0.001518    0.122720
   FP_AtomPair1024_141    0.228727               0.001506    0.124226
FP_TopoTorsion1024_421    0.226849               0.001494    0.125720
FP_TopoTorsion1024_337    0.225947               0.001488    0.127207
   FP_AtomPair1024_123    0.224105               0.001476    0.128683
   3D_RadiusOfGyration    0.222333               0.001464    0.130147
   FP_AtomPair1024_816    0.221581               0.001459    0.131606
                RDF_36    0.220918               0.001455    0.133061
  FP_Morgan1024_r2_409    0.219586               0.001446    0.134507
  FP_Morgan1024_r2_869    0.219053               0.001442    0.135950
  FP_Morgan1024_r2_725    0.218880               0.001441    0.137391
   FP_Morgan1024_r2_32    0.217448               0.001432    0.138823
          FP_MACCS_159    0.217392               0.001432    0.140255
   FP_AtomPair1024_144    0.216497               0.001426    0.141680
   FP_AtomPair1024_687    0.215240               0.001417    0.143098
FP_TopoTorsion1024_989    0.214784               0.001414    0.144512
   FP_AtomPair1024_969    0.214323               0.001411    0.145923
    FP_AtomPair1024_69    0.214026               0.001409    0.147333
