Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Small
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 216
Cumulative Importance: 0.1994
================================================================================

                        feature  importance  importance_normalized  cumulative
                        RDF_175    0.007919               0.002023    0.002023
            FP_AtomPair1024_644    0.006315               0.001613    0.003636
            FP_AtomPair1024_217    0.006029               0.001540    0.005176
             FP_AtomPair1024_24    0.005813               0.001485    0.006660
                       AC2D_191    0.005734               0.001464    0.008125
                   FP_MACCS_126    0.005720               0.001461    0.009586
                 FP_RDKit512_28    0.005646               0.001442    0.011028
                          RDF_9    0.005606               0.001432    0.012460
                FP_RDKit512_210    0.005583               0.001426    0.013886
                FP_RDKit512_233    0.005456               0.001393    0.015279
         FP_TopoTorsion1024_292    0.005262               0.001344    0.016623
                FP_RDKit512_478    0.005257               0.001343    0.017966
       FP_MorganFeat1024_r2_372    0.005186               0.001325    0.019290
                 FP_RDKit512_19    0.005176               0.001322    0.020612
            FP_AtomPair1024_233    0.005165               0.001319    0.021932
                FP_RDKit512_223    0.005102               0.001303    0.023235
           FP_Morgan1024_r2_929    0.005036               0.001286    0.024521
                FP_RDKit512_241    0.005026               0.001284    0.025805
            FP_AtomPair1024_728    0.004897               0.001251    0.027055
                FP_RDKit512_106    0.004837               0.001235    0.028291
       FP_MorganFeat1024_r2_493    0.004832               0.001234    0.029525
           FP_Morgan1024_r2_458    0.004756               0.001215    0.030740
       FP_MorganFeat1024_r2_270    0.004747               0.001213    0.031952
                FP_RDKit512_169    0.004718               0.001205    0.033157
         FP_TopoTorsion1024_337    0.004694               0.001199    0.034356
            FP_AtomPair1024_760    0.004673               0.001193    0.035550
                   FP_MACCS_128    0.004597               0.001174    0.036724
                         RDF_15    0.004596               0.001174    0.037898
                 FP_RDKit512_79    0.004582               0.001170    0.039068
                FP_RDKit512_268    0.004537               0.001159    0.040227
         FP_TopoTorsion1024_332    0.004485               0.001146    0.041373
           FP_Morgan1024_r2_168    0.004457               0.001138    0.042511
            FP_AtomPair1024_686    0.004439               0.001134    0.043645
                FP_RDKit512_313    0.004409               0.001126    0.044771
       FP_MorganFeat1024_r2_232    0.004398               0.001123    0.045894
           FP_Morgan1024_r2_573    0.004347               0.001110    0.047004
          FP_TopoTorsion1024_13    0.004283               0.001094    0.048098
                FP_RDKit512_364    0.004257               0.001087    0.049186
