Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Tanh
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 146
Cumulative Importance: 0.1994
================================================================================

                        feature  importance  importance_normalized  cumulative
       FP_MorganFeat1024_r2_876    0.003718               0.004915    0.004915
             RDKit2D_fr_hdrzine    0.002572               0.003400    0.008315
           FP_Morgan1024_r2_902    0.002454               0.003244    0.011560
         FP_TopoTorsion1024_781    0.002437               0.003221    0.014781
           FP_Morgan1024_r2_720    0.002267               0.002997    0.017778
           FP_Morgan1024_r2_725    0.002099               0.002775    0.020553
           FP_Morgan1024_r2_312    0.002041               0.002698    0.023251
           FP_Morgan1024_r2_544    0.002034               0.002689    0.025940
       FP_MorganFeat1024_r2_421    0.001934               0.002557    0.028497
           FP_Morgan1024_r2_470    0.001927               0.002547    0.031045
               RDKit2D_fr_nitro    0.001825               0.002412    0.033457
           FP_Morgan1024_r2_898    0.001674               0.002212    0.035669
             RDKit2D_fr_guanido    0.001671               0.002209    0.037878
           FP_Morgan1024_r2_899    0.001557               0.002059    0.039937
         FP_TopoTorsion1024_996    0.001523               0.002014    0.041951
           FP_Morgan1024_r2_244    0.001476               0.001951    0.043901
          FP_TopoTorsion1024_56    0.001474               0.001949    0.045850
       FP_MorganFeat1024_r2_550    0.001463               0.001934    0.047785
           FP_Morgan1024_r2_797    0.001463               0.001934    0.049719
           FP_Morgan1024_r2_270    0.001407               0.001859    0.051578
           FP_Morgan1024_r2_882    0.001387               0.001834    0.053412
                    FP_MACCS_71    0.001373               0.001815    0.055227
           FP_Morgan1024_r2_706    0.001345               0.001778    0.057005
         FP_TopoTorsion1024_780    0.001332               0.001761    0.058766
           FP_Morgan1024_r2_343    0.001312               0.001734    0.060500
       FP_MorganFeat1024_r2_604    0.001298               0.001716    0.062216
             FP_AtomPair1024_71    0.001294               0.001710    0.063927
            FP_AtomPair1024_579    0.001290               0.001706    0.065633
           FP_Morgan1024_r2_835    0.001280               0.001692    0.067324
           FP_Morgan1024_r2_567    0.001268               0.001676    0.069001
        FP_MorganFeat1024_r2_98    0.001258               0.001663    0.070663
       FP_MorganFeat1024_r2_166    0.001255               0.001659    0.072322
            FP_AtomPair1024_486    0.001229               0.001625    0.073947
           FP_Morgan1024_r2_685    0.001213               0.001603    0.075550
           FP_Morgan1024_r2_358    0.001206               0.001594    0.077144
         FP_TopoTorsion1024_526    0.001197               0.001583    0.078727
           FP_Morgan1024_r2_103    0.001190               0.001573    0.080300
       FP_MorganFeat1024_r2_877    0.001189               0.001572    0.081873
           FP_Morgan1024_r2_587    0.001188               0.001570    0.083443
            FP_Morgan1024_r2_55    0.001166               0.001542    0.084985
            FP_Morgan1024_r2_34    0.001148               0.001518    0.086503
       FP_MorganFeat1024_r2_732    0.001130               0.001494    0.087997
         FP_TopoTorsion1024_722    0.001113               0.001471    0.089468
           FP_Morgan1024_r2_471    0.001106               0.001462    0.090930
         FP_TopoTorsion1024_290    0.001101               0.001456    0.092386
        FP_MorganFeat1024_r2_79    0.001091               0.001442    0.093828
         FP_TopoTorsion1024_973    0.001077               0.001424    0.095253
       FP_MorganFeat1024_r2_539    0.001064               0.001406    0.096659
           FP_Morgan1024_r2_911    0.001061               0.001402    0.098061
         FP_TopoTorsion1024_720    0.001051               0.001390    0.099451
        FP_MorganFeat1024_r2_11    0.001038               0.001372    0.100823
           FP_Morgan1024_r2_583    0.001034               0.001366    0.102190
       FP_MorganFeat1024_r2_477    0.001023               0.001352    0.103542
           FP_Morgan1024_r2_939    0.001011               0.001336    0.104878
       FP_MorganFeat1024_r2_171    0.001004               0.001327    0.106205
       FP_MorganFeat1024_r2_558    0.000987               0.001305    0.107510
       FP_MorganFeat1024_r2_493    0.000979               0.001294    0.108804
            FP_Morgan1024_r2_70    0.000959               0.001268    0.110072
                    FP_MACCS_69    0.000936               0.001238    0.111310
       FP_MorganFeat1024_r2_915    0.000931               0.001231    0.112541
           FP_Morgan1024_r2_111    0.000929               0.001228    0.113769
           FP_Morgan1024_r2_950    0.000927               0.001225    0.114994
       FP_MorganFeat1024_r2_353    0.000924               0.001222    0.116216
            FP_AtomPair1024_583    0.000921               0.001218    0.117434
           FP_Morgan1024_r2_556    0.000907               0.001199    0.118632
                FP_RDKit512_505    0.000905               0.001196    0.119829
           FP_Morgan1024_r2_750    0.000904               0.001195    0.121024
            FP_Morgan1024_r2_83    0.000904               0.001195    0.122219
           FP_Morgan1024_r2_639    0.000903               0.001193    0.123413
                       AC2D_139    0.000902               0.001193    0.124605
           FP_Morgan1024_r2_412    0.000902               0.001193    0.125798
           FP_Morgan1024_r2_626    0.000902               0.001192    0.126990
       FP_MorganFeat1024_r2_317    0.000893               0.001180    0.128170
                FP_RDKit512_134    0.000881               0.001164    0.129334
           FP_Morgan1024_r2_134    0.000880               0.001164    0.130498
       FP_MorganFeat1024_r2_261    0.000872               0.001153    0.131651
          FP_TopoTorsion1024_24    0.000867               0.001146    0.132797
           FP_Morgan1024_r2_376    0.000858               0.001134    0.133931
            FP_Morgan1024_r2_74    0.000856               0.001132    0.135063
           FP_Morgan1024_r2_667    0.000855               0.001131    0.136194
         FP_TopoTorsion1024_554    0.000853               0.001128    0.137321
RDKit2D_NumSaturatedCarbocycles    0.000853               0.001128    0.138449
            FP_AtomPair1024_795    0.000848               0.001121    0.139570
                Shape_Ratio_W_T    0.000830               0.001098    0.140667
                 FP_RDKit512_19    0.000827               0.001093    0.141760
                 FP_RDKit512_30    0.000826               0.001092    0.142853
           FP_Morgan1024_r2_988    0.000815               0.001078    0.143930
           FP_Morgan1024_r2_951    0.000797               0.001054    0.144984
                        AC3D_35    0.000797               0.001053    0.146037
        FP_MorganFeat1024_r2_70    0.000790               0.001044    0.147081
             FP_AtomPair1024_66    0.000778               0.001028    0.148109
           FP_Morgan1024_r2_405    0.000776               0.001026    0.149135
               RDKit2D_fr_Imine    0.000774               0.001024    0.150159
             FP_Morgan1024_r2_2    0.000766               0.001013    0.151172
           FP_Morgan1024_r2_582    0.000764               0.001010    0.152181
         FP_TopoTorsion1024_433    0.000758               0.001002    0.153183
        FP_MorganFeat1024_r2_61    0.000755               0.000998    0.154181
       FP_MorganFeat1024_r2_559    0.000748               0.000989    0.155170
          FP_TopoTorsion1024_45    0.000745               0.000985    0.156155
         FP_TopoTorsion1024_812    0.000742               0.000981    0.157136
             FP_AtomPair1024_83    0.000737               0.000975    0.158111
            FP_AtomPair1024_975    0.000736               0.000973    0.159084
           FP_Morgan1024_r2_620    0.000732               0.000967    0.160051
           FP_Morgan1024_r2_868    0.000731               0.000966    0.161017
         FP_TopoTorsion1024_445    0.000730               0.000965    0.161982
                FP_RDKit512_331    0.000728               0.000962    0.162944
            FP_AtomPair1024_613    0.000725               0.000958    0.163902
           FP_Morgan1024_r2_107    0.000723               0.000955    0.164857
            FP_AtomPair1024_612    0.000721               0.000953    0.165811
                FP_RDKit512_217    0.000720               0.000951    0.166762
           FP_Morgan1024_r2_464    0.000719               0.000951    0.167713
           FP_Morgan1024_r2_927    0.000719               0.000950    0.168663
         FP_TopoTorsion1024_537    0.000719               0.000950    0.169613
           FP_Morgan1024_r2_648    0.000718               0.000949    0.170562
         FP_TopoTorsion1024_280    0.000717               0.000948    0.171510
         FP_TopoTorsion1024_876    0.000717               0.000948    0.172458
            FP_AtomPair1024_429    0.000714               0.000944    0.173402
            FP_AtomPair1024_667    0.000711               0.000939    0.174342
           FP_Morgan1024_r2_743    0.000710               0.000938    0.175280
         FP_TopoTorsion1024_660    0.000708               0.000936    0.176216
           FP_Morgan1024_r2_517    0.000707               0.000935    0.177150
        FP_MorganFeat1024_r2_63    0.000706               0.000934    0.178084
            FP_AtomPair1024_880    0.000694               0.000917    0.179001
            FP_AtomPair1024_428    0.000693               0.000916    0.179917
            FP_AtomPair1024_382    0.000683               0.000903    0.180820
           FP_Morgan1024_r2_249    0.000683               0.000902    0.181722
            FP_AtomPair1024_335    0.000682               0.000902    0.182624
           FP_AtomPair1024_1020    0.000678               0.000897    0.183520
            FP_AtomPair1024_360    0.000678               0.000897    0.184417
                FP_RDKit512_127    0.000674               0.000891    0.185308
                FP_RDKit512_471    0.000674               0.000891    0.186200
                FP_RDKit512_458    0.000673               0.000889    0.187089
       FP_MorganFeat1024_r2_152    0.000671               0.000887    0.187976
                FP_RDKit512_367    0.000671               0.000887    0.188863
         FP_TopoTorsion1024_637    0.000669               0.000885    0.189748
         FP_TopoTorsion1024_294    0.000669               0.000884    0.190632
           FP_AtomPair1024_1004    0.000667               0.000881    0.191513
           FP_Morgan1024_r2_783    0.000663               0.000876    0.192389
           FP_Morgan1024_r2_978    0.000663               0.000876    0.193266
            FP_AtomPair1024_147    0.000662               0.000875    0.194141
            FP_AtomPair1024_236    0.000661               0.000873    0.195014
           FP_Morgan1024_r2_668    0.000660               0.000872    0.195886
           FP_Morgan1024_r2_178    0.000659               0.000872    0.196758
                FP_RDKit512_329    0.000658               0.000869    0.197627
            RDKit2D_EState_VSA9    0.000654               0.000865    0.198492
RDKit2D_NumAliphaticCarbocycles    0.000654               0.000864    0.199356
