SMILES,FP_Morgan1024_r2_658,FP_Morgan1024_r2_233,FP_RDKit512_307,RDKit2D_fr_ether,Frag_fr_ether,FP_RDKit512_6,FP_Morgan1024_r2_210,FP_Morgan1024_r2_13,FP_RDKit512_102,FP_TopoTorsion1024_800,FP_Morgan1024_r2_893,Pharm2D_Gobbi_74,FP_Morgan1024_r2_726,FP_Morgan1024_r2_698,FP_MACCS_50,FP_RDKit512_106,RDKit2D_SlogP_VSA8,FP_RDKit512_437,FP_RDKit512_31,FP_RDKit512_76,Pharm2D_Gobbi_81,Frag_fr_benzene,Frag_fr_pyridine,RDKit2D_fr_methoxy,FP_MorganFeat1024_r2_193,RDKit2D_fr_pyridine,Frag_fr_methoxy,FP_MACCS_158,Pharm2D_Gobbi_73,Pharm2D_Gobbi_24,FP_MorganFeat1024_r2_24,FP_MACCS_136,FP_RDKit512_253,RDKit2D_fr_benzene,FP_MACCS_142,Pharm2D_Gobbi_79,FP_TopoTorsion1024_761,FP_MACCS_126,FP_MACCS_76,FP_RDKit512_18,FP_RDKit512_327,FP_RDKit512_396,RDKit2D_NumAromaticCarbocycles,FP_Morgan1024_r2_525,FP_RDKit512_349,FP_MorganFeat1024_r2_648,FP_RDKit512_101,Tautomer_Score,AC2D_163,AC2D_115,FP_TopoTorsion1024_730,AC2D_98,RDKit2D_fr_bicyclic,FP_RDKit512_263,FP_AtomPair1024_865,RDKit2D_SPS,FP_TopoTorsion1024_868,RDKit2D_MinAbsEStateIndex,FP_Morgan1024_r2_367,FP_RDKit512_183,FP_MACCS_116,Flex_FractionCSP3,AC2D_114,FP_Morgan1024_r2_897,RDKit2D_SMR_VSA3,FP_MACCS_99,AC2D_122,FP_RDKit512_478,FP_TopoTorsion1024_372,FP_TopoTorsion1024_376,Frag_fr_allylic_oxid,RDKit2D_fr_allylic_oxid,FP_RDKit512_60,GETAWAY_124,FP_AtomPair1024_898,Pharm2D_Gobbi_231,RDKit2D_HallKierAlpha,FP_MorganFeat1024_r2_646,FP_AtomPair1024_696,FP_AtomPair1024_697,FP_MorganFeat1024_r2_277,RDKit2D_VSA_EState2,RDKit2D_fr_C_O_noCOO,RDKit2D_fr_C_O,RDKit2D_PEOE_VSA2,FP_RDKit512_184,FP_AtomPair1024_632,RDKit2D_NumAmideBonds,FP_RDKit512_109,RDKit2D_fr_NH1,FP_Morgan1024_r2_575,FP_Morgan1024_r2_681,RDKit2D_AvgIpc,Pharm2D_Gobbi_219,FP_RDKit512_97,FP_RDKit512_108,FP_Morgan1024_r2_128,Pharm2D_Gobbi_82,FP_RDKit512_16,AC2D_189,RDKit2D_SMR_VSA10,FP_AtomPair1024_720,FP_TopoTorsion1024_688,MORSE_190,RDKit2D_VSA_EState5,RDKit2D_EState_VSA6,FP_RDKit512_160,FP_RDKit512_12,FP_RDKit512_180,RDKit2D_MaxAbsEStateIndex,MORSE_158,FP_RDKit512_130,FP_TopoTorsion1024_413,RDKit2D_NumAromaticRings,FP_RDKit512_175,FP_AtomPair1024_250,FP_AtomPair1024_372,MORSE_126,FP_AtomPair1024_381,FP_RDKit512_443,FP_RDKit512_187,FP_RDKit512_66,RDKit2D_PEOE_VSA12,Pharm2D_Gobbi_80,Phys_Mean_Bond_Polarity,MORSE_30,FP_TopoTorsion1024_500,RDKit2D_RingCount,average,sample_weight
CN(C)c1ccc2nc3c(C(=O)O)cc(=O)c(O)c-3oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22.553896,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,265.0,0.993,-0.002,0.0,-0.036,2.0,0.0,1.0,11.0,1.0,0.060460128,0.0,1.0,0.0,0.13333334,-0.034,1.0,4.9839787,0.0,-0.064,1.0,0.0,1.0,0.0,0.0,0.0,47.242,0.0,0.0,-3.09,0.0,1.0,1.0,0.0,28.971416,0.0,1.0,4.794537,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.4805694,0.0,1.0,1.0,0.0,0.0,0.0,1.066,22.756413,1.0,1.0,-0.368,-2.1879408,18.1991,1.0,1.0,0.0,11.6601515,-0.278,0.0,0.0,1.0,1.0,0.0,1.0,-0.357,1.0,1.0,0.0,0.0,11.178302,1.0,0.250676,-0.335,0.0,3.0,9.327902142064282,1.0329961881563277
CC1=CCC(C(=O)N=C2CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=CC1=NC(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)N=C3CC(C(=O)N=C4CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.810273,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1033.0,1.205,-0.343,0.0,-0.107,2.0,1.0,0.0,20.511627,1.0,0.01565494,0.0,1.0,1.0,0.15686275,-0.184,0.0,0.0,1.0,-0.054,1.0,1.0,1.0,14.0,14.0,1.0,59.116,0.0,0.0,-8.33,0.0,1.0,1.0,0.0,84.81962,5.0,5.0,46.494648,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.8083543,0.0,1.0,1.0,0.0,0.0,1.0,1.163,134.44897,1.0,1.0,0.002,-3.829026,13.847474,1.0,1.0,0.0,13.664264,0.086,1.0,0.0,2.0,0.0,0.0,1.0,-0.127,1.0,0.0,1.0,1.0,0.0,1.0,0.20539469,0.005,1.0,8.0,3.721246399047171,1.0329961881563277
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1005.0,0.855,0.103,0.0,-0.113,0.0,0.0,1.0,11.658537,0.0,0.017969558,0.0,0.0,0.0,0.24242425,-0.112,0.0,4.8999095,0.0,-0.061,1.0,0.0,1.0,0.0,0.0,1.0,55.006,0.0,0.0,-3.81,0.0,1.0,0.0,0.0,13.147555,0.0,1.0,9.694447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.947165,0.0,1.0,1.0,0.0,0.0,1.0,0.798,17.570246,1.0,0.0,-0.251,-0.36509743,30.331835,0.0,0.0,1.0,13.579739,-0.232,0.0,0.0,4.0,0.0,0.0,0.0,-0.274,0.0,1.0,0.0,0.0,0.0,1.0,0.13598077,-0.264,0.0,4.0,5.15676722190199,1.0329961881563277
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,110.0,1.039,0.053,0.0,0.166,0.0,1.0,0.0,15.433333,0.0,0.062352605,1.0,1.0,1.0,0.48,0.166,0.0,4.9839787,1.0,0.162,1.0,1.0,0.0,6.0,6.0,1.0,21.66,0.0,0.0,-2.53,1.0,0.0,0.0,1.0,15.556084,0.0,0.0,4.794537,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.7262383,0.0,0.0,1.0,0.0,0.0,0.0,0.731,0.0,0.0,0.0,0.379,0.61132294,6.923737,1.0,1.0,0.0,12.404833,0.355,1.0,0.0,1.0,1.0,0.0,1.0,0.376,0.0,1.0,0.0,0.0,17.05829,0.0,0.1318923,0.369,0.0,1.0,5.489454989793388,1.0329961881563277
C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,110.0,0.906,0.13,0.0,0.257,0.0,1.0,0.0,25.853659,0.0,0.1206387,1.0,1.0,1.0,0.58064514,0.258,1.0,4.9839787,1.0,0.247,1.0,1.0,0.0,6.0,6.0,1.0,16.884,0.0,1.0,-2.73,1.0,0.0,0.0,1.0,15.688528,0.0,0.0,4.794537,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.9513268,1.0,1.0,1.0,0.0,0.0,0.0,0.695,0.0,0.0,0.0,-0.007,0.35180342,6.923737,1.0,1.0,0.0,12.546567,0.243,1.0,0.0,1.0,1.0,0.0,0.0,-0.042,0.0,1.0,0.0,0.0,17.05829,0.0,0.16343348,0.067,1.0,2.0,-0.5430742350335329,1.0329961881563277
COc1[nH]c(C/C=C(\C)C/C=C/C(C)=C/[C@@H](C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C(C)=C/CO)c(C)c(=O)c1OC,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,109.0,0.913,0.087,1.0,0.216,0.0,1.0,0.0,25.52381,0.0,0.15439767,1.0,1.0,1.0,0.58064514,0.217,1.0,4.9839787,1.0,0.207,1.0,1.0,0.0,5.0,5.0,1.0,18.096,0.0,1.0,-2.77,1.0,0.0,0.0,1.0,15.681894,0.0,0.0,4.794537,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.9564645,1.0,1.0,1.0,0.0,0.0,0.0,0.709,0.0,0.0,0.0,0.156,0.21748829,19.923494,1.0,1.0,0.0,12.551383,0.313,1.0,0.0,1.0,1.0,0.0,1.0,0.122,0.0,1.0,0.0,0.0,17.05829,0.0,0.17116538,0.195,1.0,2.0,-0.1376705372367546,1.0329961881563277
C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,110.0,0.915,0.118,1.0,0.248,0.0,1.0,0.0,31.865385,0.0,0.14249565,1.0,1.0,1.0,0.24242425,0.248,1.0,4.9839787,1.0,0.239,1.0,1.0,0.0,6.0,6.0,1.0,42.723,0.0,1.0,-2.93,1.0,0.0,0.0,1.0,15.766935,0.0,0.0,4.794537,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.1235292,1.0,1.0,1.0,0.0,0.0,0.0,0.719,0.0,1.0,0.0,-0.898,0.19278248,6.923737,1.0,1.0,0.0,12.632243,-0.278,1.0,0.0,1.0,1.0,0.0,0.0,-0.912,0.0,1.0,0.0,0.0,17.05829,0.0,0.22131896,-0.539,1.0,3.0,0.4260845595784488,1.0329961881563277
C/C=C(\C)C(=O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,113.0,1.039,0.053,0.0,0.166,0.0,0.0,0.0,14.2,0.0,0.13209184,0.0,0.0,1.0,0.44,0.166,0.0,4.9839787,1.0,0.162,1.0,1.0,0.0,8.0,8.0,1.0,26.463,0.0,0.0,-2.82,1.0,0.0,0.0,1.0,27.702568,1.0,1.0,9.589074,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.7262383,0.0,0.0,1.0,0.0,0.0,1.0,0.561,5.783245,0.0,0.0,0.223,0.557,6.923737,1.0,1.0,0.0,12.398688,0.257,1.0,0.0,1.0,1.0,0.0,0.0,0.212,0.0,1.0,0.0,0.0,17.05829,0.0,0.12834772,0.232,0.0,1.0,5.141462802430361,1.0329961881563277
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.80585,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1294.0,1.148,-0.216,0.0,0.023,2.0,0.0,1.0,14.98374,1.0,0.23443623,0.0,0.0,0.0,0.24242425,0.019,0.0,79.08621,0.0,0.087,0.0,0.0,1.0,0.0,0.0,0.0,42.723,0.0,0.0,-13.37,0.0,1.0,0.0,0.0,241.0402,14.0,17.0,81.50713,0.0,1.0,14.0,0.0,15.0,0.0,0.0,1.6517793,0.0,0.0,0.0,1.0,1.0,1.0,0.886,122.41428,1.0,1.0,-0.898,-22.03281,126.602036,0.0,0.0,1.0,14.977833,-0.278,0.0,1.0,6.0,0.0,1.0,1.0,-0.912,1.0,0.0,1.0,1.0,82.700516,1.0,0.22131896,-0.539,0.0,6.0,5.013228265733755,1.0329961881563277
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.80585,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1290.0,1.172,-0.214,0.0,0.033,2.0,0.0,1.0,15.12605,1.0,0.19593765,0.0,0.0,0.0,0.45679012,0.029,0.0,79.08621,0.0,0.102,0.0,0.0,1.0,0.0,0.0,0.0,39.078,0.0,0.0,-12.84,0.0,0.0,0.0,0.0,227.13976,14.0,16.0,76.71259,0.0,1.0,14.0,0.0,15.0,0.0,0.0,1.683571,0.0,0.0,0.0,1.0,1.0,1.0,0.887,116.44498,1.0,1.0,-1.243,-19.452536,126.602036,0.0,0.0,1.0,14.810817,-0.299,0.0,0.0,6.0,0.0,1.0,1.0,-1.208,1.0,0.0,1.0,1.0,82.700516,1.0,0.22131896,-0.876,0.0,6.0,5.154901959985743,1.0329961881563277
