SMILES,Tautomer_Score,Pharm2D_Gobbi_296,FP_Morgan1024_r2_233,FP_RDKit512_307,RDKit2D_fr_ether,FP_RDKit512_6,FP_Morgan1024_r2_210,FP_Morgan1024_r2_13,FP_RDKit512_102,FP_Morgan1024_r2_698,FP_RDKit512_106,RDKit2D_fr_benzene,Pharm2D_Gobbi_75,RDKit2D_fr_methoxy,FP_MACCS_136,FP_RDKit512_253,FP_TopoTorsion1024_761,FP_MACCS_76,FP_RDKit512_327,Pharm2D_Gobbi_76,FP_RDKit512_396,FP_Morgan1024_r2_525,FP_MorganFeat1024_r2_648,FP_RDKit512_101,AC2D_163,AC2D_115,FP_TopoTorsion1024_730,RDKit2D_BCUT2D_MRLOW,AC2D_98,FP_RDKit512_263,FP_AtomPair1024_865,RDKit2D_SlogP_VSA8,FP_TopoTorsion1024_868,FP_Morgan1024_r2_367,FP_RDKit512_183,FP_MACCS_116,RDKit2D_fr_allylic_oxid,AC2D_114,FP_Morgan1024_r2_897,FP_MACCS_99,Pharm2D_Gobbi_68,RDKit2D_MinAbsPartialCharge,AC2D_122,FP_RDKit512_478,FP_TopoTorsion1024_372,FP_TopoTorsion1024_376,RDKit2D_SPS,FP_RDKit512_60,FP_AtomPair1024_898,FP_AtomPair1024_697,FP_AtomPair1024_696,FP_MorganFeat1024_r2_646,FP_MorganFeat1024_r2_277,FP_RDKit512_184,FP_AtomPair1024_632,FP_RDKit512_109,FP_Morgan1024_r2_575,FP_Morgan1024_r2_681,Pharm2D_Gobbi_213,FP_RDKit512_97,FP_RDKit512_108,FP_RDKit512_16,AC2D_189,FP_AtomPair1024_720,FP_TopoTorsion1024_688,FP_RDKit512_180,RDKit2D_NumAromaticRings,FP_RDKit512_130,FP_TopoTorsion1024_413,FP_RDKit512_175,FP_AtomPair1024_250,FP_AtomPair1024_372,FP_AtomPair1024_381,FP_RDKit512_443,FP_TopoTorsion1024_500,RDKit2D_BCUT2D_MRHI,FP_AtomPair1024_113,RDKit2D_RingCount,FP_Morgan1024_r2_844,FP_RDKit512_260,FP_TopoTorsion1024_412,FP_MACCS_57,RDKit2D_SlogP_VSA11,FP_RDKit512_300,FP_AtomPair1024_33,FP_RDKit512_316,FP_AtomPair1024_373,FP_RDKit512_390,FP_TopoTorsion1024_869,FP_AtomPair1024_9,FP_RDKit512_99,FP_AtomPair1024_716,FP_MACCS_72,average,sample_weight
CN(C)c1ccc2nc3c(C(=O)O)cc(=O)c(O)c-3oc2c1,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.993,-0.002,0.0,0.069669366,-0.036,0.0,1.0,22.553896,1.0,0.0,1.0,0.0,0.0,-0.034,1.0,0.0,0.0,0.33768934,-0.064,1.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.066,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.963621,1.0,3.0,0.0,0.0,0.0,1.0,5.7495117,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.327902142064282,1.0345132990659367
CC1=CCC(C(=O)N=C2CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=CC1=NC(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)N=C3CC(C(=O)N=C4CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,1033.0,3.7212465,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.205,-0.343,0.0,-0.114956506,-0.107,1.0,0.0,9.810273,1.0,0.0,1.0,1.0,14.0,-0.184,0.0,1.0,0.0,0.28179106,-0.054,1.0,1.0,1.0,20.511627,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.163,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.954599,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.721246399047171,1.0345132990659367
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,1005.0,5.1567674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.103,0.0,-0.13757616,-0.113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112,0.0,0.0,1.0,0.41735324,-0.061,1.0,0.0,1.0,11.658537,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.798,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.3178477,0.0,4.0,0.0,0.0,0.0,0.0,5.7495117,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.15676722190199,1.0345132990659367
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,110.0,5.489455,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.039,0.053,0.0,0.17253521,0.166,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.166,0.0,1.0,0.0,0.23821446,0.162,1.0,1.0,0.0,15.433333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.731,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.397672,0.0,1.0,1.0,1.0,0.0,0.0,11.6295,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.489454989793388,1.0345132990659367
C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,110.0,-0.54307425,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.906,0.13,0.0,-0.30990028,0.257,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.258,1.0,1.0,0.0,0.23821446,0.247,1.0,1.0,0.0,25.853659,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.695,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.3979588,0.0,2.0,1.0,1.0,0.0,1.0,11.6295,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.5430742350335329,1.0345132990659367
COc1[nH]c(C/C=C(\C)C/C=C/C(C)=C/[C@@H](C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C(C)=C/CO)c(C)c(=O)c1OC,109.0,-0.13767053,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.913,0.087,1.0,-0.30991316,0.216,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.217,1.0,1.0,0.0,0.23821446,0.207,1.0,1.0,0.0,25.52381,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.709,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.3979936,0.0,2.0,0.0,1.0,0.0,1.0,11.6295,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.1376705372367546,1.0345132990659367
C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,110.0,0.42608455,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.915,0.118,1.0,-0.33482084,0.248,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.248,1.0,1.0,0.0,0.23821446,0.239,1.0,1.0,0.0,31.865385,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.719,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.3982,1.0,3.0,1.0,1.0,0.0,1.0,11.6295,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.4260845595784488,1.0345132990659367
C/C=C(\C)C(=O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,113.0,5.141463,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.039,0.053,0.0,-0.11698923,0.166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.166,0.0,1.0,0.0,0.23821446,0.162,1.0,1.0,0.0,14.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.561,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.969589,0.0,1.0,1.0,1.0,0.0,0.0,11.6295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.141462802430361,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1294.0,5.0132284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.148,-0.216,0.0,-0.14154333,0.023,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,1.0,0.30548108,0.087,0.0,0.0,1.0,14.98374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.886,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0164275,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.013228265733755,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1290.0,5.154902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.172,-0.214,0.0,-0.14145152,0.033,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,1.0,0.30548108,0.102,0.0,0.0,1.0,15.12605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.887,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0146036,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.154901959985743,1.0345132990659367
