Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Deep
Family: nn
Endpoint: all
Species: SP
Total Features: 1074
Top Features Count: 18
Cumulative Importance: 0.1981
================================================================================

             feature  importance  importance_normalized  cumulative
           VSA_SMR_9    0.250223               0.029538    0.029538
     Frag_fr_benzene    0.205742               0.024287    0.053825
            AC2D_188    0.137469               0.016228    0.070053
              AC2D_0    0.102710               0.012125    0.082177
            AC2D_160    0.099432               0.011738    0.093915
            AC2D_104    0.093794               0.011072    0.104987
          EState_Min    0.085938               0.010145    0.115131
            AC2D_110    0.071995               0.008499    0.123630
            AC2D_157    0.069203               0.008169    0.131799
            AC2D_189    0.065116               0.007687    0.139486
             AC2D_96    0.063635               0.007512    0.146998
            AC2D_131    0.063461               0.007491    0.154489
 FP_AtomPair1024_491    0.063292               0.007471    0.161961
             AC2D_48    0.062691               0.007400    0.169361
            AC2D_143    0.061710               0.007285    0.176646
             AC2D_53    0.061367               0.007244    0.183890
            AC2D_106    0.061249               0.007230    0.191120
Frag_fr_allylic_oxid    0.059501               0.007024    0.198144
