Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Small
Family: nn
Endpoint: all
Species: SP
Total Features: 1074
Top Features Count: 14
Cumulative Importance: 0.1981
================================================================================

             feature  importance  importance_normalized  cumulative
            AC2D_131    0.077865               0.030870    0.030870
     Frag_fr_benzene    0.062785               0.024891    0.055762
          EState_Min    0.051329               0.020350    0.076111
Frag_fr_allylic_oxid    0.047052               0.018654    0.094765
             AC2D_48    0.038699               0.015342    0.110107
           VSA_SMR_9    0.029706               0.011777    0.121885
             AC2D_53    0.026364               0.010452    0.132337
             AC2D_96    0.026287               0.010421    0.142758
 FP_AtomPair1024_595    0.024511               0.009717    0.152476
            AC2D_104    0.024276               0.009624    0.162100
            AC2D_163    0.023698               0.009395    0.171495
 FP_AtomPair1024_697    0.023451               0.009297    0.180793
            AC2D_117    0.023396               0.009276    0.190068
        FP_MACCS_120    0.020243               0.008026    0.198094
