SMILES,RDKit2D_TPSA,RDKit2D_EState_VSA6,AC2D_90,RDKit2D_BCUT2D_CHGHI,FP_MACCS_66,FP_Morgan1024_r2_138,FP_AtomPair1024_53,RDKit2D_BCUT2D_CHGLO,FP_Morgan1024_r2_798,FP_AtomPair1024_825,FP_AtomPair1024_899,FP_Morgan1024_r2_828,FP_MACCS_115,RDKit2D_SMR_VSA5,FP_AtomPair1024_455,RDKit2D_PEOE_VSA7,AC2D_185,FP_Morgan1024_r2_250,FP_MACCS_149,AC2D_149,RDKit2D_SlogP_VSA5,RDKit2D_EState_VSA10,RDKit2D_VSA_EState8,FP_AtomPair1024_306,FP_TopoTorsion1024_779,FP_MACCS_116,RDKit2D_VSA_EState4,FP_AtomPair1024_1014,FP_AtomPair1024_79,FP_AtomPair1024_354,FP_TopoTorsion1024_472,RDKit2D_BCUT2D_MWLOW,FP_AtomPair1024_863,AC2D_146,FP_Morgan1024_r2_1005,FP_AtomPair1024_911,FP_TopoTorsion1024_169,FP_AtomPair1024_975,FP_Morgan1024_r2_634,FP_TopoTorsion1024_412,FP_AtomPair1024_751,Sol_ESOL_LogS,AC2D_166,FP_MACCS_108,FP_AtomPair1024_623,FP_Morgan1024_r2_305,FP_AtomPair1024_847,FP_Morgan1024_r2_954,RDKit2D_MolLogP,FP_MACCS_141,FP_Morgan1024_r2_28,RDKit2D_VSA_EState2,EState_Mean,RDKit2D_EState_VSA3,FP_MorganFeat1024_r2_600,RDKit2D_SPS,FP_AtomPair1024_687,Pharm2D_Gobbi_216,AC2D_171,Pharm2D_Gobbi_217,FP_TopoTorsion1024_515,FP_MACCS_126,RDKit2D_NHOHCount,RDKit2D_MaxAbsEStateIndex,FP_AtomPair1024_135,RDKit2D_SMR_VSA4,FP_AtomPair1024_755,FP_AtomPair1024_885,RDKit2D_VSA_EState1,FP_AtomPair1024_615,FP_AtomPair1024_986,RDKit2D_SlogP_VSA6,Pharm2D_Gobbi_194,FP_TopoTorsion1024_216,RDKit2D_VSA_EState5,RDKit2D_EState_VSA11,FP_Morgan1024_r2_758,RDKit2D_EState_VSA4,FP_AtomPair1024_334,FP_RDKit512_493,Pharm2D_Gobbi_87,FP_AtomPair1024_583,RDKit2D_VSA_EState10,FP_Morgan1024_r2_895,FP_TopoTorsion1024_336,FP_Morgan1024_r2_19,FP_Morgan1024_r2_231,RDKit2D_NumHDonors,FP_TopoTorsion1024_281,RDKit2D_fr_C_O,FP_Morgan1024_r2_47,FP_Morgan1024_r2_984,Pharm2D_Gobbi_233,FP_AtomPair1024_671,FP_MorganFeat1024_r2_174,Pharm2D_Gobbi_111,FP_Morgan1024_r2_340,FP_AtomPair1024_903,FP_Morgan1024_r2_493,FP_AtomPair1024_70,FP_Morgan1024_r2_58,RDKit2D_Chi3n,FP_Morgan1024_r2_285,FP_AtomPair1024_895,RDKit2D_SMR_VSA7,RDKit2D_HallKierAlpha,AC2D_151,RDKit2D_SMR_VSA10,RDKit2D_Chi2v,AC2D_10,AC2D_53,Pharm2D_Gobbi_128,FP_AtomPair1024_414,FP_AtomPair1024_102,Pharm2D_Gobbi_126,AC2D_30,FP_AtomPair1024_50,RDKit2D_MinEStateIndex,FP_Morgan1024_r2_816,FP_AtomPair1024_331,FP_AtomPair1024_211,FP_AtomPair1024_123,RDKit2D_NumAmideBonds,RDKit2D_NOCount,AC2D_182,Pharm2D_Gobbi_136,FP_AtomPair1024_699,AC2D_51,RDKit2D_VSA_EState9,average,sample_weight
NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,440.01,0.0,490.969,2.4074986,0.0,0.0,0.0,-2.3061416,0.0,0.0,0.0,1.0,0.0,130.46947,0.0,114.997055,0.838,0.0,0.0,0.61,78.45694,57.35018,-0.4090588,0.0,1.0,0.0,15.549267,0.0,0.0,0.0,0.0,10.004757,1.0,1.107,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-15.91522,1.131,0.0,0.0,0.0,0.0,1.0,1.7868,0.0,1.0,170.3595,2.6283333,70.61231,1.0,22.07,0.0,1.0,1.269,1.0,0.0,0.0,17.0,15.038098,0.0,11.467335,1.0,0.0,29.801142,0.0,1.0,109.84699,1.0,1.0,-10.619945,14.383612,1.0,17.19327,0.0,1.0,1.0,0.0,2.7877219,1.0,0.0,1.0,1.0,15.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.013147,0.0,1.0,154.99261,-10.34,0.689,110.37072,26.578743,4.915,5.851,1.0,0.0,0.0,1.0,5.152,1.0,-2.043227,1.0,0.0,0.0,1.0,10.0,28.0,0.979,1.0,0.0,4.073,0.0,6.958607314841775,1.1077944442343703
C[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,413.99,0.0,482.374,2.406523,0.0,0.0,0.0,-2.3061392,0.0,0.0,0.0,1.0,0.0,118.130745,0.0,96.11357,0.861,1.0,0.0,0.609,66.11821,71.733795,0.7151842,0.0,0.0,0.0,9.775099,0.0,0.0,1.0,0.0,10.004822,1.0,1.101,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-15.379735,1.117,1.0,0.0,0.0,0.0,1.0,1.6777,0.0,1.0,168.58435,2.6545138,51.22591,1.0,22.489584,0.0,0.0,1.259,1.0,0.0,0.0,15.0,14.968089,0.0,5.7336674,1.0,0.0,29.644356,0.0,1.0,109.84699,1.0,1.0,-10.599492,1.9073486e-06,0.0,17.19327,1.0,1.0,1.0,0.0,2.7828217,1.0,1.0,1.0,1.0,14.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.185293,1.0,1.0,154.99261,-10.3,0.61125016,110.37072,25.463388,4.881,5.774,0.0,0.0,0.0,0.0,5.102,0.0,-2.035579,0.0,0.0,0.0,1.0,10.0,27.0,0.989,0.0,0.0,4.046,0.0,6.406713932979542,1.1077944442343703
C[C@@H]1NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,424.22,0.0,444.167,2.4042633,0.0,0.0,0.0,-2.3060033,0.0,0.0,0.0,1.0,0.0,130.97238,0.0,98.15824,0.854,1.0,0.0,0.616,79.81722,67.343376,1.0299512,0.0,0.0,0.0,14.869991,0.0,0.0,1.0,0.0,10.0166445,1.0,1.142,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-11.922836,1.159,1.0,0.0,0.0,1.0,1.0,-0.0564,0.0,1.0,163.38992,2.6462963,65.09561,1.0,23.144444,0.0,1.0,1.29,1.0,0.0,0.0,16.0,14.877038,0.0,11.467335,1.0,0.0,14.6553335,0.0,1.0,103.78062,1.0,1.0,-9.341961,1.9073486e-06,1.0,11.126903,0.0,1.0,1.0,0.0,2.8166356,1.0,1.0,1.0,1.0,14.0,1.0,11.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,14.978709,1.0,1.0,142.61072,-9.03,0.708,99.4678,24.039902,4.787,5.575,1.0,0.0,0.0,1.0,5.022,1.0,-1.9686809,1.0,0.0,0.0,1.0,10.0,27.0,1.031,1.0,0.0,3.852,0.0,6.18309616062434,1.1077944442343703
C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,402.71,12.132734,479.381,2.4030917,0.0,0.0,0.0,-2.3052127,0.0,0.0,0.0,1.0,0.0,130.97238,0.0,121.9208,0.821,1.0,0.0,0.615,78.959854,61.83273,1.0396216,0.0,0.0,0.0,16.062235,0.0,1.0,1.0,0.0,10.007915,1.0,1.108,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-16.39228,1.142,0.0,1.0,0.0,1.0,1.0,2.332,0.0,1.0,156.99783,2.5635738,87.25591,1.0,22.43299,0.0,1.0,1.31,1.0,0.0,0.0,16.0,14.950972,0.0,11.467335,0.0,0.0,29.692858,0.0,0.0,109.84699,1.0,1.0,-7.660113,1.9073486e-06,1.0,11.126903,1.0,1.0,1.0,1.0,2.833361,1.0,1.0,1.0,1.0,14.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.753471,1.0,0.0,154.99261,-9.81,0.703,104.40142,26.149982,4.891,5.551,1.0,0.0,0.0,1.0,5.108,1.0,-1.7897961,1.0,0.0,0.0,0.0,10.0,26.0,0.979,1.0,0.0,3.893,0.0,6.369572124974976,1.1077944442343703
C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,411.33,0.0,478.418,2.4016178,0.0,0.0,0.0,-2.3019857,0.0,0.0,0.0,1.0,0.0,130.97238,0.0,121.9208,0.826,1.0,0.0,0.617,79.686745,71.733795,0.85391265,0.0,0.0,0.0,15.300868,0.0,0.0,1.0,0.0,10.005958,1.0,1.096,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-15.437793,1.134,0.0,1.0,0.0,0.0,1.0,1.8409,0.0,1.0,160.86824,2.654386,70.61231,1.0,22.610527,0.0,1.0,1.267,1.0,0.0,0.0,16.0,14.891328,0.0,11.467335,1.0,0.0,29.606825,1.0,1.0,103.78062,1.0,1.0,-10.356915,1.9073486e-06,1.0,17.19327,0.0,1.0,1.0,0.0,2.7956676,1.0,1.0,1.0,1.0,14.0,1.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,16.153326,1.0,1.0,142.61072,-9.55,0.714,110.37072,25.466875,4.875,5.712,1.0,0.0,0.0,1.0,5.068,1.0,-1.9800943,1.0,0.0,0.0,1.0,10.0,26.0,0.988,1.0,0.0,4.028,0.0,6.279840696594043,1.1077944442343703
NCCCC[C@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,440.01,0.0,490.969,2.4074986,0.0,0.0,0.0,-2.3061416,0.0,0.0,0.0,1.0,0.0,130.46947,0.0,114.997055,0.838,0.0,0.0,0.61,78.45694,57.35018,-0.4090588,0.0,1.0,0.0,15.549267,0.0,0.0,0.0,0.0,10.004757,1.0,1.107,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-15.91522,1.131,0.0,0.0,0.0,0.0,1.0,1.7868,0.0,1.0,170.3595,2.6283333,70.61231,1.0,22.07,0.0,1.0,1.269,1.0,0.0,0.0,17.0,15.038098,0.0,11.467335,1.0,0.0,29.801142,0.0,1.0,109.84699,1.0,1.0,-10.619945,14.383612,1.0,17.19327,0.0,1.0,1.0,0.0,2.7877219,1.0,0.0,1.0,1.0,15.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.013147,0.0,1.0,154.99261,-10.34,0.689,110.37072,26.578743,4.915,5.851,1.0,0.0,0.0,1.0,5.152,1.0,-2.043227,1.0,0.0,0.0,1.0,10.0,28.0,0.979,1.0,0.0,4.073,0.0,4.78962796597471,1.1077944442343703
NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,440.01,0.0,490.969,2.4074986,0.0,0.0,0.0,-2.3061416,0.0,0.0,0.0,1.0,0.0,130.46947,0.0,114.997055,0.838,0.0,0.0,0.61,78.45694,57.35018,-0.4090588,0.0,1.0,0.0,15.549267,0.0,0.0,0.0,0.0,10.004757,1.0,1.107,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-15.91522,1.131,0.0,0.0,0.0,0.0,1.0,1.7868,0.0,1.0,170.3595,2.6283333,70.61231,1.0,22.07,0.0,1.0,1.269,1.0,0.0,0.0,17.0,15.038098,0.0,11.467335,1.0,0.0,29.801142,0.0,1.0,109.84699,1.0,1.0,-10.619945,14.383612,1.0,17.19327,0.0,1.0,1.0,0.0,2.7877219,1.0,0.0,1.0,1.0,15.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.013147,0.0,1.0,154.99261,-10.34,0.689,110.37072,26.578743,4.915,5.851,1.0,0.0,0.0,1.0,5.152,1.0,-2.043227,1.0,0.0,0.0,1.0,10.0,28.0,0.979,1.0,0.0,4.073,0.0,5.6965879294032575,1.1077944442343703
CN1C(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@@H]1CCCCN,431.22,0.0,494.32,2.4088035,0.0,0.0,0.0,-2.3061602,1.0,0.0,0.0,1.0,0.0,130.46947,0.0,114.997055,0.818,0.0,0.0,0.606,78.45694,57.35018,-0.3991047,0.0,1.0,1.0,15.61551,0.0,0.0,1.0,0.0,10.004724,1.0,1.093,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-16.568998,1.14,1.0,0.0,0.0,0.0,1.0,2.129,0.0,1.0,172.55139,2.6171618,70.61231,1.0,22.079208,1.0,1.0,1.269,1.0,0.0,0.0,16.0,15.080951,0.0,11.467335,1.0,1.0,29.850607,0.0,1.0,109.84699,1.0,1.0,-10.462176,14.383612,0.0,11.126903,1.0,1.0,1.0,0.0,2.806067,1.0,0.0,1.0,1.0,14.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.496557,0.0,1.0,154.99261,-10.34,0.687,110.37072,26.979086,4.942,5.868,1.0,0.0,1.0,1.0,5.167,1.0,-2.043639,1.0,0.0,0.0,1.0,10.0,28.0,0.994,1.0,0.0,4.108,1.479336,6.465973893943865,1.1077944442343703
CN1CC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C1=O,431.22,0.0,488.269,2.4087443,0.0,0.0,0.0,-2.3062098,0.0,0.0,1.0,1.0,1.0,130.46947,0.0,114.997055,0.834,0.0,0.0,0.604,78.45694,57.35018,-0.33710656,0.0,1.0,0.0,15.605531,1.0,0.0,1.0,0.0,10.004604,1.0,1.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-16.568998,1.131,1.0,1.0,0.0,1.0,0.0,2.129,0.0,1.0,172.42192,2.6171618,70.61231,1.0,22.079208,1.0,1.0,1.276,1.0,0.0,0.0,16.0,15.122957,0.0,11.467335,1.0,1.0,29.876158,0.0,1.0,109.84699,1.0,1.0,-10.462827,14.383612,0.0,16.026814,1.0,1.0,1.0,0.0,2.7952871,0.0,0.0,1.0,1.0,14.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.328577,0.0,1.0,154.99261,-10.34,0.7599998,110.37072,27.055239,4.935,5.905,1.0,0.0,1.0,1.0,5.175,1.0,-2.0437243,1.0,0.0,1.0,1.0,10.0,28.0,0.98,1.0,0.0,4.102,1.3300357,5.388276691992658,1.1077944442343703
CN1C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]1CC(=O)O,431.22,0.0,491.03,2.4159498,0.0,0.0,0.0,-2.3243957,0.0,0.0,0.0,1.0,0.0,130.46947,0.0,114.997055,0.823,0.0,0.0,0.601,78.45694,43.370693,-0.40700293,0.0,1.0,1.0,15.596134,1.0,0.0,0.0,0.0,9.998512,1.0,1.093,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-16.568998,1.124,1.0,0.0,0.0,1.0,1.0,2.129,0.0,1.0,172.33267,2.6171618,70.61231,1.0,22.079208,0.0,1.0,1.269,1.0,0.0,0.0,16.0,15.406154,0.0,11.467335,1.0,1.0,29.906288,0.0,1.0,109.84699,1.0,1.0,-10.442062,28.3631,1.0,23.074484,0.0,1.0,1.0,1.0,2.790314,1.0,0.0,1.0,1.0,14.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.468786,0.0,1.0,154.99261,-10.34,0.677,110.37072,26.98251,4.942,5.918,1.0,0.0,1.0,1.0,5.188,1.0,-1.992301,1.0,0.0,0.0,1.0,10.0,28.0,0.987,1.0,1.0,4.114,1.0802426,4.890522699041265,1.1077944442343703
