Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Tanh
Family: nn
Endpoint: pKi
Species: homo_sapiens
Total Features: 740
Top Features Count: 22
Cumulative Importance: 0.1963
================================================================================

                 feature  importance  importance_normalized  cumulative
    RDKit2D_BCUT2D_MRLOW    0.035444               0.030862    0.030862
        RDKit2D_fr_ether    0.015507               0.013502    0.044364
     FP_AtomPair1024_354    0.015478               0.013477    0.057841
                AC2D_113    0.013267               0.011552    0.069393
        RDKit2D_BalabanJ    0.010876               0.009470    0.078863
     FP_AtomPair1024_607    0.009806               0.008538    0.087401
                 AC2D_10    0.009605               0.008363    0.095764
     FP_AtomPair1024_331    0.009476               0.008251    0.104015
                AC2D_124    0.009319               0.008115    0.112130
                AC2D_116    0.009271               0.008073    0.120202
RDKit2D_NumAromaticRings    0.008330               0.007253    0.127455
                 AC2D_53    0.007930               0.006905    0.134360
    RDKit2D_EState_VSA11    0.007455               0.006491    0.140851
   Graph_Avg_Path_Length    0.007423               0.006463    0.147315
                 AC2D_90    0.007195               0.006265    0.153579
                AC2D_153    0.007140               0.006217    0.159796
                AC2D_105    0.007114               0.006194    0.165990
      RDKit2D_SlogP_VSA6    0.007050               0.006138    0.172128
                AC2D_149    0.007033               0.006124    0.178252
                AC2D_139    0.006989               0.006086    0.184338
                  AC2D_5    0.006901               0.006008    0.190346
                 AC2D_96    0.006836               0.005952    0.196299
