action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,source_organism,source_target_chembl_id,source_pref_name
,1232359,28874544,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,,,,CHEMBL5729495,,2022,,CHEMBL5925240,,CHEMBL5925240,,0,,4613500,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232360,28874547,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,COc1ccc(C[C@@H]2NC(=O)CCNC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3cc4cc(F)ccc4[nH]3)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(c3)CSCCNC(=O)[C@]3(C)CCCN3C2=O)cc1,,,CHEMBL5729495,,2022,,CHEMBL5863874,,CHEMBL5863874,,0,,4613501,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232361,28874550,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,,,CHEMBL5729495,,2022,,CHEMBL5802613,,CHEMBL5802613,,0,,4613502,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232362,28874553,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)C(C)(C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,,,CHEMBL5729495,,2022,,CHEMBL5780071,,CHEMBL5780071,,0,,4613503,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232363,28874556,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,,,CHEMBL5729495,,2022,,CHEMBL5969984,,CHEMBL5969984,,0,,4613504,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232364,28874559,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(OC)cc2)NC1=O,,,CHEMBL5729495,,2022,,CHEMBL5996876,,CHEMBL5996876,,0,,4613505,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232365,28874562,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cc(F)cc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(OC)cc2)NC1=O,,,CHEMBL5729495,,2022,,CHEMBL5952700,,CHEMBL5952700,,0,,4613506,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232366,28874565,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,COc1ccc(C[C@@H]2NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C2=O)cc1,,,CHEMBL5729495,,2022,,CHEMBL6060408,,CHEMBL6060408,,0,,4613507,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232367,28874568,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,COc1ccc(C[C@@H]2NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(F)cc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C2=O)cc1,,,CHEMBL5729495,,2022,,CHEMBL6003304,,CHEMBL6003304,,0,,4613508,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,1232368,28874571,[],CHEMBL5738800,"Identification of Polypeptides that Bind Specifically to Human PCSK9 and Inhibit Interaction Between Human PCSK9 and Human LDLR: A set of cyclic polypeptides were identified to inhibit the interaction between human PCSK9 and human LDLR. Each polypeptide has an N-terminal amino acid or moiety and a C-terminal amino acid or moiety that is linked by a covalent bond to the other.A time-resolved fluorescence resonance energy (TR-FRET) assay was used to measure inhibition of the PCSK9-LDLR protein-protein interaction. Briefly, 20 nM avitag-biotinylated human PCSK9 was incubated with 20 nM his-tagged human LDLR EGFa domain in the presence of 5 nM LANCE Ulight Streptavidin (Perkin Elmer) and 5 nM europium-Anti-6×His (Perkin Elmer) for 2 hours covered at room temperature in buffer containing 50 mM HEPES, 150 mM NaCl, 5 mM CaCl2), 0.01% BSA and 0.01% Surfactant P20. Compounds were tested in dose-response and concentrations giving half-maximal inhibition calculated using a 4-parameter fit equation.",B,,,BAO_0000480,BAO_0000224,protein format,,,,CHEMBL5729495,,2022,,CHEMBL6033105,,CHEMBL6033105,,0,,4613509,=,37,0,=,,kon,,,,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,kon,M-1-s-1,,,,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
