average,sample_weight,SMILES,WHIM_76,RDKit2D_fr_ketone,FP_AtomPair1024_521,FP_Morgan1024_r2_67,GETAWAY_193,FP_RDKit512_433,FP_RDKit512_387,FP_AtomPair1024_255,FP_Morgan1024_r2_123,FP_AtomPair1024_12,FP_TopoTorsion1024_704,RDKit2D_VSA_EState5,RDKit2D_PEOE_VSA11,GETAWAY_229,FP_AtomPair1024_402,FP_AtomPair1024_711,GETAWAY_18,FP_AtomPair1024_707,WHIM_43,FP_RDKit512_165,FP_MorganFeat1024_r2_246,Shape_Ratio_W_T,WHIM_21,FP_AtomPair1024_787,Graph_Centrality_Mean,MORSE_129,Pharm2D_Gobbi_169,RDKit2D_VSA_EState9,FP_AtomPair1024_90,FP_Morgan1024_r2_205,FP_Morgan1024_r2_751,WHIM_101,FP_Morgan1024_r2_399,FP_AtomPair1024_782,FP_AtomPair1024_553,FP_Morgan1024_r2_580,FP_RDKit512_362,FP_RDKit512_25,FP_AtomPair1024_9,AC3D_58,FP_MACCS_111,FP_Morgan1024_r2_673,FP_Morgan1024_r2_121,MORSE_65,FP_AtomPair1024_997,FP_Morgan1024_r2_310
23.9,1.0,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,0.06782945736434115,0.0,-1.0,0.0,-0.2962962962962963,1.0,1.0,0.0,0.0,-1.0,0.0,0.2615883407239165,0.28750010912864193,2.3529411764705848,0.0,0.0,0.7786259541984739,0.0,-0.2564991334488737,0.0,0.0,0.2835485704306466,-0.38095238095238104,0.0,3.234995789118675,-1.8875058166589112,0.0,0.0,0.0,0.0,0.0,0.05447470817120625,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.25920471281296054,-1.0,0.0,0.0,-1.830607268185333,0.9029980120819925,0.0
20.0,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.7151162790697676,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.42866783977714246,0.0,1.9999999999999984,0.0,0.0,-0.13740458015267018,0.0,0.19410745233968785,0.0,0.0,0.08469032449629814,0.02886002886002889,0.0,3.234995789118675,-0.3661005118659833,1.0,0.0,0.0,0.0,0.0,0.4435797665369652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34756995581737826,0.0,0.0,0.0,-0.3931481591625535,0.0,1.0
19.8,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,-0.7771317829457364,0.0,0.0,0.0,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,-0.6152829390108963,0.0,-0.11764705882352941,0.0,0.0,-1.4198473282442743,0.0,-0.6377816291161181,0.0,0.0,-0.3963840420395844,-0.9292929292929294,0.0,0.0857499052347545,0.16135411819451,0.0,0.0,0.0,0.0,0.0,-1.1595330739299607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7776141384388809,0.0,0.0,0.0,0.45643252245286337,0.0,1.0
22.3,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,-0.7189922480620153,0.0,0.0,0.0,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,-0.5200009303313743,0.0,0.35294117647058826,0.0,0.0,0.5343511450381684,0.0,-0.9150779896013866,0.0,0.0,-0.28873391651546143,-1.0735930735930739,0.0,-0.3279008709463617,0.15041879944160155,0.0,0.0,0.0,0.0,0.0,-0.9727626459143964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779086892488958,0.0,0.0,0.0,0.3312912627133761,0.0,0.0
26.2,1.0,CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-0.7887596899224806,0.0,0.0,0.0,2.8817134012451535,0.0,0.0,0.0,0.0,0.0,0.0,0.3228346524300729,0.0,2.860993877042387,0.0,0.0,0.7480916030534357,0.0,-0.6447140381282498,0.0,0.0,0.2101686617851645,-0.8023088023088025,0.0,1.2850943560139532,-0.20718939041414522,0.0,0.0,0.0,0.0,0.0,-0.8326848249027232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04712812960235646,0.0,0.0,0.0,-0.3174924165824069,0.0,1.0
33.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,0.9786821705426356,0.0,0.0,0.0,-1.1851851851851842,0.0,0.0,0.0,0.0,0.0,0.0,-0.5123952824361371,0.0,-0.23529411764705882,0.0,0.0,-0.29007633587786114,0.0,0.24956672443674163,0.0,0.0,1.8852913024330102,0.9870129870129871,0.0,0.18729466948648515,0.2707073057235931,0.0,0.0,0.0,0.0,0.0,0.7237354085603116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0721649484536089,0.0,0.0,0.0,0.34033188604056347,0.0,0.0
33.4,1.0,Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.9321705426356589,0.0,0.0,0.0,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,-0.019434596478323112,0.0,0.23529411764705882,0.0,0.0,-0.38167938931297574,0.0,1.1507798960138644,0.0,0.0,1.0085920023944621,0.7445887445887451,0.0,0.17575914851228955,0.34469520707305834,0.0,0.0,0.0,0.0,0.0,0.6770428015564205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949926362297503,0.0,0.0,0.0,0.2984595253672745,0.0,1.0
18.2,1.0,CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-0.10658914728682158,0.0,0.0,0.0,1.4814814814814794,0.0,0.0,0.0,0.0,0.0,0.0,-0.39763789249317927,0.0,1.2941176470588218,0.0,0.0,-0.259541984732823,0.0,0.880415944540728,0.0,0.0,0.20023288466153064,0.38672438672438686,0.0,1.4079693309783319,0.04129827826896279,0.0,3.00827018837834,0.0,0.0,0.0,1.0350194552529188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949926362297503,0.0,0.0,0.0,0.01582109082257724,0.0,0.0
36.7,1.0,Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.42054263565891487,0.0,0.0,0.0,-0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,-0.06162481315122595,0.0,0.0,0.0,0.0,0.10687022900763368,0.0,0.6447140381282495,0.0,0.0,0.544446077023026,0.17893217893217914,0.0,0.28957241531115835,0.22929269427640814,0.0,0.0,0.0,0.0,0.0,-0.1789883268482491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8895434462444776,0.0,0.0,0.0,0.15642657467435883,0.0,0.0
28.8,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-0.3546511627906975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7899470716419833,0.0,-0.23529411764705882,0.0,0.0,1.0534351145038177,0.0,0.013864818024263445,0.0,0.0,2.184484080082498,-0.06349206349206356,0.0,0.28957241531115835,0.3877384830153568,0.0,0.0,0.0,0.0,0.0,0.3346303501945527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683357879234168,0.0,0.0,0.0,0.21756973770296714,0.0,0.0
