SMILES,GETAWAY_263,RDF_191,RDF_190,RDF_196,GETAWAY_143,GETAWAY_124,RDKit2D_EState_VSA1,GETAWAY_18,GETAWAY_78,AC3D_68,RDKit2D_EState_VSA6,GETAWAY_126,GETAWAY_259,GETAWAY_38,GETAWAY_134,AC3D_67,GETAWAY_166,GETAWAY_136,GETAWAY_268,WHIM_76,AC3D_58,GETAWAY_138,AC3D_59,GETAWAY_129,GETAWAY_255,AC3D_65,AC3D_69,GETAWAY_169,GETAWAY_168,GETAWAY_140,GETAWAY_83,GETAWAY_139,GETAWAY_258,GETAWAY_141,AC3D_66,FP_RDKit512_287,GETAWAY_142,USR_cst_Skew,GETAWAY_87,WHIM_103,RDKit2D_BalabanJ,MORSE_202,GETAWAY_135,AC2D_184,FP_RDKit512_165,AC3D_61,GETAWAY_39,AC2D_168,AC2D_127,GETAWAY_271,AC3D_63,Flex_Rotatable_Fraction,GETAWAY_227,AC2D_103,GETAWAY_205,FP_MACCS_111,RDKit2D_VSA_EState5,GETAWAY_119,AC3D_33,RDF_139,AC3D_56,GETAWAY_260,USR_ctd_Skew,MORSE_99,RDF_79,WHIM_106,GETAWAY_86,WHIM_101,FP_AtomPair1024_366,GETAWAY_76,AC3D_3,AC2D_144,AC3D_18,FP_RDKit512_25,AC3D_54,Shape_Principal_Axis_3_T,GETAWAY_117,GETAWAY_19,RDF_19,FP_AtomPair1024_969,RDF_49,WHIM_43,GETAWAY_202,MORSE_3,GETAWAY_137,MORSE_207,AC2D_175,AC2D_112,AC2D_111,AC2D_188,WHIM_100,MORSE_210,MORSE_158,GETAWAY_93,GETAWAY_173,AC2D_146,RDKit2D_PEOE_VSA11,AC2D_79,GETAWAY_46,GETAWAY_249,GETAWAY_116,AC2D_152,FP_AtomPair1024_661,FP_TopoTorsion1024_292,AC3D_13,AC3D_62,FP_AtomPair1024_72,average,sample_weight
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,162.921,84.64,42.521,54.07,97.864,52.178,17.709055,0.31,0.356,4.01,17.828253,31.711,3.51,0.524,7.792,4.019,2.521,6.48,0.666,0.362,0.616,2.97,0.514,3.208,11.789,3.293,3.446,0.753,1.126,2.391,11.539,1.694,7.003,2.2,3.721,0.0,2.135,0.0003684995,1.312,0.494,1.6772145,6.19,1.656,0.728,1.0,2.487,0.36,0.683,-0.42,0.269,3.596,0.23333333,14.052,0.084,0.633,0.0,0.1634346,0.298,0.447,2.607,0.576,3.753,0.39975634,-0.257,3.298,0.564,1.847,0.488,0.0,0.547,0.397,0.93375003,0.704,0.0,0.462,5.2461348,0.392,0.279,4.082,0.0,6.8,0.365,2.055,-0.699,3.927,1.78,1.337,-0.052,-0.38,0.799,0.45,5.102,0.039,16.861,25.57,1.118,6.606882,1.63,2.039,0.042,0.543,0.676,0.0,0.0,0.598,3.25,1.0,23.9,1.0
O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,101.01,47.805,31.023,24.859,66.827,31.785,5.9693055,0.28,0.329,2.114,29.535887,14.586,2.787,0.621,5.417,2.005,2.399,3.134,0.772,0.529,0.513,1.865,0.552,2.803,10.762,2.133,2.666,0.729,1.204,1.409,10.774,1.508,4.343,1.948,2.301,1.0,0.898,0.03427378,1.352,0.489,1.2725329,5.314,1.776,0.705,1.0,1.516,0.397,0.756,-0.122,0.132,1.994,0.23333333,15.011,-0.077,0.574,1.0,0.27620003,0.29,0.448,4.9,0.58,2.164,0.26089317,-0.677,4.92,0.589,1.933,0.513,0.0,0.534,0.396,0.658,0.638,1.0,0.484,4.905979,0.383,0.263,5.308,0.0,9.862,0.43,1.847,-0.708,2.654,-0.302,0.862,-0.101,0.001,1.038,0.465,0.283,-0.072,19.28,24.941,1.065,5.1315584,0.661,1.979,0.046,0.499,0.812,0.0,1.0,0.635,2.114,1.0,20.0,1.0
O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,133.755,78.751,53.064,47.147,73.852,42.501,17.83953,0.238,0.284,2.511,18.1991,32.621,2.958,0.325,5.101,2.356,2.283,4.243,0.604,0.144,0.704,1.932,0.651,4.828,9.729,2.468,2.67,0.797,0.988,1.499,11.505,1.189,5.682,1.284,2.237,1.0,0.822,0.2989218,1.314,0.437,1.2674074,7.017,1.258,0.614,1.0,1.591,0.336,0.758,-0.041,0.093,2.121,0.21052632,13.679,-0.116,0.653,1.0,-0.42838407,0.267,0.416,8.101,0.59,2.781,0.41220886,-1.686,8.549,0.545,2.063,0.41,0.0,0.476,0.364,0.725,0.777,1.0,0.459,6.056151,0.272,0.231,9.198,0.0,11.879,0.31,2.021,-1.613,2.318,4.43,0.848,-0.097,-0.014,0.871,0.415,1.946,0.084,17.774,25.537,1.068,5.1315584,1.933,2.416,0.034,0.473,0.837,0.0,1.0,0.485,1.988,1.0,19.8,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,151.282,60.208,40.026,61.605,87.741,47.989,23.24798,0.302,0.352,3.085,18.1991,30.359,3.035,0.431,5.763,3.194,2.353,4.224,0.296,0.159,0.738,2.333,0.732,6.631,10.149,3.022,4.455,0.877,1.199,1.926,11.207,1.177,6.621,0.593,2.025,0.0,1.48,0.35193172,1.273,0.388,1.2901605,3.174,1.241,0.665,1.0,1.711,0.362,0.729,-0.161,0.339,2.292,0.20512821,14.897,-0.03,0.682,1.0,-0.36407626,0.245,0.424,7.316,0.531,3.864,0.47707894,-1.219,7.559,0.523,2.13,0.422,0.0,0.424,0.368,0.725,0.849,1.0,0.451,6.173887,0.318,0.214,8.3,1.0,10.803,0.27,2.016,-1.467,2.6,5.972,1.048,-0.077,-0.128,0.998,0.366,4.407,0.048,19.674,26.768,0.973,5.1315584,2.448,2.348,0.044,0.427,0.794,0.0,1.0,0.509,1.923,1.0,22.3,1.0
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,93.049,66.915,39.071,46.332,47.462,22.947,5.9693055,0.309,0.34,2.078,29.535887,14.794,2.395,0.487,2.574,2.152,2.137,2.115,0.658,0.141,0.564,1.337,0.583,3.857,9.322,1.874,2.545,0.712,1.176,0.845,10.058,1.091,3.817,1.651,2.251,1.0,1.593,0.34151337,1.827,0.41,1.3895786,7.786,1.27,0.661,1.0,1.285,0.331,0.762,-0.068,0.137,1.744,0.24242425,17.066,-0.072,0.576,1.0,0.20477101,0.244,0.432,5.944,0.621,1.831,0.48222017,-0.532,6.161,0.407,2.237,0.431,0.0,0.41,0.388,0.655,0.65,1.0,0.453,4.919583,0.412,0.22,6.454,1.0,6.95,0.309,1.721,-0.543,1.854,-0.436,0.644,-0.092,0.036,1.023,0.41,-1.275,-0.123,21.572,25.477,0.961,5.1315584,0.688,2.238,0.04,0.396,0.815,0.0,1.0,0.587,1.789,1.0,26.2,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,142.826,66.018,63.134,56.338,86.166,47.116,17.709055,0.275,0.331,2.634,18.1991,31.787,2.901,0.427,6.504,2.509,2.403,4.641,0.341,0.597,0.754,2.859,0.724,5.184,10.171,2.935,3.107,0.82,1.149,2.462,11.402,1.301,6.905,0.472,1.918,0.0,1.033,0.2944183,1.461,0.481,1.2630618,5.883,1.407,0.656,1.0,1.727,0.375,0.729,-0.112,0.118,2.318,0.21052632,14.479,-0.05,0.62,1.0,-0.35894305,0.244,0.434,7.639,0.564,3.894,0.31218097,-1.17,8.595,0.679,2.005,0.531,0.0,0.461,0.378,0.718,0.864,1.0,0.467,4.6037416,0.295,0.208,9.911,0.0,11.293,0.438,2.06,-1.385,2.757,3.776,0.915,-0.079,-0.107,0.908,0.442,4.176,-0.054,19.951,26.014,0.983,5.1315584,1.764,2.265,0.045,0.458,0.795,0.0,1.0,0.524,1.915,1.0,33.6,1.0
Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,89.112,34.022,59.106,34.651,51.054,26.124,5.9693055,0.272,0.303,2.126,11.336786,15.461,2.542,0.464,3.882,2.095,2.144,2.154,1.006,0.585,0.673,1.551,0.68,2.272,9.783,1.717,2.743,0.641,1.124,0.679,10.289,1.28,3.966,0.804,1.715,0.0,0.962,0.120883435,1.764,0.495,1.261325,4.209,1.454,0.605,1.0,1.08,0.262,0.828,-0.077,0.103,1.527,0.22857143,16.591,-0.009,0.581,1.0,-0.026233627,0.23,0.425,8.459,0.62,1.583,0.39612848,-1.29,8.484,0.58,2.409,0.528,0.0,0.421,0.387,0.699,0.721,1.0,0.46,4.887425,0.275,0.21,8.84,0.0,11.817,0.568,1.786,-1.168,1.493,0.082,0.864,-0.121,-0.024,0.831,0.477,0.942,0.041,21.81,24.07,0.973,5.1315584,0.892,2.49,0.054,0.403,0.917,0.0,1.0,0.537,1.377,1.0,33.4,1.0
CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,92.035,37.777,31.546,39.198,53.387,24.536,5.9693055,0.276,0.328,2.389,29.535887,19.043,2.053,0.609,3.428,2.284,2.354,2.984,0.241,0.317,0.673,1.495,0.648,2.145,9.228,2.481,2.949,0.68,1.255,1.814,10.651,0.946,3.95,0.824,1.806,0.0,1.196,0.2536324,1.695,0.486,1.3840173,4.376,1.358,0.73,1.0,1.418,0.333,0.822,-0.148,0.141,1.969,0.24242425,15.633,-0.027,0.549,1.0,-0.2814909,0.238,0.458,6.547,0.605,2.915,0.3607783,-1.274,7.344,0.51,2.435,0.551,0.0,0.439,0.402,0.662,0.866,1.0,0.472,5.1498103,0.325,0.209,8.707,1.0,12.243,0.529,1.779,-1.163,1.595,0.049,0.812,-0.141,-0.086,1.089,0.463,-0.436,-0.046,20.487,25.782,0.9,5.1315584,0.863,2.449,0.042,0.419,0.917,0.0,1.0,0.637,1.479,1.0,18.2,1.0
Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,84.724,28.539,55.742,25.092,47.356,24.332,5.9693055,0.288,0.326,2.181,11.336786,13.826,1.902,0.484,3.234,2.189,2.152,2.261,0.314,0.453,0.723,1.479,0.771,3.362,8.868,2.036,3.182,0.638,1.156,1.233,10.3,0.795,3.988,0.513,1.642,0.0,0.854,0.13838798,1.373,0.465,1.2564896,2.191,1.23,0.672,1.0,1.167,0.267,0.828,-0.089,0.084,1.577,0.22857143,15.825,-0.015,0.578,1.0,-0.054708682,0.233,0.442,6.198,0.583,2.325,0.30878916,-1.684,6.241,0.532,2.106,0.473,0.0,0.42,0.4,0.699,0.779,1.0,0.468,5.3634977,0.273,0.213,6.902,0.0,11.462,0.495,1.791,-1.412,1.53,-0.742,0.913,-0.121,-0.043,0.913,0.45,-0.115,0.113,21.332,23.291,0.985,5.1315584,0.903,2.184,0.04,0.401,0.917,0.0,1.0,0.554,1.258,1.0,36.7,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,88.076,33.267,66.571,71.304,44.637,22.777,5.9693055,0.319,0.349,2.235,29.535887,15.742,1.948,0.505,2.624,2.259,2.191,2.082,0.241,0.253,0.688,1.247,0.716,3.963,8.356,2.272,3.061,0.73,1.236,1.493,10.241,0.788,3.779,0.664,1.637,0.0,1.039,-0.18174219,1.711,0.444,1.2564896,4.707,1.082,0.684,1.0,1.284,0.328,0.747,-0.054,0.117,1.785,0.22857143,17.224,-0.071,0.606,1.0,0.5200349,0.255,0.446,6.367,0.559,2.763,0.20615336,-1.311,6.966,0.456,2.338,0.506,0.0,0.411,0.4,0.637,0.853,1.0,0.462,4.7777553,0.289,0.237,7.745,0.0,10.015,0.404,1.77,-1.091,1.246,1.677,0.813,-0.078,0.029,0.962,0.43,-1.623,0.024,22.615,25.626,0.906,5.1315584,0.747,2.339,0.034,0.391,0.796,0.0,1.0,0.605,1.327,1.0,28.8,1.0
