SMILES,EC50
Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,6.0
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,0.17
Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,6.0
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,0.106
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,0.7
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,1.2
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,1.3
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2cc(O)ccc2[nH]1,0.7
Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,4.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,1.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1C(=O)Nc1ccc(O)cc1,7.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,1.7
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccc(O)c1,2.0
Cc1ccc2[nH]c(-c3cc(NC(=O)CCC4CCCCC4)ccc3C)nc2c1,1.3
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,2.0
Cc1ccc(C(=O)CCCC2CCCCC2)cc1NC(=O)c1cccnc1,2.0
CC(=O)Oc1ccc(C(=O)Nc2cc(NC(=O)CCC3CCCCC3)ccc2C)cc1,2.5
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,7.6
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,3.8
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NCc1ccc2c(c1)OCO2,0.6
Cc1ccc(C(=O)NCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,2.0
