SMILES,EC50,Unit,Unit_Source,EC50-min,EC50-max
CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl,373,nM,original,373.0,373.0
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,193,nM,original,193.0,193.0
CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl,220,nM,original,220.0,220.0
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,121,nM,original,121.0,121.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,310,nM,original,310.0,310.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,170,nM,original,170.0,170.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,90,nM,original,90.0,90.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,90,nM,original,90.0,90.0
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,3260,nM,original,3260.0,3260.0
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,990,nM,original,990.0,990.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,3670,nM,original,3670.0,3670.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,4150,nM,original,4150.0,4150.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,2890,nM,original,2890.0,2890.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,5720,nM,original,5720.0,5720.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,9050,nM,original,9050.0,9050.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,9800,nM,original,9800.0,9800.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)Cl,11220,nM,original,11220.0,11220.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)Cl,10200,nM,original,10200.0,10200.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)F,7440,nM,original,7440.0,7440.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)C(F)(F)F,15460,nM,original,15460.0,15460.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,660,nM,original,660.0,660.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,140,nM,original,140.0,140.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,240,nM,original,240.0,240.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,160,nM,original,160.0,160.0
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,4270,nM,original,4270.0,4270.0
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,1810,nM,original,1810.0,1810.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,6660,nM,original,6660.0,6660.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,6100,nM,original,6100.0,6100.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,5020,nM,original,5020.0,5020.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,8400,nM,original,8400.0,8400.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,12770,nM,original,12770.0,12770.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,13280,nM,original,13280.0,13280.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)Cl,14400,nM,original,14400.0,14400.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)Cl,15210,nM,original,15210.0,15210.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)F,13440,nM,original,13440.0,13440.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)C(F)(F)F,15830,nM,original,15830.0,15830.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,434,nM,original,434.0,434.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,44,nM,original,44.0,44.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,84,nM,original,84.0,84.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,541,nM,original,541.0,541.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,551,nM,original,551.0,551.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,53,nM,original,53.0,53.0
CS(=O)(=O)C1=CC(=CC(=C1)OC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)N)C(F)(F)F)Cl,10900,nM,original,10900.0,10900.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,1700,nM,original,1700.0,1700.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,31,nM,original,31.0,31.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,3,nM,original,3.0,3.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,6,nM,original,6.0,6.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,1275,nM,original,1275.0,1275.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,549,nM,original,549.0,549.0
