SMILES,EC50,Unit,Unit_Source,EC50-min,EC50-max
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,>10000,nM,original,10000.0,20000.0
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,>10000,nM,original,10000.0,20000.0
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,>10000,nM,original,10000.0,20000.0
CN1C=C(C2=C1C=C(C=C2)N3CCC(CC3)OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)C(=O)O,>10000,nM,original,10000.0,20000.0
CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,76,nM,original,76.0,76.0
C1CN(CCC1CCOC2=C(C=CC(=C2)CC(=O)O)Cl)C3=NC4=C(S3)C=C(C=C4)Cl,49,nM,original,49.0,49.0
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,70,nM,original,70.0,70.0
C1CC(=O)N(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,410,nM,original,410.0,410.0
CC(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,170,nM,original,170.0,170.0
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,14,nM,original,14.0,14.0
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,28,nM,original,28.0,28.0
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,45,nM,original,45.0,45.0
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,34,nM,original,34.0,34.0
C1CCC(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,16,nM,original,16.0,16.0
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,29,nM,original,29.0,29.0
CCC(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,26,nM,original,26.0,26.0
CC(C)CC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,14,nM,original,14.0,14.0
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,41,nM,original,41.0,41.0
CCCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,33,nM,original,33.0,33.0
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,33,nM,original,33.0,33.0
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,86,nM,original,86.0,86.0
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,67,nM,original,67.0,67.0
CCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,160,nM,original,160.0,160.0
