SMILES,EC50,EC50-min,EC50-max
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,1300.0,1300.0,1300.0
Cc1ccc(cc1NC(=O)c1ccc(O)cc1)C(=O)NCCC1CCCCC1,2000.0,2000.0,2000.0
Cc1ccc2nc([nH]c2c1)-c1cc(NC(=O)CCC2CCCCC2)ccc1C,1300.0,1300.0,1300.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,2000.0,2000.0,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1\C=C(/C#N)c1ccc2OCOc2c1,700.0,700.0,700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,700.0,700.0,700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1\C=C(/C#N)c1cccnc1,1000.0,1000.0,1000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,1700.0,1700.0,1700.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,3800.0,3800.0,3800.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,7600.0,7600.0,7600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccc(O)c1,2000.0,2000.0,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NCc1ccc2OCOc2c1,600.0,600.0,600.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,1200.0,1200.0,1200.0
CC(=O)Oc1ccc(cc1)C(=O)Nc1cc(NC(=O)CCC2CCCCC2)ccc1C,2500.0,2500.0,2500.0
Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,4000.0,4000.0,4000.0
Cc1ccc(cc1NC(=O)c1cccnc1)C(=O)CCCC1CCCCC1,2000.0,2000.0,2000.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1C(=O)Nc1ccc(O)cc1,7000.0,7000.0,7000.0
Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,6.0,6.0,6.0
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,0.17,0.17,0.17
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,0.106,0.106,0.106
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,0.7,0.7,0.7
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2cc(O)ccc2[nH]1,0.7,0.7,0.7
