SMILES,pEC50,pEC50-min,pEC50-max
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,5.89,5.886056647693163,5.886056647693163
Cc1ccc(C(=O)NCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,5.70,5.698970004336019,5.698970004336019
Cc1ccc2nc(-c3cc(NC(=O)CCC4CCCCC4)ccc3C)[nH]c2c1,5.89,5.886056647693163,5.886056647693163
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,5.70,5.698970004336019,5.698970004336019
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,6.15,6.154901959985743,6.154901959985743
Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,6.15,6.154901959985743,6.154901959985743
Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,6.00,6.0,6.0
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,5.77,5.769551078621726,5.769551078621726
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,5.42,5.42021640338319,5.42021640338319
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,5.12,5.119186407719209,5.119186407719209
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccc(O)c1,5.70,5.698970004336019,5.698970004336019
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NCc1ccc2c(c1)OCO2,6.22,6.221848749616356,6.221848749616356
Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1cccnc1,5.92,5.920818753952375,5.920818753952375
CC(=O)Oc1ccc(C(=O)Nc2cc(NC(=O)CCC3CCCCC3)ccc2C)cc1,5.60,5.6020599913279625,5.6020599913279625
Cc1ccc(NC(=O)CCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,5.40,5.3979400086720375,5.3979400086720375
Cc1ccc(C(=O)CCCC2CCCCC2)cc1NC(=O)c1cccnc1,5.70,5.698970004336019,5.698970004336019
Cc1ccc(NC(=O)CCC2CCCCC2)cc1C(=O)Nc1ccc(O)cc1,5.15,5.154901959985743,5.154901959985743
Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,8.22,8.221848749616356,8.221848749616356
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,9.77,9.769551078621726,9.769551078621726
