SMILES,pEC50,pEC50-min,pEC50-max
Cn1cc(C(=O)O)c2ccc(N3CCC(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)CC3)cc21,<5.00,4.698970004336019,5.0
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,7.12,7.119186407719209,7.119186407719209
O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.31,7.309803919971486,7.309803919971486
O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,7.15,7.154901959985743,7.154901959985743
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,6.39,6.3872161432802645,6.3872161432802645
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,6.77,6.769551078621726,6.769551078621726
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,7.85,7.853871964321762,7.853871964321762
Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.55,7.552841968657781,7.552841968657781
CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.35,7.346787486224656,7.346787486224656
Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.47,7.468521082957745,7.468521082957745
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.80,7.795880017344075,7.795880017344075
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.54,7.537602002101044,7.537602002101044
CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.59,7.585026652029182,7.585026652029182
CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.85,7.853871964321762,7.853871964321762
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.39,7.387216143280264,7.387216143280264
CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.48,7.481486060122112,7.481486060122112
