SMILES,MORSE_192,AC2D_91,AC2D_89,RDF_187,AC2D_93,AC2D_95,AC2D_92,RDF_185,RDF_184,RDKit2D_EState_VSA4,MORSE_197,RDKit2D_SMR_VSA10,GETAWAY_128,RDKit2D_EState_VSA2,RDF_35,GETAWAY_258,FP_TopoTorsion1024_816,FP_AtomPair1024_19,RDKit2D_VSA_EState7,RDKit2D_NumAmideBonds,FP_TopoTorsion1024_532,RDKit2D_PEOE_VSA13,AC3D_47,FP_MACCS_89,GETAWAY_203,FP_RDKit512_400,FP_Morgan1024_r2_314,FP_RDKit512_38,FP_MACCS_65,FP_TopoTorsion1024_520,GETAWAY_209,FP_RDKit512_210,RDKit2D_fr_imide,FP_RDKit512_160,GETAWAY_113,FP_Morgan1024_r2_556,MORSE_41,FP_RDKit512_288,AC3D_48,FP_AtomPair1024_685,FP_RDKit512_5,FP_MorganFeat1024_r2_349,AC2D_186,AC2D_34,FP_RDKit512_134,FP_RDKit512_509,FP_AtomPair1024_1001,AC2D_2,FP_RDKit512_207,FP_RDKit512_506,RDKit2D_VSA_EState4,FP_RDKit512_0,Phys_Count_Neg_Atoms,AC3D_78,Phys_Count_Pos_Atoms,Pharm2D_Gobbi_69,RDF_94,AC3D_46,AC2D_68,FP_RDKit512_29,GETAWAY_150,FP_MorganFeat1024_r2_713,FP_RDKit512_281,AC3D_7,FP_RDKit512_87,Ion_BasicNitrogenCount,FP_MorganFeat1024_r2_131,RDKit2D_BCUT2D_CHGHI,FP_RDKit512_290,FP_MACCS_140,FP_AtomPair1024_94,FP_RDKit512_172,RDKit2D_fr_Al_COO,FP_Morgan1024_r2_62,RDKit2D_fr_Al_OH,MORSE_38,AC2D_69,FP_Morgan1024_r2_968,FP_AtomPair1024_957,FP_AtomPair1024_93,FP_RDKit512_30,FP_AtomPair1024_437,FP_MACCS_117,GETAWAY_55,FP_RDKit512_416,FP_RDKit512_415,FP_RDKit512_503,RDKit2D_BCUT2D_MRLOW,FP_Morgan1024_r2_255,FP_RDKit512_241,FP_RDKit512_374,FP_MACCS_101,average,sample_weight
Cn1cc(C(=O)O)c2ccc(N3CCC(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)CC3)cc21,3779.414,85.168,68.138,132.95,56.741,64.662,82.18,52.569,31.704,66.686806,6.823,45.761497,9.891,6.103966,13.343,6.574,0.0,1.0,5.743391,0.0,0.0,0.0,0.37,1.0,1.422,1.0,0.0,0.0,1.0,0.0,24.185,1.0,0.0,0.0,29.114,0.0,2.089,0.0,0.31,0.0,1.0,1.0,0.889,4.267,1.0,0.0,1.0,4.411,1.0,1.0,4.6469297,1.0,6.0,0.378,4.0,1.0,7.881,0.445,0.545,1.0,0.997,0.0,1.0,0.424,1.0,3.0,1.0,2.337926,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.331,0.441,0.0,1.0,0.0,1.0,1.0,0.0,0.249,0.0,1.0,1.0,0.02462419,0.0,1.0,0.0,1.0,4.849485002168009,0.2531585351532043
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,3881.527,87.391,166.861,80.558,84.139,83.763,81.076,16.898,12.064,33.162743,-5.128,29.067976,11.507,6.606882,2.775,7.003,1.0,0.0,-4.3556848,0.0,0.0,0.0,0.419,0.0,1.275,1.0,0.0,0.0,1.0,1.0,20.656,1.0,0.0,1.0,25.204,0.0,0.449,0.0,0.403,0.0,1.0,1.0,0.497,3.914,0.0,0.0,0.0,4.215,1.0,0.0,1.6646632,0.0,9.0,0.49,6.0,1.0,0.984,0.452,0.367,0.0,0.726,0.0,1.0,0.521,1.0,1.0,1.0,2.2966332,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.847,0.396,0.0,0.0,0.0,0.0,1.0,0.0,0.246,1.0,0.0,1.0,-0.13920118,0.0,0.0,1.0,0.0,7.119186407719209,1.0152416625478935
O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,2535.728,58.185,68.338,68.673,48.485,44.277,52.864,58.25,18.923,52.72279,15.59,55.85615,5.166,6.4208217,4.688,4.343,1.0,0.0,3.0896776,0.0,0.0,0.0,0.476,0.0,1.188,1.0,0.0,1.0,1.0,1.0,18.695,0.0,0.0,1.0,22.558,0.0,0.86,1.0,0.411,0.0,1.0,1.0,0.563,3.887,1.0,0.0,0.0,4.178,0.0,0.0,1.6845009,1.0,5.0,0.472,4.0,1.0,3.701,0.514,0.274,0.0,0.676,1.0,1.0,0.507,0.0,2.0,1.0,2.2158542,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.586,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,-0.13572875,0.0,0.0,0.0,1.0,7.309803919971486,1.0152416625478935
O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,4621.046,131.248,191.79,73.477,88.669,132.489,104.742,48.864,50.557,64.3495,-2.27,44.385685,10.142,11.959747,7.458,5.682,1.0,0.0,0.26463294,0.0,0.0,0.0,0.51,0.0,1.139,1.0,0.0,1.0,1.0,1.0,21.943,0.0,0.0,1.0,29.714,0.0,1.176,1.0,0.486,0.0,1.0,1.0,0.444,4.276,1.0,0.0,0.0,4.427,0.0,0.0,0.14695796,1.0,10.0,0.583,8.0,1.0,12.634,0.447,0.576,0.0,0.734,0.0,1.0,0.6,0.0,4.0,1.0,2.411422,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.388,0.665,0.0,1.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,-0.14063413,0.0,0.0,0.0,1.0,7.154901959985743,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,5481.508,161.778,212.401,80.26,112.623,156.192,140.518,85.749,59.048,18.553556,-5.516,50.16239,13.415,12.328001,11.5,6.621,1.0,1.0,-1.325431,1.0,1.0,0.0,0.505,0.0,1.212,1.0,1.0,1.0,1.0,1.0,22.371,1.0,0.0,1.0,30.582,0.0,2.055,1.0,0.531,1.0,1.0,1.0,0.576,4.275,1.0,0.0,0.0,4.412,0.0,1.0,-0.023114942,1.0,10.0,0.629,6.0,1.0,10.524,0.413,0.658,0.0,0.852,1.0,1.0,0.609,0.0,2.0,1.0,2.4380121,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.333,0.816,0.0,0.0,0.0,0.0,0.0,1.0,0.253,1.0,0.0,0.0,-0.13756223,0.0,0.0,1.0,1.0,6.3872161432802645,1.0152416625478935
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,2776.124,67.032,72.897,50.118,53.072,59.108,56.228,19.727,26.176,52.72279,20.867,55.85615,5.753,11.835813,4.418,3.817,1.0,0.0,3.0135927,0.0,0.0,0.0,0.571,0.0,1.302,1.0,0.0,1.0,1.0,1.0,19.737,0.0,0.0,1.0,24.282,0.0,0.219,1.0,0.497,0.0,1.0,1.0,0.507,4.056,1.0,0.0,0.0,4.307,0.0,0.0,1.8640418,1.0,5.0,0.538,4.0,1.0,7.671,0.575,0.301,0.0,0.774,0.0,1.0,0.587,0.0,2.0,1.0,2.375278,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.085,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.0,0.0,-0.13572955,0.0,0.0,0.0,1.0,6.769551078621726,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,4716.326,135.714,199.04,95.162,104.727,131.796,106.794,31.966,21.545,56.639416,-4.646,44.25521,11.66,11.959747,4.667,6.905,1.0,0.0,0.46316758,0.0,0.0,0.0,0.54,0.0,1.181,1.0,0.0,1.0,1.0,1.0,21.638,0.0,0.0,1.0,30.475,0.0,1.358,1.0,0.566,0.0,1.0,1.0,0.45,4.223,1.0,0.0,0.0,4.362,0.0,0.0,0.5039749,1.0,9.0,0.652,5.0,1.0,7.309,0.447,0.546,0.0,0.791,0.0,1.0,0.631,0.0,3.0,1.0,2.4101114,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.689,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.0,-0.1375191,0.0,0.0,0.0,1.0,7.853871964321762,1.0152416625478935
Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,2699.099,66.869,66.667,55.763,48.207,55.275,56.665,16.837,23.348,82.68872,13.404,44.25521,6.345,11.959747,3.94,3.966,1.0,0.0,5.6942377,0.0,0.0,0.0,0.598,0.0,1.095,1.0,0.0,1.0,1.0,1.0,20.127,0.0,0.0,1.0,25.463,0.0,1.183,1.0,0.577,0.0,1.0,1.0,0.617,4.097,1.0,0.0,0.0,4.252,0.0,0.0,2.9695587,1.0,6.0,0.628,4.0,1.0,8.976,0.535,0.277,0.0,0.772,0.0,1.0,0.637,0.0,3.0,1.0,2.4082003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.645,0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,-0.13573053,0.0,0.0,0.0,1.0,7.552841968657781,1.0152416625478935
CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,2776.124,71.783,78.266,64.414,71.467,49.767,49.121,59.272,14.953,52.72279,11.445,55.85615,7.566,11.959747,5.534,3.95,1.0,0.0,2.787832,0.0,0.0,0.0,0.566,0.0,1.154,1.0,0.0,1.0,1.0,1.0,19.143,0.0,0.0,1.0,24.139,0.0,0.517,1.0,0.576,0.0,1.0,1.0,0.63,4.047,1.0,0.0,0.0,4.26,0.0,0.0,1.6506243,1.0,6.0,0.64,4.0,1.0,7.045,0.539,0.328,0.0,0.706,0.0,1.0,0.616,0.0,3.0,1.0,2.3678966,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.393,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0,0.0,0.0,-0.13572855,0.0,0.0,0.0,1.0,7.346787486224656,1.0152416625478935
Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,2699.099,70.918,73.923,30.564,65.209,49.865,47.938,20.159,21.33,82.68872,13.691,44.25521,6.853,11.959747,5.871,3.988,1.0,0.0,5.6955,0.0,0.0,0.0,0.601,0.0,1.068,1.0,0.0,1.0,1.0,1.0,19.499,0.0,0.0,1.0,25.264,0.0,0.754,1.0,0.624,0.0,1.0,1.0,0.587,4.076,1.0,0.0,0.0,4.233,0.0,0.0,2.963875,1.0,6.0,0.677,4.0,1.0,7.52,0.52,0.277,1.0,0.792,0.0,1.0,0.651,0.0,3.0,1.0,2.4079459,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.878,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,-0.13572922,0.0,0.0,0.0,1.0,7.468521082957745,1.0152416625478935
