Top Features Contributing to 20% of Performance
================================================================================
Model: SGD
Family: linear
Endpoint: pEC50
Species: all_SP
Total Features: 1620
Top Features Count: 84
Cumulative Importance: 0.1997
================================================================================

                  feature  importance  importance_normalized  cumulative
     FP_Morgan1024_r2_260    0.229269               0.011164    0.011164
              GETAWAY_128    0.101345               0.004935    0.016099
      FP_AtomPair1024_403    0.079966               0.003894    0.019993
              GETAWAY_267    0.073694               0.003589    0.023582
      FP_AtomPair1024_884    0.071163               0.003465    0.027047
              GETAWAY_272    0.067479               0.003286    0.030333
     Tautomer_IsCanonical    0.065405               0.003185    0.033518
      FP_AtomPair1024_710    0.063015               0.003069    0.036586
 FP_MorganFeat1024_r2_397    0.062731               0.003055    0.039641
                MORSE_208    0.062592               0.003048    0.042689
     FP_Morgan1024_r2_419    0.059636               0.002904    0.045593
              FP_MACCS_53    0.059265               0.002886    0.048479
                  RDF_185    0.059103               0.002878    0.051357
              GETAWAY_184    0.058128               0.002831    0.054187
     FP_Morgan1024_r2_433    0.057835               0.002816    0.057004
              GETAWAY_263    0.057702               0.002810    0.059814
     FP_Morgan1024_r2_758    0.057471               0.002799    0.062612
              GETAWAY_201    0.057009               0.002776    0.065388
                 MORSE_59    0.054411               0.002650    0.068038
                  RDF_197    0.053712               0.002616    0.070653
              GETAWAY_237    0.052203               0.002542    0.073195
                 MORSE_27    0.051848               0.002525    0.075720
                  RDF_187    0.050193               0.002444    0.078164
              GETAWAY_133    0.049821               0.002426    0.080590
              GETAWAY_258    0.049451               0.002408    0.082998
   FP_TopoTorsion1024_488    0.048921               0.002382    0.085381
        Pharm2D_Gobbi_157    0.048309               0.002352    0.087733
     FP_Morgan1024_r2_539    0.047759               0.002326    0.090059
     FP_Morgan1024_r2_281    0.047413               0.002309    0.092367
                  AC3D_19    0.047399               0.002308    0.094675
FP_MorganFeat1024_r2_1009    0.047030               0.002290    0.096966
       FP_AtomPair1024_47    0.046914               0.002284    0.099250
      FP_AtomPair1024_382    0.046896               0.002284    0.101534
      FP_AtomPair1024_809    0.046419               0.002260    0.103794
             USR_cst_Skew    0.046351               0.002257    0.106051
      FP_AtomPair1024_483    0.045197               0.002201    0.108252
       FP_AtomPair1024_32    0.044541               0.002169    0.110421
      FP_AtomPair1024_685    0.044466               0.002165    0.112586
 FP_MorganFeat1024_r2_883    0.044290               0.002157    0.114743
      FP_AtomPair1024_168    0.044239               0.002154    0.116897
      FP_AtomPair1024_826    0.044191               0.002152    0.119049
 FP_MorganFeat1024_r2_381    0.043867               0.002136    0.121185
      FP_AtomPair1024_169    0.043554               0.002121    0.123306
      FP_AtomPair1024_457    0.043288               0.002108    0.125414
      FP_AtomPair1024_164    0.042069               0.002049    0.127463
         Pharm2D_Gobbi_67    0.041976               0.002044    0.129507
     FP_Morgan1024_r2_371    0.041754               0.002033    0.131540
      FP_AtomPair1024_972    0.041534               0.002023    0.133562
     FP_Morgan1024_r2_915    0.041495               0.002021    0.135583
                MORSE_214    0.041315               0.002012    0.137595
      FP_Morgan1024_r2_46    0.040848               0.001989    0.139584
                 MORSE_60    0.040596               0.001977    0.141561
    FP_TopoTorsion1024_85    0.040487               0.001972    0.143532
      FP_AtomPair1024_489    0.040364               0.001966    0.145498
        Pharm2D_Gobbi_172    0.040176               0.001956    0.147454
                MORSE_201    0.039944               0.001945    0.149399
                MORSE_205    0.039890               0.001942    0.151342
     RDKit2D_BCUT2D_MWLOW    0.039394               0.001918    0.153260
      FP_AtomPair1024_832    0.039122               0.001905    0.155165
      FP_AtomPair1024_864    0.038978               0.001898    0.157063
      FP_AtomPair1024_705    0.038790               0.001889    0.158952
      FP_AtomPair1024_652    0.038149               0.001858    0.160810
      FP_AtomPair1024_242    0.038018               0.001851    0.162661
             FP_MACCS_152    0.037988               0.001850    0.164511
      FP_AtomPair1024_172    0.037803               0.001841    0.166351
 FP_MorganFeat1024_r2_527    0.037166               0.001810    0.168161
         Pharm2D_Gobbi_31    0.036773               0.001791    0.169952
                MORSE_199    0.036690               0.001787    0.171739
    FP_TopoTorsion1024_36    0.036579               0.001781    0.173520
        FP_AtomPair1024_0    0.036534               0.001779    0.175299
                 MORSE_21    0.036304               0.001768    0.177067
      FP_AtomPair1024_157    0.036164               0.001761    0.178828
     FP_Morgan1024_r2_842    0.036059               0.001756    0.180584
        Pharm2D_Gobbi_123    0.036005               0.001753    0.182337
      FP_AtomPair1024_545    0.035887               0.001748    0.184084
                MORSE_223    0.035832               0.001745    0.185829
                  RDF_194    0.035798               0.001743    0.187572
         Pharm2D_Gobbi_61    0.035725               0.001740    0.189312
     FP_Morgan1024_r2_346    0.035588               0.001733    0.191045
         Pharm2D_Gobbi_88    0.035449               0.001726    0.192771
            FP_RDKit512_5    0.035433               0.001725    0.194497
                  WHIM_75    0.035399               0.001724    0.196220
      FP_AtomPair1024_709    0.035399               0.001724    0.197944
                 AC2D_138    0.035366               0.001722    0.199666
