Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Deep
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 167
Cumulative Importance: 0.1994
================================================================================

                    feature  importance  importance_normalized  cumulative
                GETAWAY_239    0.015168               0.001987    0.001987
            FP_RDKit512_155    0.015115               0.001980    0.003968
        FP_AtomPair1024_357    0.014033               0.001839    0.005806
                     RDF_39    0.013896               0.001821    0.007627
                  MORSE_140    0.013671               0.001791    0.009418
                GETAWAY_184    0.013466               0.001764    0.011183
                   AC2D_130    0.013279               0.001740    0.012923
        FP_AtomPair1024_937    0.013071               0.001713    0.014635
                    AC3D_62    0.013007               0.001704    0.016339
                  MORSE_152    0.012980               0.001701    0.018040
      RDKit2D_HallKierAlpha    0.012723               0.001667    0.019707
                    AC3D_22    0.012599               0.001651    0.021358
                     RDF_58    0.012321               0.001614    0.022972
                  MORSE_191    0.012317               0.001614    0.024586
            FP_RDKit512_404    0.011963               0.001567    0.026153
        FP_AtomPair1024_233    0.011918               0.001562    0.027715
        RDKit2D_VSA_EState4    0.011766               0.001542    0.029257
                     AC2D_1    0.011543               0.001512    0.030769
                      RDF_4    0.011484               0.001505    0.032274
                GETAWAY_160    0.011414               0.001495    0.033769
                    WHIM_61    0.011378               0.001491    0.035260
                GETAWAY_232    0.011354               0.001488    0.036748
                    WHIM_59    0.011178               0.001465    0.038212
                    3D_NPR1    0.011048               0.001448    0.039660
                    AC3D_70    0.011011               0.001443    0.041102
        FP_AtomPair1024_245    0.010826               0.001418    0.042521
                    AC2D_63    0.010411               0.001364    0.043885
   Shape_Principal_Axis_1_L    0.010394               0.001362    0.045247
                  MORSE_214    0.010389               0.001361    0.046608
                 GETAWAY_84    0.010349               0.001356    0.047964
RDKit2D_MinAbsPartialCharge    0.010259               0.001344    0.049308
        FP_AtomPair1024_425    0.010239               0.001342    0.050650
                    WHIM_52    0.010137               0.001328    0.051978
        FP_AtomPair1024_178    0.010135               0.001328    0.053306
           Pharm2D_Gobbi_89    0.010102               0.001324    0.054629
                    AC2D_62    0.010011               0.001312    0.055941
                   AC2D_165    0.009955               0.001304    0.057245
         FP_Morgan1024_r2_0    0.009921               0.001300    0.058545
        FP_AtomPair1024_396    0.009803               0.001284    0.059830
                   AC2D_178    0.009783               0.001282    0.061111
                 GETAWAY_24    0.009781               0.001282    0.062393
                GETAWAY_123    0.009753               0.001278    0.063671
        FP_AtomPair1024_201    0.009698               0.001271    0.064942
                GETAWAY_173    0.009680               0.001268    0.066210
                  MORSE_218    0.009675               0.001268    0.067478
            FP_RDKit512_457    0.009646               0.001264    0.068741
         Phys_Quadrupole_XX    0.009636               0.001263    0.070004
                GETAWAY_181    0.009613               0.001260    0.071264
                   MORSE_97    0.009552               0.001252    0.072515
                    RDF_114    0.009550               0.001251    0.073767
            FP_RDKit512_266    0.009543               0.001250    0.075017
               FP_MACCS_138    0.009523               0.001248    0.076265
      FP_TopoTorsion1024_28    0.009481               0.001242    0.077507
            FP_RDKit512_267    0.009437               0.001236    0.078743
                  MORSE_204    0.009349               0.001225    0.079968
        FP_AtomPair1024_512    0.009336               0.001223    0.081191
                    AC2D_69    0.009290               0.001217    0.082409
     FP_TopoTorsion1024_184    0.009277               0.001216    0.083624
                   MORSE_56    0.009267               0.001214    0.084838
                     AC2D_8    0.009250               0.001212    0.086050
        FP_AtomPair1024_912    0.009231               0.001209    0.087260
        FP_AtomPair1024_279    0.009215               0.001207    0.088467
        FP_AtomPair1024_752    0.009199               0.001205    0.089672
                GETAWAY_261    0.009170               0.001201    0.090874
        FP_Morgan1024_r2_13    0.009161               0.001200    0.092074
               FP_MACCS_123    0.009158               0.001200    0.093274
            FP_RDKit512_205    0.009108               0.001193    0.094467
                    RDF_186    0.009080               0.001190    0.095657
                    RDF_175    0.009004               0.001180    0.096837
                   MORSE_45    0.008981               0.001177    0.098013
        FP_AtomPair1024_388    0.008965               0.001175    0.099188
        FP_AtomPair1024_842    0.008920               0.001169    0.100357
                    AC2D_44    0.008910               0.001167    0.101524
                    AC2D_16    0.008894               0.001165    0.102690
                  MORSE_200    0.008841               0.001158    0.103848
       RDKit2D_EState_VSA10    0.008829               0.001157    0.105005
                GETAWAY_138    0.008803               0.001153    0.106158
        RDKit2D_SlogP_VSA12    0.008799               0.001153    0.107311
        FP_AtomPair1024_112    0.008748               0.001146    0.108457
                GETAWAY_163    0.008734               0.001144    0.109601
               FP_MACCS_115    0.008718               0.001142    0.110744
        FP_AtomPair1024_162    0.008714               0.001142    0.111885
                     RDF_84    0.008699               0.001140    0.113025
                   AC2D_129    0.008693               0.001139    0.114164
                     AC3D_6    0.008677               0.001137    0.115301
                    AC2D_72    0.008676               0.001137    0.116438
        FP_AtomPair1024_901    0.008676               0.001137    0.117575
                GETAWAY_146    0.008607               0.001128    0.118702
          Pharm2D_Gobbi_172    0.008557               0.001121    0.119824
     FP_TopoTorsion1024_409    0.008504               0.001114    0.120938
       FP_Morgan1024_r2_237    0.008475               0.001110    0.122048
         RDKit2D_PEOE_VSA13    0.008469               0.001110    0.123158
               RDKit2D_Chi0    0.008467               0.001109    0.124267
        RDKit2D_EState_VSA9    0.008419               0.001103    0.125370
         RDKit2D_SlogP_VSA6    0.008418               0.001103    0.126473
   FP_MorganFeat1024_r2_286    0.008396               0.001100    0.127573
       FP_Morgan1024_r2_351    0.008390               0.001099    0.128673
             FP_RDKit512_95    0.008374               0.001097    0.129770
  RDKit2D_MaxAbsEStateIndex    0.008350               0.001094    0.130864
        FP_AtomPair1024_404    0.008305               0.001088    0.131952
                    WHIM_46    0.008291               0.001086    0.133038
        FP_AtomPair1024_926    0.008288               0.001086    0.134124
           Pharm2D_Gobbi_96    0.008266               0.001083    0.135207
                    WHIM_19    0.008246               0.001080    0.136288
