Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Large
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 190
Cumulative Importance: 0.1994
================================================================================

                  feature  importance  importance_normalized  cumulative
           FP_RDKit512_13    0.007977               0.001766    0.001766
                MORSE_175    0.007791               0.001725    0.003491
      FP_AtomPair1024_127    0.006989               0.001548    0.005039
          FP_RDKit512_437    0.006966               0.001542    0.006581
              FP_MACCS_75    0.006944               0.001538    0.008119
      FP_AtomPair1024_243    0.006592               0.001460    0.009578
        Pharm2D_Gobbi_202    0.006567               0.001454    0.011032
          FP_RDKit512_277    0.006397               0.001416    0.012449
               GETAWAY_43    0.006375               0.001411    0.013860
                  AC3D_79    0.006275               0.001389    0.015250
         Pharm2D_Gobbi_65    0.006257               0.001385    0.016635
          FP_RDKit512_420    0.006158               0.001364    0.017999
      FP_AtomPair1024_281    0.006073               0.001345    0.019343
          FP_RDKit512_178    0.005964               0.001321    0.020664
                   RDF_96    0.005929               0.001313    0.021977
          FP_RDKit512_425    0.005925               0.001312    0.023289
     FP_Morgan1024_r2_351    0.005873               0.001300    0.024589
                MORSE_197    0.005787               0.001281    0.025870
          FP_RDKit512_169    0.005780               0.001280    0.027150
          FP_RDKit512_359    0.005777               0.001279    0.028429
          FP_RDKit512_157    0.005747               0.001272    0.029702
                 MORSE_15    0.005739               0.001271    0.030973
          FP_RDKit512_407    0.005687               0.001259    0.032232
                MORSE_174    0.005681               0.001258    0.033490
          FP_RDKit512_506    0.005658               0.001253    0.034742
              GETAWAY_123    0.005556               0.001230    0.035973
                   RDF_11    0.005555               0.001230    0.037203
           FP_RDKit512_78    0.005546               0.001228    0.038431
          FP_RDKit512_206    0.005546               0.001228    0.039658
                  AC2D_72    0.005544               0.001228    0.040886
      RDKit2D_fr_thiazole    0.005470               0.001211    0.042097
      FP_AtomPair1024_505    0.005424               0.001201    0.043298
        RDKit2D_fr_Al_COO    0.005396               0.001195    0.044493
      FP_AtomPair1024_489    0.005376               0.001190    0.045683
 FP_MorganFeat1024_r2_499    0.005356               0.001186    0.046869
      FP_Morgan1024_r2_36    0.005344               0.001183    0.048053
           FP_RDKit512_56    0.005339               0.001182    0.049235
      FP_AtomPair1024_400    0.005316               0.001177    0.050412
       FP_AtomPair1024_69    0.005303               0.001174    0.051586
      FP_AtomPair1024_889    0.005287               0.001171    0.052757
     FP_Morgan1024_r2_102    0.005276               0.001168    0.053925
      FP_AtomPair1024_856    0.005263               0.001165    0.055090
      FP_AtomPair1024_348    0.005247               0.001162    0.056252
       FP_AtomPair1024_48    0.005225               0.001157    0.057409
          FP_RDKit512_249    0.005207               0.001153    0.058562
      FP_Morgan1024_r2_73    0.005206               0.001153    0.059715
      FP_AtomPair1024_588    0.005180               0.001147    0.060862
      FP_AtomPair1024_645    0.005176               0.001146    0.062008
                 AC2D_169    0.005165               0.001144    0.063151
   FP_TopoTorsion1024_688    0.005162               0.001143    0.064294
                GETAWAY_0    0.005140               0.001138    0.065432
      FP_AtomPair1024_117    0.005139               0.001138    0.066570
              GETAWAY_153    0.005125               0.001135    0.067705
           FP_RDKit512_67    0.005122               0.001134    0.068839
                  AC3D_40    0.005117               0.001133    0.069972
      FP_AtomPair1024_518    0.005110               0.001131    0.071103
      FP_AtomPair1024_298    0.005102               0.001130    0.072233
                 AC2D_143    0.005042               0.001116    0.073350
               GETAWAY_13    0.005014               0.001110    0.074460
      FP_AtomPair1024_822    0.004990               0.001105    0.075565
              GETAWAY_237    0.004969               0.001100    0.076665
      FP_AtomPair1024_683    0.004969               0.001100    0.077765
      FP_AtomPair1024_305    0.004966               0.001100    0.078865
     Graph_Centrality_Max    0.004960               0.001098    0.079963
             FP_MACCS_122    0.004945               0.001095    0.081058
                  AC3D_48    0.004917               0.001089    0.082147
             FP_MACCS_132    0.004874               0.001079    0.083226
      FP_AtomPair1024_896    0.004843               0.001072    0.084298
 FP_MorganFeat1024_r2_139    0.004843               0.001072    0.085371
          FP_RDKit512_286    0.004827               0.001069    0.086440
      FP_AtomPair1024_551    0.004823               0.001068    0.087508
      FP_AtomPair1024_517    0.004815               0.001066    0.088574
              FP_MACCS_83    0.004789               0.001060    0.089634
      FP_AtomPair1024_806    0.004776               0.001058    0.090692
         Pharm2D_Gobbi_67    0.004748               0.001051    0.091743
     FP_Morgan1024_r2_138    0.004740               0.001049    0.092792
                MORSE_140    0.004735               0.001048    0.093841
              GETAWAY_207    0.004727               0.001047    0.094887
              GETAWAY_135    0.004717               0.001045    0.095932
          FP_RDKit512_367    0.004689               0.001038    0.096970
               GETAWAY_91    0.004680               0.001036    0.098006
              GETAWAY_149    0.004658               0.001031    0.099038
          FP_RDKit512_450    0.004644               0.001028    0.100066
                MORSE_166    0.004637               0.001027    0.101093
     Phys_Count_Neg_Atoms    0.004619               0.001023    0.102116
          FP_RDKit512_234    0.004614               0.001022    0.103137
          FP_RDKit512_228    0.004608               0.001020    0.104157
           FP_RDKit512_80    0.004604               0.001019    0.105177
           FP_RDKit512_74    0.004592               0.001017    0.106194
           FP_RDKit512_10    0.004560               0.001010    0.107203
     FP_Morgan1024_r2_809    0.004548               0.001007    0.108210
 FP_MorganFeat1024_r2_446    0.004542               0.001006    0.109216
