Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Medium
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 179
Cumulative Importance: 0.1997
================================================================================

                 feature  importance  importance_normalized  cumulative
         FP_RDKit512_273    0.013109               0.002039    0.002039
    RDKit2D_fr_piperdine    0.011731               0.001825    0.003864
         FP_RDKit512_480    0.010502               0.001633    0.005497
                  RDF_51    0.010493               0.001632    0.007129
                 AC2D_26    0.010112               0.001573    0.008702
             FP_MACCS_95    0.010022               0.001559    0.010261
  RDKit2D_HeavyAtomCount    0.009975               0.001551    0.011812
       Pharm2D_Gobbi_164    0.009923               0.001543    0.013355
                 RDF_187    0.009703               0.001509    0.014865
                 AC3D_62    0.009669               0.001504    0.016368
      RDKit2D_SlogP_VSA3    0.009661               0.001503    0.017871
  FP_TopoTorsion1024_849    0.009000               0.001400    0.019271
                 AC3D_75    0.008936               0.001390    0.020661
             EState_Mean    0.008794               0.001368    0.022028
      FP_AtomPair1024_94    0.008728               0.001358    0.023386
                 AC2D_91    0.008708               0.001354    0.024740
               MORSE_191    0.008708               0.001354    0.026095
  FP_TopoTorsion1024_557    0.008705               0.001354    0.027449
             GETAWAY_100    0.008655               0.001346    0.028795
     FP_AtomPair1024_203    0.008610               0.001339    0.030134
     FP_AtomPair1024_286    0.008550               0.001330    0.031464
     FP_Morgan1024_r2_62    0.008519               0.001325    0.032789
                WHIM_112    0.008425               0.001310    0.034099
     FP_AtomPair1024_580    0.008389               0.001305    0.035404
     FP_AtomPair1024_652    0.008371               0.001302    0.036706
        RDKit2D_fr_Ar_NH    0.008357               0.001300    0.038006
         FP_RDKit512_467    0.008350               0.001299    0.039304
     FP_AtomPair1024_711    0.008325               0.001295    0.040599
                 AC2D_73    0.008285               0.001289    0.041888
              GETAWAY_84    0.008233               0.001281    0.043168
                 AC2D_12    0.008177               0.001272    0.044440
         FP_RDKit512_165    0.008169               0.001271    0.045711
     FP_AtomPair1024_792    0.008091               0.001258    0.046969
      FP_AtomPair1024_77    0.008078               0.001256    0.048226
                 AC3D_44    0.008013               0.001246    0.049472
               MORSE_115    0.008007               0.001245    0.050717
      RDKit2D_ExactMolWt    0.008007               0.001245    0.051963
     FP_AtomPair1024_293    0.007959               0.001238    0.053201
      FP_AtomPair1024_20    0.007950               0.001236    0.054437
              GETAWAY_78    0.007948               0.001236    0.055673
     FP_AtomPair1024_660    0.007918               0.001231    0.056905
        Pharm2D_Gobbi_69    0.007881               0.001226    0.058130
                  WHIM_5    0.007872               0.001224    0.059355
FP_MorganFeat1024_r2_365    0.007820               0.001216    0.060571
