Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Tanh
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 188
Cumulative Importance: 0.2000
================================================================================

                    feature  importance  importance_normalized  cumulative
       FP_Morgan1024_r2_744    0.004709               0.002859    0.002859
                GETAWAY_199    0.003269               0.001985    0.004844
        FP_AtomPair1024_811    0.002893               0.001756    0.006601
             FP_RDKit512_98    0.002867               0.001741    0.008342
       FP_AtomPair1024_1012    0.002674               0.001623    0.009965
              FP_RDKit512_3    0.002590               0.001573    0.011538
                  MORSE_213    0.002479               0.001505    0.013043
         FP_AtomPair1024_84    0.002469               0.001499    0.014542
       RDKit2D_BCUT2D_CHGLO    0.002391               0.001452    0.015994
        FP_AtomPair1024_725    0.002381               0.001445    0.017440
        FP_AtomPair1024_556    0.002245               0.001363    0.018803
                GETAWAY_196    0.002217               0.001346    0.020149
             FP_RDKit512_20    0.002213               0.001344    0.021493
     FP_TopoTorsion1024_596    0.002181               0.001324    0.022817
        FP_AtomPair1024_497    0.002165               0.001314    0.024131
        FP_AtomPair1024_150    0.002157               0.001310    0.025441
     FP_TopoTorsion1024_408    0.002136               0.001297    0.026738
         FP_Morgan1024_r2_2    0.002123               0.001289    0.028027
        FP_AtomPair1024_129    0.002120               0.001287    0.029315
       FP_Morgan1024_r2_138    0.002109               0.001281    0.030595
        FP_AtomPair1024_799    0.002107               0.001279    0.031874
                  MORSE_184    0.002093               0.001271    0.033145
                     RDF_13    0.002092               0.001270    0.034416
        FP_AtomPair1024_248    0.002084               0.001265    0.035681
          RDKit2D_PEOE_VSA5    0.002051               0.001245    0.036926
                 GETAWAY_27    0.002047               0.001243    0.038169
       FP_Morgan1024_r2_165    0.002047               0.001243    0.039412
            FP_RDKit512_369    0.002042               0.001240    0.040652
                GETAWAY_127    0.002038               0.001237    0.041889
   FP_MorganFeat1024_r2_566    0.002008               0.001219    0.043108
                     RDF_73    0.001995               0.001211    0.044319
                  MORSE_120    0.001993               0.001210    0.045529
        FP_AtomPair1024_567    0.001991               0.001209    0.046738
              FP_RDKit512_8    0.001984               0.001205    0.047943
                   MORSE_53    0.001984               0.001204    0.049147
        FP_AtomPair1024_613    0.001977               0.001200    0.050348
        FP_AtomPair1024_560    0.001973               0.001198    0.051545
         RDKit2D_fr_sulfide    0.001972               0.001197    0.052743
