action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,source_organism,source_target_chembl_id,source_pref_name
,,18985778,[],CHEMBL4340054,Binding affinity to C-terminal His tagged purified recombinant PCSK9 D374Y mutant (unknown origin) expressed in HEK293 cells assessed as dose dependent reduction in PCSK9/LDLR protein-protein interaction at 0.1 uM to 1 mM uM by chemiluminescent assay,B,Q8NBP7,D374Y,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)CN)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL4339215,ACS Med Chem Lett,2019,,CHEMBL4472590,,CHEMBL4472590,,0,http://www.openphacts.org/units/Nanomolar,3167169,=,1,1,=,,IC50,nM,,285600.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,285.6,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,18985780,[],CHEMBL4340054,Binding affinity to C-terminal His tagged purified recombinant PCSK9 D374Y mutant (unknown origin) expressed in HEK293 cells assessed as dose dependent reduction in PCSK9/LDLR protein-protein interaction at 0.1 uM to 1 mM uM by chemiluminescent assay,B,Q8NBP7,D374Y,BAO_0000190,BAO_0000219,cell-based format,CSCC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)CN)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL4339215,ACS Med Chem Lett,2019,,CHEMBL4568355,,CHEMBL4568355,,0,http://www.openphacts.org/units/Nanomolar,3167171,=,1,1,=,,IC50,nM,,147800.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,147.8,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,19069932,[],CHEMBL4361388,Inhibition of recombinant His-tagged PCSK9 (unknown origin) binding to recombinant LDRR AB domain (unknown origin) measured after 2 hrs by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,CNCCCCCn1cncc1-c1ncc(-c2ncc(-c3ccc(OC)cc3)n2C)n1Cc1ccccc1,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '11.50', 'le': '0.21', 'lle': '0.60', 'sei': '7.84'}",CHEMBL4592495,,CHEMBL4592495,5.86,0,http://www.openphacts.org/units/Nanomolar,3181597,=,1,1,=,,IC50,nM,,1380.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,1.38,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,19069933,[],CHEMBL4361388,Inhibition of recombinant His-tagged PCSK9 (unknown origin) binding to recombinant LDRR AB domain (unknown origin) measured after 2 hrs by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,CNCCCCCn1cncc1-c1ncc(-c2ncc(-c3ccc(OC)cc3)n2C)n1CCc1ccccc1,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '10.53', 'le': '0.19', 'lle': '0.05', 'sei': '7.38'}",CHEMBL4557622,,CHEMBL4557622,5.51,0,http://www.openphacts.org/units/Nanomolar,3181598,=,1,1,=,,IC50,nM,,3060.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,3.06,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,19069934,[],CHEMBL4361388,Inhibition of recombinant His-tagged PCSK9 (unknown origin) binding to recombinant LDRR AB domain (unknown origin) measured after 2 hrs by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,Cn1cncc1-c1ncc(-c2ncc(-c3ncc(-c4ccccc4)n3C)n2C)n1C,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '12.42', 'le': '0.23', 'lle': '1.66', 'sei': '6.95'}",CHEMBL4228379,,CHEMBL4228379,4.95,0,http://www.openphacts.org/units/Nanomolar,3181599,=,1,1,=,,IC50,nM,,11200.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,11.2,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,19069935,[],CHEMBL4361388,Inhibition of recombinant His-tagged PCSK9 (unknown origin) binding to recombinant LDRR AB domain (unknown origin) measured after 2 hrs by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)O,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '5.23', 'le': None, 'lle': None, 'sei': None}",CHEMBL4227596,,CHEMBL4227596,5.80,0,http://www.openphacts.org/units/Nanomolar,3181600,=,1,1,=,,IC50,nM,,1600.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,1.6,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,19069936,[],CHEMBL4361388,Inhibition of recombinant His-tagged PCSK9 (unknown origin) binding to recombinant LDRR AB domain (unknown origin) measured after 2 hrs by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C[C@H](C(=O)N1CCN([C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2CCOC2=O)CC1)N1C(=O)N[C@@H](CC(=O)O)C1=O,,,CHEMBL4359840,J Med Chem,2019,"{'bei': '6.76', 'le': '0.13', 'lle': '8.34', 'sei': '1.57'}",CHEMBL4440808,,CHEMBL4440808,4.70,0,http://www.openphacts.org/units/Nanomolar,3181602,=,1,1,=,,IC50,nM,,20000.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,40.0,20.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,20704515,[],CHEMBL4628021,Inhibition of recombinant human His-tagged PCSK9 interaction with recombinant LDLR AB domain (unknown origin) measured after 3 hrs by horseradish peroxidase-coupled TMB substrate based spectrophotometry,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(C(=O)c4cccc(C#N)c4)c3)cc(N3CCN(C)CC3)c2)cn1,,,CHEMBL4627281,Bioorg Med Chem,2020,"{'bei': '10.94', 'le': '0.20', 'lle': '1.07', 'sei': '6.02'}",CHEMBL4649346,,CHEMBL4649346,5.67,0,http://www.openphacts.org/units/Nanomolar,3486963,=,1,1,=,,IC50,nM,,2130.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,2.13,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,20704516,[],CHEMBL4628021,Inhibition of recombinant human His-tagged PCSK9 interaction with recombinant LDLR AB domain (unknown origin) measured after 3 hrs by horseradish peroxidase-coupled TMB substrate based spectrophotometry,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Oc4cccc5ccncc45)c3)cc(N3CCN(C)CC3)c2)cn1,,,CHEMBL4627281,Bioorg Med Chem,2020,"{'bei': '13.34', 'le': '0.24', 'lle': '1.28', 'sei': '9.41'}",CHEMBL4638350,,CHEMBL4638350,7.11,0,http://www.openphacts.org/units/Nanomolar,3486962,=,1,1,=,,IC50,nM,,78.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,0.078,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
,,20704517,[],CHEMBL4628021,Inhibition of recombinant human His-tagged PCSK9 interaction with recombinant LDLR AB domain (unknown origin) measured after 3 hrs by horseradish peroxidase-coupled TMB substrate based spectrophotometry,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Oc4ccccc4)c3)cc(N3CCN(C)CC3)c2)cn1,,,CHEMBL4627281,Bioorg Med Chem,2020,"{'bei': '12.71', 'le': '0.23', 'lle': '0.83', 'sei': '9.77'}",CHEMBL4649103,,CHEMBL4649103,6.12,0,http://www.openphacts.org/units/Nanomolar,3486961,=,1,1,=,,IC50,nM,,759.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,IC50,uM,UO_0000065,,0.759,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
