SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],13800,nM,original,13800.0,13800.0
CC1=CC(=O)[C@H]([C@]2([C@H]1CC3=C(C(=O)O[C@]3(C2)OC)C)C)OC(=O)C,25200,nM,original,25200.0,25200.0
C[C@@H]1[C@H]2CC3=C(C(=O)O[C@@]3(C[C@@]2(C=CC1=O)C)O)C,27800,nM,original,27800.0,27800.0
C[C@@H]1[C@H]2C/C(=C(\C)/C(=O)O)/C[C@@]2([C@@H](CC1=O)OC)C,24400,nM,original,24400.0,24400.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,12,nM,original,12.0,12.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,9,nM,original,9.0,9.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,2,nM,original,2.0,2.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,2,nM,original,2.0,2.0
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,41,nM,original,41.0,41.0
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,10,nM,original,10.0,10.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,24,nM,original,24.0,24.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,33,nM,original,33.0,33.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,32,nM,original,32.0,32.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,49,nM,original,49.0,49.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,58,nM,original,58.0,58.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,38,nM,original,38.0,38.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)Cl,30,nM,original,30.0,30.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)Cl,40,nM,original,40.0,40.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)F,38,nM,original,38.0,38.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)C(F)(F)F,48,nM,original,48.0,48.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)Cl,1853,nM,original,1853.0,1853.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,100,nM,original,100.0,100.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,13,nM,original,13.0,13.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,10,nM,original,10.0,10.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,8,nM,original,8.0,8.0
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,279,nM,original,279.0,279.0
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,78,nM,original,78.0,78.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,179,nM,original,179.0,179.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,248,nM,original,248.0,248.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,297,nM,original,297.0,297.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,317,nM,original,317.0,317.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,401,nM,original,401.0,401.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,260,nM,original,260.0,260.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)Cl,252,nM,original,252.0,252.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)Cl,379,nM,original,379.0,379.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)F,304,nM,original,304.0,304.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)C(F)(F)F,465,nM,original,465.0,465.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)Cl,3101,nM,original,3101.0,3101.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,1770,nM,original,1770.0,1770.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,2160,nM,original,2160.0,2160.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,>10000,nM,original,10000.0,20000.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,>10000,nM,original,10000.0,20000.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,2300,nM,original,2300.0,2300.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,>1000,nM,original,1000.0,2000.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,>10000,nM,original,10000.0,20000.0
