SMILES,IC50,IC50-min,IC50-max
COC(=O)c1c(N)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5230.0,5230.0,5230.0
COC(=O)c1c(Nc2ccccc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,6160.0,6160.0,6160.0
COC(=O)c1c(Nc2ccc(C)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,3770.0,3770.0,3770.0
COC(=O)c1c(Nc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,4710.0,4710.0,4710.0
COC(=O)c1c(Nc2ccc(Cl)c(Cl)c2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,4870.0,4870.0,4870.0
COC(=O)c1c(NCc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,4330.0,4330.0,4330.0
COC(=O)c1c(N2CCCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5500.0,5500.0,5500.0
COC(=O)c1c(NC2CCCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,4060.0,4060.0,4060.0
COC(=O)c1c(N2CCOCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,3740.0,3740.0,3740.0
COC(=O)c1c(NC2CCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,4610.0,4610.0,4610.0
CCCCOC(=O)c1c(NCc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,3380.0,3380.0,3380.0
