SMILES,IC50,IC50-min,IC50-max
CCCCN1C2=C(C=CC=N2)C(=C(C1=O)NC(=O)NC3=C(C=C(C=C3C(C)C)N)C(C)C)C4=CC(=CC=C4)OCCCO.O.Cl,>10000,10000.0,20000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)N(C)C(=O)C2(CCN(CC2)C3=NC=CC=N3)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC(C)C1=CC(=CC(=C1NC(=O)NCC2(CCN(CC2)C3=CC=CC=C3OCCCO)C4=CC(=CC=C4)OC)C(C)C)N,18,18.0,18.0
CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)NS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
COC1=CC=CC(=C1)C2(CCN(CC2)C3=CC=CC=C3OC)C(=O)NS(=O)(=O)OC4=CC=CC=C4,>1000,1000.0,2000.0
CC1=CC=CC=C1OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CCCC1=CC=CC=C1OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
COC1=CC=CC(=C1)C2(CCN(CC2)C3=CC=CC=C3OC)C(=O)NS(=O)(=O)OC4=CC=CC=C4C5CCCC5,>1000,1000.0,2000.0
CC1=C(C(=CC=C1)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,410,410.0,410.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3OC)C4=CC(=CC=C4)OC,330,330.0,330.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCNCC2)C3=CC(=CC=C3)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C)C3=CC(=CC=C3)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C(=O)C)C3=CC(=CC=C3)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C(=O)C3=CC=CC=C3)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=CC=CC=C3)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=C(C=CC=N3)OC)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC4=CC=CC=C4S3)C5=CC(=CC=C5)OC,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=CC=N3)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CC1=NC(=NC=C1)N2CCC(CC2)(C3=CC(=CC=C3)OC)C(=O)NS(=O)(=O)OC4=C(C=CC=C4C(C)C)C(C)C,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=CC(=N3)C(F)(F)F)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
CCCC1=CN=C(N=C1)N2CCC(CC2)(C3=CC(=CC=C3)OC)C(=O)NS(=O)(=O)OC4=C(C=CC=C4C(C)C)C(C)C,>1000,1000.0,2000.0
CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)C2(CCN(CC2)C3=NC=C(C=N3)Br)C4=CC(=CC=C4)OC,>1000,1000.0,2000.0
