SMILES,IC50,IC50-min,IC50-max
CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cc(N)cc2C(C)C)c(-c2cccc(OCCCO)c2)c2cccnc21,>10000,10000.0,20000.0
COc1cccc(C2(C(=O)N(C)S(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccn3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCO)CC2)c1,18,18.0,18.0
COc1cccc(C2(C(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3)CCN(c3ccccc3OC)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C)CCN(c3ccccc3OC)CC2)c1,>1000,1000.0,2000.0
CCCc1ccccc1OS(=O)(=O)NC(=O)C1(c2cccc(OC)c2)CCN(c2ccccc2OC)CC1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C3CCCC3)CCN(c3ccccc3OC)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C)cccc3C)CCN(c3ccccc3OC)CC2)c1,410,410.0,410.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,330,330.0,330.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCNCC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(C)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(C(C)=O)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(C(=O)c3ccccc3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccc3OC)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3nc4ccccc4s3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccn3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3nccc(C)n3)CC2)c1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3nccc(C(F)(F)F)n3)CC2)c1,>1000,1000.0,2000.0
CCCc1cnc(N2CCC(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)(c3cccc(OC)c3)CC2)nc1,>1000,1000.0,2000.0
COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncc(Br)cn3)CC2)c1,>1000,1000.0,2000.0
