SMILES,pIC50,pIC50-min,pIC50-max
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1N,5.28,5.281498311132726,5.281498311132726
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1Nc1ccccc1,5.21,5.210419287835574,5.210419287835574
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1Nc1ccc(C)cc1,5.42,5.423658649794207,5.423658649794207
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1Nc1ccc(OC)cc1,5.33,5.326979092871104,5.326979092871104
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1Nc1ccc(Cl)c(Cl)c1,5.31,5.3124710387853655,5.3124710387853655
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1NCc1ccc(OC)cc1,5.36,5.363512103646634,5.363512103646634
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1N1CCCCC1,5.26,5.259637310505756,5.259637310505756
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1NC1CCCCC1,5.39,5.391473966422806,5.391473966422806
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1N1CCOCC1,5.43,5.427128397799519,5.427128397799519
COC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1NC1CCCC1,5.34,5.336299074610352,5.336299074610352
CCCCOC(=O)c1c2nc3ccc(N(C)C)cc3oc-2c(O)c(=O)c1NCc1ccc(OC)cc1,5.47,5.471083299722345,5.471083299722345
