SMILES,Unit,Qualifier,Unit_Source
C(CN)C#N,ambiguous,>,ambiguous
C(CN)C#N,ambiguous,<,ambiguous
C1=CC=C2C(=C1)C(=CN2C/C(=C/CN)/F)C3=CC=C(C=C3)F,ambiguous,>,ambiguous
C1=CC=C2C(=C1)C(=CN2C/C(=C/CN)/F)C3=CC=C(C=C3)F,ambiguous,<,ambiguous
CC1=C(C2=CC=CC=C2N1C/C(=C/CN)/F)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=CC=CC=C2N1C/C(=C/CN)/F)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=CC=CC=C2N1C/C(=C/CN)/F)C3=CC=C(C=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=CC=CC=C2N1C/C(=C/CN)/F)C3=CC=C(C=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)N=CC=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)N=CC=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)OC)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)OC)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)OC)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)OC)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)N(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)N)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=C(C=C2)C(=O)N)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)S(=O)(=O)N(C)C)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)S(=O)(=O)N(C)C)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C=CC=C1S(=O)(=O)N(C)C)C2=C(N(C3=C2C=C(C=C3)C(=O)O)C/C(=C/CN)/F)C,ambiguous,>,ambiguous
CC1=C(C=CC=C1S(=O)(=O)N(C)C)C2=C(N(C3=C2C=C(C=C3)C(=O)O)C/C(=C/CN)/F)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)C(=O)N(C)C)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)C(=O)N(C)C)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)C(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)C(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)S(=O)(=O)C)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)S(=O)(=O)C)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)NC,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)NC,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=C(C=CC(=C3)S(=O)(=O)N(C)C)C)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=C(C=CC(=C3)S(=O)(=O)N(C)C)C)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)C2=C(N(C3=C2C=C(C=C3)C(=O)O)C/C(=C/CN)/F)C,ambiguous,>,ambiguous
CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)C2=C(N(C3=C2C=C(C=C3)C(=O)O)C/C(=C/CN)/F)C,ambiguous,<,ambiguous
CC1=C(C2=CC(=C(C=C2N1C/C(=C/CN)/F)F)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=CC(=C(C=C2N1C/C(=C/CN)/F)F)C(=O)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=C(C=C2C(=C1)C(=C(N2C/C(=C/CN)/F)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C)F,ambiguous,>,ambiguous
CCOC(=O)C1=C(C=C2C(=C1)C(=C(N2C/C(=C/CN)/F)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C)F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC=C(C=C3)F,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC=C(C=C3)F,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC=C(C=C3)F)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC=C(C=C3)F)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC=N2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC=N2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CN=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CN=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)Cl)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)Cl)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)Cl,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)Cl,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C3=NNN=N3)C4=CC(=CC=C4)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C3=NNN=N3)C4=CC(=CC=C4)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)C(C)(C)C)C)C/C(=C/CN)/F,ambiguous,>,ambiguous
CCOC(=O)C1=CC2=C(C=C1)N(C(=C2C3=CC(=CC=C3)C(C)(C)C)C)C/C(=C/CN)/F,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)C(C)(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)O)C3=CC(=CC=C3)C(C)(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=NC=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=NC=C2)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CCOC(=O)C1=CC=CC(=C1)C2=C(N(C3=C2C=C(C=C3)S(=O)(=O)N(C)C)C/C(=C/CN)/F)C,ambiguous,>,ambiguous
CCOC(=O)C1=CC=CC(=C1)C2=C(N(C3=C2C=C(C=C3)S(=O)(=O)N(C)C)C/C(=C/CN)/F)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)S(=O)(=O)N(C)C)C3=CC(=CC=C3)C(=O)O,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)S(=O)(=O)N(C)C)C3=CC(=CC=C3)C(=O)O,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)NC(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)NC(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)C(=O)N(C)C(C)C)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,<,ambiguous
CC1=C(C2=C(N1C/C(=C/CN)/F)C=CC(=C2)O)C3=CC(=CC=C3)S(=O)(=O)N(C)C,ambiguous,>,ambiguous
