SMILES,Unit,Qualifier,Unit_Source
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],nM,=,original
CC1=CC(=O)[C@H]([C@]2([C@H]1CC3=C(C(=O)O[C@]3(C2)OC)C)C)OC(=O)C,nM,=,original
C[C@@H]1[C@H]2CC3=C(C(=O)O[C@@]3(C[C@@]2(C=CC1=O)C)O)C,nM,=,original
C[C@@H]1[C@H]2C/C(=C(\C)/C(=O)O)/C[C@@]2([C@@H](CC1=O)OC)C,nM,=,original
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,nM,=,original
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,nM,=,original
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,nM,=,original
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,nM,=,original
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,nM,=,original
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)Cl,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)Cl,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)F,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)Cl)C(F)(F)F,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)Cl,nM,=,original
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,nM,=,original
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,nM,=,original
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,nM,=,original
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,nM,=,original
C1=CC=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=CC=C4,nM,=,original
CC1=CC(=C(C=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)C,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,nM,=,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)Cl,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)F,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F,nM,=,original
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)Cl)F)C4=CC=C(C=C4)Cl,nM,=,original
