Top Features Contributing to 20% of Performance
================================================================================
Model: Ridge
Family: linear
Endpoint: pIC50
Species: all_SP
Total Features: 2146
Top Features Count: 91
Cumulative Importance: 0.1996
================================================================================

               feature  importance  importance_normalized  cumulative
               RDF_177    2.085675               0.015538    0.015538
               RDF_176    1.597007               0.011897    0.027435
                RDF_26    1.273286               0.009486    0.036921
                RDF_27    0.848133               0.006318    0.043239
                RDF_57    0.737895               0.005497    0.048736
               RDF_175    0.725291               0.005403    0.054139
         Sol_ESOL_LogS    0.550895               0.004104    0.058243
               RDF_147    0.490549               0.003654    0.061898
               3D_PMI1    0.477448               0.003557    0.065455
               AC3D_67    0.431042               0.003211    0.068666
                AC3D_3    0.345009               0.002570    0.071236
               AC3D_66    0.338577               0.002522    0.073758
   FP_AtomPair1024_166    0.327172               0.002437    0.076196
   MD_Inertial_Ratio_2    0.299464               0.002231    0.078426
   RDKit2D_VSA_EState6    0.294321               0.002193    0.080619
FP_TopoTorsion1024_694    0.287657               0.002143    0.082762
  FP_Morgan1024_r2_618    0.285239               0.002125    0.084887
       FP_RDKit512_421    0.283977               0.002116    0.087003
          FP_MACCS_138    0.283874               0.002115    0.089117
        Flex_RingCount    0.275065               0.002049    0.091166
FP_TopoTorsion1024_664    0.273039               0.002034    0.093201
FP_TopoTorsion1024_965    0.265110               0.001975    0.095176
  FP_Morgan1024_r2_929    0.262102               0.001953    0.097128
   FP_AtomPair1024_450    0.259063               0.001930    0.099058
       FP_RDKit512_135    0.247489               0.001844    0.100902
   FP_AtomPair1024_242    0.243193               0.001812    0.102714
                RDF_92    0.242138               0.001804    0.104517
               AC3D_60    0.242070               0.001803    0.106321
        FP_RDKit512_85    0.239562               0.001785    0.108105
               AC3D_61    0.239402               0.001783    0.109889
       FP_RDKit512_410    0.239009               0.001781    0.111669
       FP_RDKit512_230    0.236669               0.001763    0.113433
   FP_AtomPair1024_697    0.235640               0.001755    0.115188
   FP_AtomPair1024_969    0.231629               0.001726    0.116914
FP_TopoTorsion1024_761    0.227845               0.001697    0.118611
          FP_MACCS_120    0.225927               0.001683    0.120294
   FP_AtomPair1024_144    0.223594               0.001666    0.121960
   FP_AtomPair1024_680    0.221890               0.001653    0.123613
  FP_Morgan1024_r2_725    0.220927               0.001646    0.125259
 FP_Morgan1024_r2_1007    0.220306               0.001641    0.126900
               RDF_149    0.216813               0.001615    0.128515
       FP_RDKit512_369    0.216369               0.001612    0.130127
FP_MorganFeat1024_r2_3    0.212405               0.001582    0.131709
   FP_AtomPair1024_466    0.212397               0.001582    0.133292
   FP_AtomPair1024_917    0.212157               0.001581    0.134872
    FP_AtomPair1024_71    0.210490               0.001568    0.136440
                RDF_28    0.207697               0.001547    0.137987
   FP_Morgan1024_r2_29    0.207107               0.001543    0.139530
       FP_RDKit512_123    0.205459               0.001531    0.141061
  FP_Morgan1024_r2_715    0.205206               0.001529    0.142590
        FP_RDKit512_58    0.204241               0.001522    0.144111
   3D_RadiusOfGyration    0.202754               0.001510    0.145622
    FP_AtomPair1024_19    0.196836               0.001466    0.147088
       FP_RDKit512_428    0.196797               0.001466    0.148554
    FP_AtomPair1024_63    0.196678               0.001465    0.150019
        FP_RDKit512_22    0.195848               0.001459    0.151478
   FP_AtomPair1024_602    0.195283               0.001455    0.152933
           FP_MACCS_65    0.195220               0.001454    0.154387
       FP_RDKit512_102    0.194577               0.001450    0.155837
FP_TopoTorsion1024_121    0.194362               0.001448    0.157285
   FP_AtomPair1024_375    0.194085               0.001446    0.158731
       FP_RDKit512_368    0.194056               0.001446    0.160176
        FP_RDKit512_18    0.192961               0.001438    0.161614
          FP_MACCS_159    0.192242               0.001432    0.163046
FP_TopoTorsion1024_290    0.192074               0.001431    0.164477
  FP_Morgan1024_r2_816    0.189148               0.001409    0.165886
               AC3D_32    0.187884               0.001400    0.167286
       FP_RDKit512_175    0.187096               0.001394    0.168680
   FP_AtomPair1024_754    0.186331               0.001388    0.170068
FP_MorganFeat1024_r2_5    0.185859               0.001385    0.171452
   FP_AtomPair1024_816    0.185606               0.001383    0.172835
  FP_Morgan1024_r2_425    0.184836               0.001377    0.174212
   FP_AtomPair1024_324    0.184556               0.001375    0.175587
  FP_Morgan1024_r2_883    0.184481               0.001374    0.176961
           FP_MACCS_74    0.182802               0.001362    0.178323
  FP_Morgan1024_r2_409    0.182506               0.001360    0.179683
       FP_RDKit512_127    0.182311               0.001358    0.181041
  FP_Morgan1024_r2_869    0.181882               0.001355    0.182396
    FP_AtomPair1024_69    0.180830               0.001347    0.183743
FP_TopoTorsion1024_989    0.179881               0.001340    0.185083
   FP_AtomPair1024_440    0.179743               0.001339    0.186422
  FP_Morgan1024_r2_189    0.179588               0.001338    0.187760
   FP_AtomPair1024_256    0.179520               0.001337    0.189097
   FP_AtomPair1024_195    0.179228               0.001335    0.190433
  FP_Morgan1024_r2_832    0.177722               0.001324    0.191756
          FP_MACCS_157    0.176390               0.001314    0.193071
   FP_AtomPair1024_442    0.176063               0.001312    0.194382
        RDKit2D_AvgIpc    0.175833               0.001310    0.195692
   FP_AtomPair1024_992    0.175547               0.001308    0.197000
          FP_MACCS_104    0.175103               0.001304    0.198304
  FP_Morgan1024_r2_600    0.174197               0.001298    0.199602
