Top Features Contributing to 20% of Performance
================================================================================
Model: SGD
Family: linear
Endpoint: pIC50
Species: all_SP
Total Features: 2146
Top Features Count: 119
Cumulative Importance: 0.1995
================================================================================

                   feature  importance  importance_normalized  cumulative
                   RDF_177    0.461567               0.010131    0.010131
                   RDF_176    0.396130               0.008695    0.018827
                   RDF_175    0.318914               0.007000    0.025827
                    RDF_26    0.154449               0.003390    0.029217
                   3D_PMI1    0.138495               0.003040    0.032257
          RDKit2D_SMR_VSA9    0.129123               0.002834    0.035091
                    RDF_57    0.116629               0.002560    0.037651
                   AC3D_66    0.110402               0.002423    0.040075
         RDKit2D_PEOE_VSA4    0.099860               0.002192    0.042267
               RDKit2D_SPS    0.099263               0.002179    0.044445
       RDKit2D_BCUT2D_MWHI    0.097900               0.002149    0.046594
       RDKit2D_VSA_EState6    0.097041               0.002130    0.048724
      FP_Morgan1024_r2_828    0.091550               0.002010    0.050734
           FP_RDKit512_175    0.090955               0.001996    0.052730
 RDKit2D_MaxAbsEStateIndex    0.090728               0.001991    0.054722
      FP_Morgan1024_r2_725    0.089969               0.001975    0.056697
                    RDF_27    0.089784               0.001971    0.058667
      FP_Morgan1024_r2_667    0.088646               0.001946    0.060613
       FP_AtomPair1024_450    0.087649               0.001924    0.062537
           FP_RDKit512_164    0.084021               0.001844    0.064381
       RDKit2D_BCUT2D_MRHI    0.080448               0.001766    0.066147
       FP_AtomPair1024_886    0.077785               0.001707    0.067855
        FP_AtomPair1024_71    0.077474               0.001701    0.069555
            FP_RDKit512_56    0.077337               0.001698    0.071253
    FP_TopoTorsion1024_637    0.077043               0.001691    0.072944
           FP_RDKit512_428    0.076515               0.001680    0.074623
           FP_RDKit512_233    0.074179               0.001628    0.076252
                   AC3D_67    0.074087               0.001626    0.077878
            FP_RDKit512_53    0.073131               0.001605    0.079483
                   RDF_147    0.072619               0.001594    0.081077
      FP_Morgan1024_r2_618    0.072351               0.001588    0.082665
      FP_Morgan1024_r2_114    0.071609               0.001572    0.084237
             Sol_ESOL_LogS    0.071437               0.001568    0.085805
