Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Deep
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 197
Cumulative Importance: 0.1996
================================================================================

                      feature  importance  importance_normalized  cumulative
       FP_TopoTorsion1024_124    0.003109               0.002362    0.002362
     FP_MorganFeat1024_r2_372    0.003012               0.002289    0.004650
     FP_MorganFeat1024_r2_493    0.002680               0.002036    0.006686
     FP_MorganFeat1024_r2_270    0.002451               0.001862    0.008548
         FP_Morgan1024_r2_202    0.002449               0.001860    0.010409
       FP_TopoTorsion1024_673    0.002381               0.001809    0.012218
                   FP_MACCS_8    0.002299               0.001746    0.013964
              FP_RDKit512_156    0.002262               0.001718    0.015682
             RDKit2D_SMR_VSA9    0.002219               0.001686    0.017368
         FP_Morgan1024_r2_168    0.002202               0.001673    0.019042
              FP_RDKit512_311    0.002128               0.001617    0.020658
          FP_Morgan1024_r2_29    0.002083               0.001583    0.022241
     FP_MorganFeat1024_r2_835    0.002078               0.001579    0.023820
         FP_Morgan1024_r2_543    0.002013               0.001529    0.025349
        FP_Morgan1024_r2_1014    0.001981               0.001505    0.026854
         FP_Morgan1024_r2_679    0.001973               0.001499    0.028353
     FP_MorganFeat1024_r2_959    0.001961               0.001490    0.029843
         FP_Morgan1024_r2_595    0.001925               0.001463    0.031306
         FP_Morgan1024_r2_932    0.001847               0.001404    0.032710
     FP_MorganFeat1024_r2_754    0.001847               0.001404    0.034113
       FP_TopoTorsion1024_290    0.001832               0.001392    0.035505
     FP_MorganFeat1024_r2_719    0.001831               0.001391    0.036896
       FP_TopoTorsion1024_980    0.001806               0.001372    0.038268
     FP_MorganFeat1024_r2_909    0.001802               0.001369    0.039637
     FP_MorganFeat1024_r2_886    0.001787               0.001358    0.040995
     FP_MorganFeat1024_r2_925    0.001771               0.001346    0.042341
     FP_MorganFeat1024_r2_459    0.001763               0.001340    0.043681
          FP_Morgan1024_r2_73    0.001756               0.001334    0.045015
     FP_MorganFeat1024_r2_730    0.001746               0.001326    0.046342
         FP_Morgan1024_r2_779    0.001721               0.001308    0.047649
         FP_Morgan1024_r2_486    0.001718               0.001305    0.048954
          FP_AtomPair1024_660    0.001716               0.001304    0.050258
         FP_Morgan1024_r2_960    0.001716               0.001303    0.051562
                 FP_MACCS_159    0.001695               0.001288    0.052849
         FP_Morgan1024_r2_212    0.001675               0.001273    0.054122
     FP_MorganFeat1024_r2_515    0.001670               0.001269    0.055391
         FP_Morgan1024_r2_840    0.001650               0.001254    0.056645
         FP_Morgan1024_r2_668    0.001648               0.001252    0.057897
          FP_AtomPair1024_273    0.001615               0.001227    0.059124
         FP_Morgan1024_r2_801    0.001609               0.001223    0.060347
     FP_MorganFeat1024_r2_965    0.001603               0.001218    0.061565
     FP_MorganFeat1024_r2_915    0.001602               0.001217    0.062782
          FP_AtomPair1024_575    0.001587               0.001206    0.063987
         FP_Morgan1024_r2_526    0.001570               0.001193    0.065181
     FP_MorganFeat1024_r2_232    0.001570               0.001193    0.066373
         FP_Morgan1024_r2_823    0.001558               0.001184    0.067557
     FP_MorganFeat1024_r2_512    0.001553               0.001180    0.068737
                  FP_MACCS_72    0.001538               0.001169    0.069906
       FP_TopoTorsion1024_337    0.001537               0.001168    0.071074
              FP_RDKit512_387    0.001528               0.001161    0.072235
       FP_TopoTorsion1024_448    0.001516               0.001152    0.073386
         FP_Morgan1024_r2_132    0.001484               0.001128    0.074514
       FP_TopoTorsion1024_812    0.001479               0.001124    0.075638
       FP_TopoTorsion1024_904    0.001448               0.001100    0.076738
              FP_RDKit512_295    0.001441               0.001095    0.077833
          FP_Morgan1024_r2_72    0.001438               0.001093    0.078926
              FP_RDKit512_157    0.001425               0.001083    0.080009
         FP_Morgan1024_r2_198    0.001418               0.001077    0.081086
         FP_Morgan1024_r2_292    0.001408               0.001070    0.082156
     FP_MorganFeat1024_r2_317    0.001405               0.001068    0.083224
       FP_TopoTorsion1024_982    0.001393               0.001059    0.084282
       FP_TopoTorsion1024_722    0.001385               0.001053    0.085335
           FP_AtomPair1024_83    0.001377               0.001047    0.086381
       FP_TopoTorsion1024_656    0.001360               0.001033    0.087415
          FP_AtomPair1024_682    0.001355               0.001030    0.088445
                      RDF_175    0.001326               0.001007    0.089452
               FP_RDKit512_53    0.001319               0.001002    0.090454
          RDKit2D_EState_VSA4    0.001309               0.000995    0.091449
         FP_Morgan1024_r2_321    0.001305               0.000992    0.092441
         FP_Morgan1024_r2_761    0.001300               0.000988    0.093428
              FP_RDKit512_445    0.001295               0.000984    0.094412
       FP_TopoTorsion1024_458    0.001294               0.000983    0.095395
         FP_Morgan1024_r2_878    0.001293               0.000982    0.096378
        FP_Morgan1024_r2_1023    0.001286               0.000977    0.097355
       FP_TopoTorsion1024_459    0.001279               0.000972    0.098327
     FP_MorganFeat1024_r2_505    0.001275               0.000969    0.099295
        FP_TopoTorsion1024_86    0.001274               0.000968    0.100263
              FP_RDKit512_361    0.001266               0.000962    0.101226
         FP_Morgan1024_r2_677    0.001263               0.000959    0.102185
          FP_AtomPair1024_380    0.001258               0.000956    0.103141
         FP_Morgan1024_r2_338    0.001257               0.000955    0.104096
     FP_MorganFeat1024_r2_574    0.001249               0.000949    0.105045
         FP_Morgan1024_r2_784    0.001247               0.000948    0.105993
              FP_RDKit512_351    0.001245               0.000946    0.106938
         FP_Morgan1024_r2_307    0.001239               0.000941    0.107880
      FP_MorganFeat1024_r2_31    0.001234               0.000938    0.108817
         FP_Morgan1024_r2_676    0.001233               0.000937    0.109754
         FP_Morgan1024_r2_174    0.001232               0.000936    0.110690
       FP_MorganFeat1024_r2_6    0.001226               0.000932    0.111622
         Graph_Centrality_Max    0.001224               0.000930    0.112552
     FP_MorganFeat1024_r2_216    0.001224               0.000930    0.113482
              FP_RDKit512_233    0.001222               0.000928    0.114410
          FP_Morgan1024_r2_82    0.001216               0.000924    0.115334
     FP_MorganFeat1024_r2_520    0.001206               0.000916    0.116250
         FP_Morgan1024_r2_547    0.001205               0.000916    0.117166
       FP_TopoTorsion1024_385    0.001202               0.000914    0.118079
     FP_MorganFeat1024_r2_547    0.001202               0.000914    0.118993
       FP_TopoTorsion1024_300    0.001201               0.000912    0.119905
              FP_RDKit512_444    0.001193               0.000907    0.120812
         FP_Morgan1024_r2_765    0.001188               0.000902    0.121714
          FP_AtomPair1024_987    0.001176               0.000894    0.122608
     FP_MorganFeat1024_r2_553    0.001176               0.000893    0.123501
              FP_RDKit512_320    0.001175               0.000893    0.124394
          FP_Morgan1024_r2_94    0.001173               0.000891    0.125286
              FP_RDKit512_358    0.001171               0.000890    0.126175
       FP_TopoTorsion1024_832    0.001166               0.000886    0.127061
          FP_AtomPair1024_132    0.001162               0.000883    0.127944
          FP_AtomPair1024_689    0.001161               0.000882    0.128826
     FP_MorganFeat1024_r2_831    0.001142               0.000868    0.129694
         FP_Morgan1024_r2_191    0.001137               0.000864    0.130558
     FP_MorganFeat1024_r2_519    0.001135               0.000862    0.131420
         FP_Morgan1024_r2_167    0.001133               0.000861    0.132281
        FP_TopoTorsion1024_34    0.001130               0.000859    0.133139
         FP_Morgan1024_r2_476    0.001130               0.000858    0.133998
      FP_MorganFeat1024_r2_49    0.001128               0.000857    0.134855
                     AC2D_160    0.001126               0.000856    0.135711
            Flex_FractionCSP3    0.001121               0.000852    0.136563
         FP_Morgan1024_r2_780    0.001120               0.000851    0.137414
           RDKit2D_fr_aniline    0.001120               0.000851    0.138265
    FP_MorganFeat1024_r2_1009    0.001120               0.000851    0.139115
         FP_Morgan1024_r2_929    0.001117               0.000848    0.139964
              FP_RDKit512_143    0.001108               0.000842    0.140806
       FP_TopoTorsion1024_981    0.001106               0.000840    0.141646
              FP_RDKit512_506    0.001104               0.000839    0.142485
