Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Large
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 245
Cumulative Importance: 0.1994
================================================================================

                         feature  importance  importance_normalized  cumulative
          FP_TopoTorsion1024_982    0.002487               0.001162    0.001162
             FP_AtomPair1024_215    0.002255               0.001054    0.002216
           FP_TopoTorsion1024_42    0.002226               0.001040    0.003256
            FP_Morgan1024_r2_618    0.002203               0.001030    0.004286
        FP_MorganFeat1024_r2_631    0.002184               0.001021    0.005307
          FP_TopoTorsion1024_165    0.002177               0.001018    0.006325
                 FP_RDKit512_423    0.002166               0.001013    0.007337
            FP_Morgan1024_r2_926    0.002148               0.001004    0.008341
                 FP_RDKit512_393    0.002138               0.000999    0.009340
              FP_AtomPair1024_95    0.002125               0.000993    0.010333
             FP_AtomPair1024_263    0.002098               0.000980    0.011314
             FP_AtomPair1024_268    0.002091               0.000977    0.012291
               RDKit2D_PEOE_VSA7    0.002075               0.000970    0.013261
             FP_AtomPair1024_833    0.002071               0.000968    0.014229
                   RDKit2D_MolWt    0.002070               0.000967    0.015197
                     FP_MACCS_90    0.002069               0.000967    0.016164
             FP_AtomPair1024_523    0.002067               0.000966    0.017130
             FP_AtomPair1024_528    0.002053               0.000959    0.018089
                 FP_RDKit512_155    0.002051               0.000959    0.019048
             FP_AtomPair1024_314    0.002033               0.000950    0.019998
               FP_AtomPair1024_2    0.002027               0.000948    0.020945
             FP_AtomPair1024_278    0.002020               0.000944    0.021890
                     FP_MACCS_51    0.002014               0.000941    0.022831
             FP_AtomPair1024_178    0.002006               0.000937    0.023768
             FP_AtomPair1024_337    0.001996               0.000933    0.024701
        FP_MorganFeat1024_r2_668    0.001990               0.000930    0.025631
        FP_MorganFeat1024_r2_965    0.001983               0.000927    0.026558
                 FP_RDKit512_420    0.001979               0.000925    0.027483
                 FP_RDKit512_175    0.001978               0.000925    0.028408
             FP_AtomPair1024_866    0.001973               0.000922    0.029329
             FP_AtomPair1024_505    0.001970               0.000921    0.030250
             FP_AtomPair1024_157    0.001968               0.000920    0.031170
             FP_AtomPair1024_218    0.001966               0.000919    0.032089
               FP_AtomPair1024_9    0.001942               0.000908    0.032997
            FP_Morgan1024_r2_668    0.001938               0.000906    0.033902
             FP_AtomPair1024_132    0.001924               0.000899    0.034801
             FP_AtomPair1024_786    0.001923               0.000899    0.035700
                 FP_RDKit512_316    0.001918               0.000897    0.036597
             FP_AtomPair1024_433    0.001913               0.000894    0.037491
             FP_AtomPair1024_493    0.001912               0.000894    0.038384
             FP_AtomPair1024_391    0.001907               0.000891    0.039276
             FP_AtomPair1024_388    0.001901               0.000889    0.040164
             FP_AtomPair1024_529    0.001896               0.000886    0.041050
              FP_AtomPair1024_72    0.001896               0.000886    0.041936
                 FP_RDKit512_150    0.001879               0.000878    0.042815
             FP_AtomPair1024_156    0.001878               0.000878    0.043692
          FP_TopoTorsion1024_305    0.001876               0.000877    0.044569
             FP_AtomPair1024_809    0.001874               0.000876    0.045445
             FP_AtomPair1024_142    0.001866               0.000872    0.046317
             FP_AtomPair1024_943    0.001865               0.000871    0.047188
             3D_RadiusOfGyration    0.001863               0.000871    0.048059
          FP_TopoTorsion1024_744    0.001863               0.000871    0.048930
            FP_Morgan1024_r2_358    0.001861               0.000870    0.049800
            FP_Morgan1024_r2_495    0.001861               0.000870    0.050669
             FP_AtomPair1024_851    0.001860               0.000869    0.051538
          FP_MorganFeat1024_r2_5    0.001858               0.000868    0.052407
          FP_TopoTorsion1024_321    0.001857               0.000868    0.053275
             FP_AtomPair1024_670    0.001856               0.000868    0.054142
             FP_AtomPair1024_503    0.001849               0.000864    0.055007
             FP_AtomPair1024_630    0.001847               0.000863    0.055870
             FP_AtomPair1024_488    0.001845               0.000862    0.056732
                    FP_MACCS_128    0.001843               0.000862    0.057594
          FP_TopoTorsion1024_745    0.001834               0.000857    0.058451
             FP_AtomPair1024_110    0.001825               0.000853    0.059304
              FP_AtomPair1024_42    0.001821               0.000851    0.060155
                 FP_RDKit512_507    0.001820               0.000851    0.061005
             FP_AtomPair1024_467    0.001819               0.000850    0.061856
                           RDF_7    0.001819               0.000850    0.062706
                  FP_RDKit512_34    0.001817               0.000849    0.063555
                 FP_RDKit512_487    0.001814               0.000848    0.064403
                 FP_RDKit512_157    0.001814               0.000848    0.065251
             FP_AtomPair1024_477    0.001814               0.000848    0.066099
          FP_TopoTorsion1024_965    0.001813               0.000848    0.066947
            Tautomer_IsCanonical    0.001807               0.000844    0.067791
             FP_AtomPair1024_318    0.001797               0.000840    0.068631
        FP_MorganFeat1024_r2_222    0.001797               0.000840    0.069471
                 FP_RDKit512_434    0.001793               0.000838    0.070309
                  FP_RDKit512_84    0.001791               0.000837    0.071146
                 FP_RDKit512_224    0.001787               0.000835    0.071981
             FP_AtomPair1024_131    0.001786               0.000835    0.072816
             FP_AtomPair1024_551    0.001783               0.000834    0.073649
             FP_AtomPair1024_258    0.001778               0.000831    0.074481
        FP_MorganFeat1024_r2_693    0.001778               0.000831    0.075312
                 FP_RDKit512_141    0.001777               0.000830    0.076142
            FP_AtomPair1024_1022    0.001770               0.000827    0.076970
            RDKit2D_fr_sulfonamd    0.001770               0.000827    0.077797
             FP_AtomPair1024_683    0.001770               0.000827    0.078624
             FP_AtomPair1024_902    0.001765               0.000825    0.079449
                         AC3D_61    0.001762               0.000823    0.080273
              FP_AtomPair1024_25    0.001759               0.000822    0.081094
             FP_AtomPair1024_997    0.001755               0.000820    0.081915
                         AC3D_66    0.001752               0.000819    0.082733
                    FP_MACCS_127    0.001751               0.000818    0.083552
                   FP_RDKit512_4    0.001750               0.000818    0.084370
                 FP_RDKit512_391    0.001750               0.000818    0.085188
             FP_AtomPair1024_565    0.001750               0.000818    0.086006
        FP_MorganFeat1024_r2_520    0.001746               0.000816    0.086822
            FP_Morgan1024_r2_573    0.001745               0.000816    0.087637
        FP_MorganFeat1024_r2_915    0.001744               0.000815    0.088452
             FP_AtomPair1024_202    0.001739               0.000813    0.089265
             FP_AtomPair1024_361    0.001733               0.000810    0.090075
             FP_AtomPair1024_217    0.001732               0.000810    0.090885
          FP_TopoTorsion1024_510    0.001724               0.000806    0.091691
            RDKit2D_BCUT2D_CHGLO    0.001724               0.000806    0.092496
             FP_AtomPair1024_544    0.001720               0.000804    0.093300
        FP_MorganFeat1024_r2_397    0.001720               0.000804    0.094104
            FP_AtomPair1024_1023    0.001719               0.000804    0.094907
             FP_AtomPair1024_669    0.001718               0.000803    0.095710
             FP_AtomPair1024_301    0.001718               0.000803    0.096513
             FP_AtomPair1024_779    0.001717               0.000803    0.097316
             FP_AtomPair1024_290    0.001716               0.000802    0.098118
            FP_Morgan1024_r2_454    0.001713               0.000801    0.098919
          FP_TopoTorsion1024_444    0.001713               0.000801    0.099719
             FP_AtomPair1024_686    0.001712               0.000800    0.100519
             FP_AtomPair1024_195    0.001709               0.000799    0.101318
                 FP_RDKit512_458    0.001702               0.000796    0.102114
                         3D_NPR2    0.001702               0.000795    0.102909
               RDKit2D_RingCount    0.001699               0.000794    0.103703
             FP_AtomPair1024_976    0.001696               0.000793    0.104496
                 Shape_Ratio_L_W    0.001696               0.000793    0.105289
                 FP_RDKit512_395    0.001696               0.000792    0.106081
              FP_AtomPair1024_31    0.001694               0.000792    0.106873
            FP_Morgan1024_r2_855    0.001694               0.000792    0.107665
                 FP_RDKit512_474    0.001690               0.000790    0.108455
             FP_AtomPair1024_422    0.001689               0.000790    0.109245
             FP_AtomPair1024_822    0.001689               0.000789    0.110034
        FP_MorganFeat1024_r2_217    0.001688               0.000789    0.110823
               Sol_ESOL_AromProp    0.001688               0.000789    0.111612
        FP_MorganFeat1024_r2_922    0.001687               0.000788    0.112400
             FP_AtomPair1024_468    0.001685               0.000788    0.113188
      Flex_Accessible_Conformers    0.001682               0.000786    0.113974
             FP_AtomPair1024_373    0.001677               0.000784    0.114758
          FP_TopoTorsion1024_328    0.001676               0.000784    0.115541
                        AC2D_142    0.001675               0.000783    0.116324
            FP_Morgan1024_r2_401    0.001674               0.000782    0.117106
            FP_Morgan1024_r2_471    0.001672               0.000782    0.117888
             FP_AtomPair1024_323    0.001669               0.000780    0.118668
        FP_MorganFeat1024_r2_379    0.001669               0.000780    0.119448
                    FP_MACCS_111    0.001668               0.000780    0.120227
             FP_AtomPair1024_875    0.001664               0.000778    0.121005
             FP_AtomPair1024_200    0.001664               0.000778    0.121783
                  FP_RDKit512_88    0.001664               0.000778    0.122560
             FP_AtomPair1024_753    0.001659               0.000776    0.123336
                 FP_RDKit512_187    0.001658               0.000775    0.124111
                 FP_RDKit512_397    0.001656               0.000774    0.124885
            FP_Morgan1024_r2_698    0.001654               0.000773    0.125658
             FP_AtomPair1024_625    0.001653               0.000773    0.126430
            FP_Morgan1024_r2_136    0.001653               0.000772    0.127203
             FP_AtomPair1024_396    0.001652               0.000772    0.127975
          FP_TopoTorsion1024_825    0.001651               0.000772    0.128746
             FP_AtomPair1024_566    0.001651               0.000771    0.129518
             FP_Morgan1024_r2_10    0.001649               0.000771    0.130288
                        AC2D_119    0.001648               0.000770    0.131059
             FP_AtomPair1024_513    0.001647               0.000770    0.131829
                 FP_RDKit512_457    0.001644               0.000768    0.132597
             FP_AtomPair1024_824    0.001644               0.000768    0.133365
             FP_AtomPair1024_989    0.001643               0.000768    0.134133
                 FP_RDKit512_165    0.001639               0.000766    0.134898
             FP_AtomPair1024_229    0.001638               0.000766    0.135664
                 FP_RDKit512_421    0.001637               0.000765    0.136429
      RDKit2D_NumBridgeheadAtoms    0.001634               0.000764    0.137193
                 FP_RDKit512_259    0.001633               0.000763    0.137957
            FP_Morgan1024_r2_269    0.001632               0.000763    0.138719
                     FP_MACCS_54    0.001632               0.000763    0.139482
                    FP_MACCS_104    0.001631               0.000762    0.140244
             FP_AtomPair1024_454    0.001630               0.000762    0.141007
             FP_AtomPair1024_661    0.001630               0.000762    0.141768
                  FP_RDKit512_30    0.001630               0.000762    0.142530
                    FP_MACCS_140    0.001629               0.000761    0.143292
                    FP_MACCS_115    0.001628               0.000761    0.144053
             FP_AtomPair1024_569    0.001628               0.000761    0.144813
          FP_TopoTorsion1024_320    0.001627               0.000760    0.145574
             FP_AtomPair1024_181    0.001623               0.000759    0.146333
             FP_AtomPair1024_655    0.001618               0.000756    0.147089
              FP_AtomPair1024_52    0.001617               0.000756    0.147845
            FP_Morgan1024_r2_933    0.001617               0.000756    0.148601
             FP_AtomPair1024_409    0.001617               0.000756    0.149356
                        AC2D_187    0.001615               0.000755    0.150111
             FP_AtomPair1024_806    0.001614               0.000754    0.150865
                 FP_RDKit512_448    0.001613               0.000754    0.151619
             FP_AtomPair1024_598    0.001613               0.000754    0.152373
              FP_AtomPair1024_21    0.001612               0.000754    0.153127
             FP_AtomPair1024_453    0.001612               0.000753    0.153880
             FP_AtomPair1024_572    0.001606               0.000751    0.154631
             FP_AtomPair1024_591    0.001606               0.000750    0.155381
             FP_AtomPair1024_749    0.001605               0.000750    0.156131
              FP_AtomPair1024_62    0.001604               0.000750    0.156881
          FP_TopoTorsion1024_869    0.001602               0.000749    0.157630
             FP_AtomPair1024_441    0.001602               0.000749    0.158379
             FP_AtomPair1024_328    0.001598               0.000747    0.159126
             FP_AtomPair1024_958    0.001597               0.000746    0.159872
            FP_Morgan1024_r2_730    0.001596               0.000746    0.160618
             FP_AtomPair1024_393    0.001594               0.000745    0.161363
                  FP_RDKit512_62    0.001594               0.000745    0.162108
             FP_AtomPair1024_199    0.001592               0.000744    0.162852
                         3D_NPR1    0.001592               0.000744    0.163596
                 FP_RDKit512_344    0.001586               0.000741    0.164337
