Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Medium
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 198
Cumulative Importance: 0.1994
================================================================================

                 feature  importance  importance_normalized  cumulative
                 RDF_175    0.004378               0.002623    0.002623
FP_MorganFeat1024_r2_216    0.002850               0.001707    0.004331
     FP_AtomPair1024_455    0.002773               0.001661    0.005992
  FP_TopoTorsion1024_244    0.002722               0.001631    0.007623
  FP_TopoTorsion1024_295    0.002684               0.001608    0.009231
    FP_Morgan1024_r2_997    0.002639               0.001581    0.010813
    FP_Morgan1024_r2_730    0.002617               0.001568    0.012380
     FP_AtomPair1024_714    0.002564               0.001536    0.013916
     FP_AtomPair1024_312    0.002496               0.001495    0.015412
FP_MorganFeat1024_r2_631    0.002466               0.001477    0.016889
    FP_Morgan1024_r2_595    0.002431               0.001457    0.018346
    FP_Morgan1024_r2_929    0.002428               0.001455    0.019801
    FP_Morgan1024_r2_401    0.002419               0.001449    0.021250
    FP_Morgan1024_r2_482    0.002390               0.001432    0.022682
FP_MorganFeat1024_r2_661    0.002359               0.001413    0.024095
  FP_TopoTorsion1024_817    0.002337               0.001400    0.025495
  FP_TopoTorsion1024_692    0.002212               0.001325    0.026820
    FP_Morgan1024_r2_544    0.002207               0.001322    0.028143
     FP_AtomPair1024_900    0.002176               0.001304    0.029447
     FP_AtomPair1024_190    0.002158               0.001293    0.030740
FP_MorganFeat1024_r2_877    0.002154               0.001290    0.032030
     FP_AtomPair1024_420    0.002136               0.001280    0.033310
         FP_RDKit512_396    0.002132               0.001277    0.034587
  FP_TopoTorsion1024_511    0.002122               0.001272    0.035859
    FP_Morgan1024_r2_470    0.002116               0.001268    0.037127
  FP_TopoTorsion1024_557    0.002107               0.001262    0.038389
     FP_AtomPair1024_812    0.002094               0.001255    0.039644
     FP_AtomPair1024_921    0.002065               0.001237    0.040881
                 AC3D_66    0.002053               0.001230    0.042111
     FP_AtomPair1024_681    0.002034               0.001219    0.043330
                AC2D_159    0.002024               0.001213    0.044543
    FP_Morgan1024_r2_690    0.001965               0.001177    0.045720
         FP_RDKit512_129    0.001961               0.001175    0.046895
     FP_AtomPair1024_197    0.001948               0.001167    0.048062
    FP_Morgan1024_r2_174    0.001946               0.001166    0.049228
         FP_RDKit512_257    0.001945               0.001165    0.050393
         FP_RDKit512_167    0.001935               0.001160    0.051552
     FP_AtomPair1024_445    0.001935               0.001160    0.052712
     FP_AtomPair1024_975    0.001928               0.001155    0.053867
         FP_RDKit512_400    0.001919               0.001150    0.055017
     FP_AtomPair1024_686    0.001914               0.001147    0.056164
         FP_RDKit512_308    0.001907               0.001143    0.057307
FP_MorganFeat1024_r2_198    0.001906               0.001142    0.058449
     FP_AtomPair1024_631    0.001906               0.001142    0.059591
    FP_Morgan1024_r2_247    0.001903               0.001140    0.060731
         FP_RDKit512_397    0.001897               0.001137    0.061867
     FP_AtomPair1024_412    0.001886               0.001130    0.062997
      FP_AtomPair1024_54    0.001878               0.001125    0.064122
     FP_AtomPair1024_341    0.001870               0.001121    0.065243
  FP_MorganFeat1024_r2_5    0.001869               0.001120    0.066363
FP_MorganFeat1024_r2_217    0.001852               0.001109    0.067472
                 AC3D_68    0.001831               0.001097    0.068569
         FP_RDKit512_105    0.001830               0.001096    0.069666
                AC2D_183    0.001829               0.001096    0.070762
  FP_TopoTorsion1024_564    0.001828               0.001096    0.071857
  FP_TopoTorsion1024_321    0.001815               0.001087    0.072945
     FP_AtomPair1024_922    0.001813               0.001086    0.074031
     FP_AtomPair1024_670    0.001811               0.001085    0.075116
     FP_AtomPair1024_718    0.001811               0.001085    0.076201
  FP_TopoTorsion1024_165    0.001808               0.001083    0.077285
         FP_RDKit512_409    0.001790               0.001073    0.078357
     FP_AtomPair1024_213    0.001779               0.001066    0.079423
    FP_Morgan1024_r2_898    0.001773               0.001062    0.080486
         FP_RDKit512_485    0.001768               0.001060    0.081545
     FP_AtomPair1024_576    0.001766               0.001058    0.082603
         FP_RDKit512_175    0.001761               0.001055    0.083658
  FP_TopoTorsion1024_722    0.001749               0.001048    0.084706
  FP_TopoTorsion1024_337    0.001740               0.001043    0.085749
     FP_AtomPair1024_661    0.001731               0.001037    0.086786
   FP_Morgan1024_r2_1020    0.001731               0.001037    0.087823
    FP_Morgan1024_r2_694    0.001722               0.001032    0.088855
    FP_Morgan1024_r2_586    0.001706               0.001022    0.089877
      FP_AtomPair1024_93    0.001705               0.001022    0.090899
                   RDF_7    0.001704               0.001021    0.091920
     FP_AtomPair1024_212    0.001691               0.001013    0.092933
  FP_TopoTorsion1024_825    0.001688               0.001011    0.093944
         FP_RDKit512_198    0.001680               0.001006    0.094950
              FP_MACCS_8    0.001673               0.001002    0.095953
          FP_RDKit512_45    0.001672               0.001002    0.096954
