Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Wide
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 182
Cumulative Importance: 0.1994
================================================================================

                       feature  importance  importance_normalized  cumulative
           FP_AtomPair1024_902    0.007689               0.001748    0.001748
          FP_Morgan1024_r2_458    0.007280               0.001655    0.003402
        FP_TopoTorsion1024_321    0.006873               0.001562    0.004965
        RDKit2D_BCUT2D_LOGPLOW    0.006769               0.001539    0.006503
           FP_AtomPair1024_786    0.006659               0.001514    0.008017
           FP_AtomPair1024_253    0.006644               0.001510    0.009527
               FP_RDKit512_485    0.006607               0.001502    0.011029
                       AC3D_43    0.006535               0.001485    0.012514
               FP_RDKit512_474    0.006459               0.001468    0.013982
            FP_AtomPair1024_53    0.006392               0.001453    0.015435
               FP_RDKit512_249    0.006249               0.001420    0.016856
                   FP_MACCS_55    0.006202               0.001410    0.018265
                   FP_MACCS_97    0.006110               0.001389    0.019654
            FP_AtomPair1024_52    0.006110               0.001389    0.021043
           FP_AtomPair1024_820    0.006098               0.001386    0.022429
           FP_AtomPair1024_912    0.006065               0.001379    0.023808
               Shape_Ratio_L_W    0.006049               0.001375    0.025183
           FP_AtomPair1024_809    0.006041               0.001373    0.026556
                FP_RDKit512_46    0.006041               0.001373    0.027929
               FP_RDKit512_484    0.006034               0.001372    0.029301
           FP_AtomPair1024_318    0.006013               0.001367    0.030667
           FP_AtomPair1024_269    0.006008               0.001366    0.032033
           FP_AtomPair1024_833    0.005991               0.001362    0.033395
          FP_Morgan1024_r2_310    0.005884               0.001337    0.034732
           FP_AtomPair1024_354    0.005881               0.001337    0.036069
           FP_AtomPair1024_572    0.005843               0.001328    0.037397
                        AC3D_2    0.005832               0.001326    0.038723
           FP_AtomPair1024_215    0.005782               0.001314    0.040037
                FP_RDKit512_79    0.005702               0.001296    0.041333
        FP_TopoTorsion1024_432    0.005701               0.001296    0.042629
           FP_AtomPair1024_468    0.005672               0.001289    0.043918
           FP_AtomPair1024_489    0.005663               0.001287    0.045206
            FP_AtomPair1024_99    0.005660               0.001287    0.046492
      FP_MorganFeat1024_r2_802    0.005660               0.001287    0.047779
           FP_AtomPair1024_452    0.005597               0.001272    0.049051
           FP_AtomPair1024_177    0.005539               0.001259    0.050310
                  FP_MACCS_113    0.005468               0.001243    0.051553
           FP_AtomPair1024_454    0.005464               0.001242    0.052795
           FP_AtomPair1024_958    0.005453               0.001239    0.054035
           FP_AtomPair1024_817    0.005444               0.001237    0.055272
           FP_AtomPair1024_849    0.005428               0.001234    0.056506
      FP_MorganFeat1024_r2_839    0.005413               0.001230    0.057736
           FP_AtomPair1024_285    0.005369               0.001220    0.058957
            FP_Morgan1024_r2_4    0.005348               0.001216    0.060172
                  FP_MACCS_111    0.005344               0.001215    0.061387
           FP_AtomPair1024_463    0.005332               0.001212    0.062599
           FP_AtomPair1024_162    0.005317               0.001209    0.063808
           FP_AtomPair1024_636    0.005315               0.001208    0.065016
           FP_AtomPair1024_631    0.005313               0.001208    0.066224
            FP_AtomPair1024_19    0.005313               0.001208    0.067431
                      AC2D_151    0.005303               0.001205    0.068637
          FP_AtomPair1024_1023    0.005266               0.001197    0.069834
           FP_AtomPair1024_361    0.005266               0.001197    0.071030
           FP_AtomPair1024_304    0.005258               0.001195    0.072226
           FP_AtomPair1024_327    0.005248               0.001193    0.073419
            FP_AtomPair1024_20    0.005237               0.001190    0.074609
           FP_AtomPair1024_202    0.005211               0.001184    0.075793
           FP_AtomPair1024_755    0.005180               0.001178    0.076971
           FP_Morgan1024_r2_45    0.005164               0.001174    0.078145
               FP_RDKit512_389    0.005144               0.001169    0.079314
           FP_AtomPair1024_142    0.005126               0.001165    0.080479
      RDKit2D_FpDensityMorgan1    0.005104               0.001160    0.081639
           FP_AtomPair1024_600    0.005099               0.001159    0.082798
               FP_RDKit512_299    0.005047               0.001147    0.083946
           FP_AtomPair1024_648    0.005011               0.001139    0.085085
               FP_RDKit512_408    0.005009               0.001139    0.086223
               FP_RDKit512_400    0.004950               0.001125    0.087348
           FP_AtomPair1024_822    0.004948               0.001125    0.088473
           FP_AtomPair1024_381    0.004928               0.001120    0.089593
        FP_TopoTorsion1024_200    0.004918               0.001118    0.090711
      FP_MorganFeat1024_r2_693    0.004876               0.001108    0.091820
           FP_AtomPair1024_252    0.004869               0.001107    0.092926
           FP_AtomPair1024_312    0.004867               0.001106    0.094033
           FP_AtomPair1024_248    0.004824               0.001096    0.095129
        FP_TopoTorsion1024_529    0.004820               0.001096    0.096225
                  FP_MACCS_154    0.004819               0.001095    0.097320
            FP_AtomPair1024_74    0.004817               0.001095    0.098415
               FP_RDKit512_344    0.004815               0.001094    0.099510
                       AC3D_39    0.004789               0.001089    0.100598
        FP_TopoTorsion1024_664    0.004783               0.001087    0.101685
           FP_AtomPair1024_749    0.004762               0.001082    0.102768
           FP_AtomPair1024_408    0.004751               0.001080    0.103847
          FP_Morgan1024_r2_855    0.004740               0.001077    0.104925
                       AC3D_19    0.004734               0.001076    0.106001
        FP_TopoTorsion1024_281    0.004717               0.001072    0.107073
           FP_AtomPair1024_510    0.004707               0.001070    0.108143
                         RDF_6    0.004705               0.001069    0.109213
        FP_TopoTorsion1024_328    0.004699               0.001068    0.110281
           FP_AtomPair1024_841    0.004698               0.001068    0.111349
           FP_AtomPair1024_478    0.004678               0.001063    0.112412
           FP_AtomPair1024_928    0.004673               0.001062    0.113474
           FP_AtomPair1024_735    0.004657               0.001059    0.114533
               FP_RDKit512_303    0.004620               0.001050    0.115583
               FP_RDKit512_268    0.004593               0.001044    0.116627
                FP_RDKit512_40    0.004582               0.001041    0.117669
          FP_AtomPair1024_1006    0.004561               0.001037    0.118706
           FP_AtomPair1024_190    0.004537               0.001031    0.119737
           FP_AtomPair1024_799    0.004528               0.001029    0.120766
        FP_TopoTorsion1024_213    0.004525               0.001029    0.121795
      FP_MorganFeat1024_r2_668    0.004523               0.001028    0.122823
                FP_RDKit512_34    0.004516               0.001027    0.123849
          FP_Morgan1024_r2_763    0.004507               0.001025    0.124874
                        RDF_12    0.004499               0.001023    0.125897
                FP_RDKit512_90    0.004484               0.001019    0.126916
       Flex_Rotatable_Fraction    0.004473               0.001017    0.127933
           FP_AtomPair1024_110    0.004466               0.001015    0.128948
           FP_AtomPair1024_721    0.004423               0.001005    0.129953
           FP_AtomPair1024_871    0.004415               0.001004    0.130957
                      AC2D_112    0.004410               0.001002    0.131959
           FP_AtomPair1024_908    0.004402               0.001001    0.132960
           FP_AtomPair1024_660    0.004399               0.001000    0.133960
               FP_RDKit512_129    0.004390               0.000998    0.134958
                FP_RDKit512_95    0.004378               0.000995    0.135953
          FP_Morgan1024_r2_482    0.004373               0.000994    0.136947
           FP_AtomPair1024_848    0.004335               0.000985    0.137932
           FP_AtomPair1024_945    0.004331               0.000984    0.138917
      FP_MorganFeat1024_r2_901    0.004320               0.000982    0.139899
           FP_AtomPair1024_164    0.004312               0.000980    0.140879
          FP_Morgan1024_r2_887    0.004294               0.000976    0.141855
           FP_AtomPair1024_777    0.004288               0.000975    0.142830
           FP_AtomPair1024_557    0.004261               0.000969    0.143798
           FP_AtomPair1024_655    0.004243               0.000964    0.144763
        FP_TopoTorsion1024_433    0.004229               0.000961    0.145724
        FP_TopoTorsion1024_244    0.004219               0.000959    0.146683
           FP_AtomPair1024_375    0.004194               0.000953    0.147636
          RDKit2D_fr_sulfonamd    0.004192               0.000953    0.148589
          FP_Morgan1024_r2_713    0.004191               0.000953    0.149542
           FP_AtomPair1024_305    0.004191               0.000953    0.150495
        FP_TopoTorsion1024_460    0.004179               0.000950    0.151444
               FP_RDKit512_212    0.004169               0.000948    0.152392
               FP_RDKit512_504    0.004163               0.000946    0.153338
           FP_AtomPair1024_249    0.004153               0.000944    0.154282
        FP_TopoTorsion1024_289    0.004152               0.000944    0.155226
                      AC2D_178    0.004147               0.000943    0.156169
      FP_MorganFeat1024_r2_123    0.004141               0.000941    0.157110
                  FP_MACCS_118    0.004137               0.000940    0.158050
        FP_TopoTorsion1024_312    0.004118               0.000936    0.158987
           FP_AtomPair1024_729    0.004114               0.000935    0.159922
                      AC2D_189    0.004110               0.000934    0.160856
           FP_AtomPair1024_996    0.004086               0.000929    0.161785
           FP_AtomPair1024_595    0.004086               0.000929    0.162713
           FP_AtomPair1024_674    0.004083               0.000928    0.163642
        FP_TopoTorsion1024_677    0.004070               0.000925    0.164567
           FP_AtomPair1024_437    0.004066               0.000924    0.165491
           FP_AtomPair1024_828    0.004065               0.000924    0.166415
           FP_AtomPair1024_373    0.004059               0.000923    0.167338
        FP_TopoTorsion1024_616    0.004045               0.000920    0.168257
                FP_RDKit512_86    0.004042               0.000919    0.169176
          FP_Morgan1024_r2_205    0.004038               0.000918    0.170094
           FP_AtomPair1024_149    0.004026               0.000915    0.171009
               FP_RDKit512_141    0.004019               0.000914    0.171922
               FP_RDKit512_361    0.004019               0.000914    0.172836
               FP_RDKit512_279    0.004013               0.000912    0.173748
        FP_TopoTorsion1024_382    0.003990               0.000907    0.174655
           FP_AtomPair1024_409    0.003989               0.000907    0.175562
               FP_RDKit512_359    0.003989               0.000907    0.176469
               FP_RDKit512_495    0.003967               0.000902    0.177370
           FP_AtomPair1024_392    0.003965               0.000901    0.178272
           FP_AtomPair1024_268    0.003963               0.000901    0.179173
           FP_AtomPair1024_345    0.003954               0.000899    0.180071
